Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-12-07,0.0051636,,0.0051636,cc9cb33c35d4c6b5e50be37197345069bdf984c26368231745344fa278d9cef2,498004,51,1
2017-12-07,,0.0051636,0.0,29f55343afb674c1245d5d8df03582a23bbc2ab60dd8b0bb72d3575a5efa9ed6,498012,145,205
2017-12-11,0.01226539,,0.01226539,01fb323478ffb0c63a4f3fd1a42466eaa4fdd6ef50c15af047dd5f4354488d2e,498781,36,1
2017-12-11,,0.01226539,0.0,3d1582056cfbd9a2c3169139813fd8291bce6e06d31799229054ad753d12633f,498784,125,151
2017-12-12,0.00305804,,0.00305804,074fe021c25c3d3bc2dac4acc00a4cab4100bba49c79b7a6151bde2406a5b498,498828,1230,1
2017-12-12,,0.00305804,0.0,bf4097107a5b282a670312e238968cd54ae5cc33cd5292fe1f4671cf6a95661b,498830,118,151
2017-12-12,0.00316143,,0.00316143,41d9c1e122450794f4830bb13fed53df25729641b2b50a44ed0e68bcea99c179,498998,1225,59
2017-12-13,,0.00316143,0.0,d0c9bec3a691fa2543e7c43286f6e43e9595368897895b8147ed5847879a2951,499000,94,151
2017-12-13,0.00385542,,0.00385542,bb06a77cccdb23df8f6a21853302f509e30f8b9569b0bac0d61ec723a126c8d9,499112,51,1
2017-12-13,,0.00385542,0.0,8044fda5dc7f72acad2aadc72f1d003163bed7af3a6512127278f6a50f8e3c45,499117,133,221
2017-12-15,0.00323473,,0.00323473,6c2766bfbe21762d14fea5e4bca4f182416c99e7d70dde85c6cb8476f7d54fd9,499374,1174,1
2017-12-15,,0.00323473,0.0,1fe404e9b92f5e3a757559db447ccf29b1bc3b11c3878de5f8c0f42cd328eb63,499376,57,201
2017-12-16,0.00314422,,0.00314422,85cf1e4657748845afbe8a112518b349e456c6908f9ab3c112bddd4ea20c9465,499637,1179,1
2017-12-16,,0.00314422,0.0,78df500ddcd0066f59ce229df29dc14da9c28c51499cdcdf2ec7613db8a9ea7d,499639,94,201
2017-12-20,0.00278081,,0.00278081,1be3da1b397e76d978b0997ce2687450af8b14a2eb32122313fc6b0788a0bfdf,500375,1137,1
2017-12-21,,0.00278081,0.0,6c4fe3a3469e4c1a4153e99bc0b9eb62fd3af288be64c838e6d0da1a1d8b2c39,500378,140,202
