Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-07-29,1.89,,1.89,17d8f837b6e6bfb58b04b1d3573709410ad42aeaab6a7eb93cd2b81cac11a885,478160,2,1
2017-07-29,,1.89,0.0,14f54c1303491508514923faa61458ddc49ace64841d972a1deb04476089f0ca,478167,28,101
2017-08-08,1.59449999,,1.59449999,37a89fa186f22e86e66bf1a49603c145872fff9f7cb95587de9376950f4e59a4,479707,2,1
2017-08-08,,1.59449999,0.0,8bcd75721737c1ed30ffd08bf5d1fdd73601af61bee5ff4fa4e74ab713908341,479709,10,101
2017-08-15,1.19216667,,1.19216667,0a7a4f22e19c4e8d17f1c37aef0893ce9f7869a83fa40979468e1dbf7bef0cba,480662,2,1
2017-08-17,1.1913,,2.38346667,fba6059e07f683da244f96fdc166fa0a2efbfb08983454acb330e21bc3fcb433,480824,2,1
2017-08-18,0.97,,3.35346667,13c1e5e97097e37d4af99d1f4af7fde6988c0b73277ceb74ce96999512f1be41,481074,2,1
2017-08-18,1.0,,4.35346667,83d89f302326c14f30203060f9ef9953483b2989296166ab11df2f01649ee8c7,481078,2,1
2017-08-18,0.84443,,5.19789667,71d217b64842ed2ddb917eb6bb7ad8ef5fa2c539064b12714c888c751a40de8d,481134,1,1
2017-08-18,0.6024,,5.80029667,daea4eb79c643cc3f257722fe71fe0652d7e2016bbfa16c027e7260f3e5ccb6b,481135,1,1
2017-08-19,1.0,,6.80029667,8a7ebc777221c820e7e322b99bc81320f73b5693a54604ed113f7647313a6ce2,481148,2,1
2017-08-19,1.2,,8.00029667,42db7ac638cc5d7a65572633a5e5c57295dc97ec85b4b829db9d721038fa4364,481207,2,1
2017-08-21,,0.6024,7.39789667,ee20ad4432a7c1ad1618a9436c0933f44b7b4045d3b8f587750e22ba5a4bc6e1,481451,28,177
2017-08-21,,0.84443,6.55346667,aa00818dc4fae40178b61e1e2604ad45444c78ca6bc763fb52112ca7143ff5d0,481477,22,176
2017-08-21,,0.97,5.58346667,ea8f18bc30166e5f785d7e6401cc5aac9d69cca963da51365196bae33ca23af7,481486,95,194
2017-08-22,,1.0,4.58346667,0e2ef4934b134e03a749d269ac80d12decb988fbba0e926e4e6215553641430c,481600,48,180
2017-08-22,,1.0,3.58346667,89bd272dbf6223f114868b05077dc18dec082c4f1a3f74a6c81659ad105c02f1,481606,111,176
2017-08-24,,1.19216667,2.3913,a52d59aacf390e4ae3e817325d58b15d82317960abc9ad80b65ab48e1255a90b,481822,11,176
2017-08-24,,1.2,1.1913,4e99434f63a13b659cd94f4eb3b3811f1d88eb2ef9080840549ec50a0641a422,481824,11,176
2017-08-25,0.103178,,1.294478,21679942f47cac437b7dccd07d5dd2419ed7b5d4b341020af4fc0b7da3a8509d,482003,1,2
2017-08-25,,0.103178,1.1913,1c6816551bb5cb2c72d31cd9297d83a23d448bce72af9334a6a9d3ca52e8dce5,482005,68,101
2017-08-26,0.8344,,2.0257,a338fadba90dab34077c8971dfca013398485675f1706f50c75b29108215a685,482007,1,1
2017-08-26,,0.8344,1.1913,65a9a301817c78b930c051c026f66bdce61ffc436580bda13b6107fa8afcaa0a,482009,11,101
2017-08-29,0.62859999,,1.81989999,27dcbd2bf1bf4da06133f74f62f69cae5b597be4abb6d0f525f6e1a1b7799fc8,482504,1,1
2017-08-30,,0.62859999,1.1913,fd1469eacb296f4c8ce47f2909abe703ce5487e583db451cfe9136669343a2d6,482580,50,101
2017-08-31,0.74,,1.9313,65cb2e56b6562f75800ff69b048a493d94d6619158d5c15b2a0b3f6da8a45e4d,482749,2,1
2017-08-31,,0.74,1.1913,f8ca6897cead7e871aab42a1003ea5ef295ce6bf67e77514eeca0c7abb4ce189,482776,15,101
2017-08-31,0.42853,,1.61983,7c54e0a137088ac89d6e7a789f34879e190c7f885c7b10d7e2d2431a6943963d,482815,1,1
2017-09-01,,0.42853,1.1913,24f83bd6d660cefcbfc2ec2aa96dd878651962700874886fd64cf20a308eedfe,482920,18,101
2017-09-01,0.3081,,1.4994,7fbbe10426bb7fa50102a3374488e63ddd25ba35acaf84add352fef563654331,482925,1,1
2017-09-01,,0.3081,1.1913,c23ccb1bdb8ac0e3080c7cce22ab343e0c61b4ca03cafb02673c6965527e4276,482927,42,101
2017-09-04,2.0,,3.1913,55bbbad43627ba92e6cef377238552cd6be6d05f6df7e2ee71538d2429498860,483373,2,2
2017-09-04,,2.0,1.1913,07c707d31330705d3a67ccf39537884f1d85a29f61c05dbf801dd850893907ed,483376,14,100
2017-09-07,0.2983,,1.4896,f061665e09d4a08cf37b2c422a17cb3363c1034c42a27b8bbf9abc04be857e80,483939,1,1
2017-09-07,,0.2983,1.1913,c98da9cf4d55c131cf8bcf69281be23a35f9caa918399d6141be0eecc8abe8d2,483941,42,102
2017-09-14,0.7996,,1.9909,3c6cd0233ca27e9e8f17483d89b41a5656330d0a00f4d1b3b8ba826353935d3a,485104,2,1
2017-09-14,,0.7996,1.1913,2c98851516544d561c4493bc413d9127188d0a96771e410c6792ed3bd1c8e665,485119,7,100
2017-09-17,0.3098,,1.5011,9bb06d5717f5309c870bb0a318ea5bbc673bf8b095e6e10df71fd2b718022667,485695,1,1
2017-09-17,,0.3098,1.1913,23aa73f1b0c80cb66abeb15f33a213eee142a5efb4797a817b3ae88f2b618d8c,485700,10,101
2017-09-17,0.999777,,2.191077,b67d6dac8d34168364e9da6c8b5b1abc030763e663255af9adb7121937189aca,485778,1,1
2017-09-17,,0.999777,1.1913,5840c77f0b67a0445a433aa2f714062b36b6dbcdf696d66b58d40c5fc895810a,485785,12,101
2017-09-24,0.499,,1.6903,a5918873c8a6a0ea942a54f8213406e1c08f47a5014338ecfeb69a3ef28a6a5d,486796,2,1
2017-09-24,,0.499,1.1913,8c3813eb92730f629728ab97358a79730cbb90a65c913646b4670a092e73706f,486800,17,101
2017-09-25,0.41,,1.6013,7a69cb39d9b4f5fd9099872099f31e6dbdf30ff348cec16623f86f13c8bd2246,486916,2,1
2017-09-25,0.099,,1.7003,0ac8cb99c876e2956949b31888ee3d80999e77983397747f51229c7eae6ab3d6,486916,2,1
2017-09-25,,0.41,1.2903,8cf0f2cfee9afd04c7d5fd71074e2441453767188c85841d90e430f609842a72,486918,15,101
2017-10-04,0.299799,,1.590099,46346a918b4bc89cd318ea086b5be35ca7c82ac07de217d1b7e8d9c9a1d2abac,488282,1,1
2017-10-04,,0.299799,1.2903,2065dcd3b8d9072ffdeb8a4ef0d7cc5b299821cf36b5c6a015dd2ee97939ab75,488284,24,101
2017-11-18,0.0985,,1.3888,3e6af41ff62eb2595c1d53a1552b005265e8b61d0a5483e3f85611994f74e198,494929,2,1
2017-11-18,,0.0985,1.2903,fb2c28a78ecafda30ecc1f6bedc55984b691cee0e2226f309a025cfeebf55cf8,494932,25,101
