Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-12-12,0.00237108,,0.00237108,e3602e7cf0476d9b3e53de609e6d1f821d4653e66bd00866f74cb37813f89536,498981,1572,1
2017-12-13,,0.00237108,0.0,273db8438eb159338739b05c8057b50a0df41907c2a69bdd8b70e243003461a7,498983,63,152
2017-12-14,0.09024,,0.09024,98d418b54a6db4eac40cdfa3735f80c8f74e1ba783fc70416799a05005e87f9d,499265,2,1
2017-12-15,,0.09024,0.0,01c28c5d191193897e50819e54f6ba9012eadcad7b27e534accf2383a3829c72,499486,40,202
2017-12-15,0.00361399,,0.00361399,c23b0187e64a76d9f578e877b372fab5759a49fa6bc76101d9e90a52a1210cdb,499494,1803,1
2017-12-15,,0.00361399,0.0,d1340039e0b8dd0e1420ff2438a1cdace97afdf81d23c7b3563b66ba28b1e399,499496,103,202
2017-12-18,0.00354648,,0.00354648,9fbee7b45354ce451fda87728d1b6ec9177dc96a0537c6b0da2ed7194f16d2c1,500031,1446,1
2017-12-19,,0.00354648,0.0,f868e570c8310ad4194d9394c7db51a7f9fb228b5d7c5a6a4690fb71c0488058,500033,172,221
2017-12-21,0.00312391,,0.00312391,2090288a56ea7ca91363ce859d98c1bc02562d4465ad9db083dc11424df95feb,500676,1138,1
2017-12-23,,0.00312391,0.0,653ebe62fed48e2a032732e5fe2763d326666928e58009e7180a4f249166cd23,500678,117,201
2017-12-24,0.00321293,,0.00321293,a2db546067c18cd2efc99b09a60434d5c3df1914098ac82354e27d4806c38225,500839,1138,1
2017-12-24,,0.00321293,0.0,1ebc40b8a1bf46a86d5466c542c9444ba7fdaa9a3b9c061c948fe8b0cb4950b0,500841,88,201
2017-12-27,0.003155,,0.003155,17308fb1df4a467a05fcb46891022f641e2eedf5679c4d8cbabc015c0c8091ad,501292,1791,1
2017-12-27,,0.003155,0.0,a786170a1569abfbe42f53b2cccfc59fdf0594db1b2ddb3499ea6a8ff2ad05e7,501294,215,203
2017-12-30,0.0031908,,0.0031908,e55043bf9fdb7e3aefdb39ae16b257733216fb425b046f86a14f56e2567fffbb,501768,1407,1
2017-12-30,,0.0031908,0.0,31463a10a386b71315a25cff8e344df808e64516f6af44dcd0ba98a78aa56ed0,501772,127,201
