Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-17,0.00872895,,0.00872895,61b735527f4675259c2d6bfeda23320691f7d01302400750957580607f28c61c,466809,149,1
2017-05-17,,0.00872895,0.0,4b8d4a85090671023708821f12a2e46b390fc9cdf72e547fe14c628af223fc11,466810,1,101
2017-05-20,0.0392508,,0.0392508,eb5548c014f0244a93defeddbaf47051869a193c0e537b892eb9d7977c8a7744,467282,39,1
2017-05-20,,0.0392508,0.0,f475864a591022e645e885657931ca91bd4297e522f454e5fab64d776da9ef0f,467286,1,101
2017-05-20,0.1116998,,0.1116998,abe03b784d31f1d1816f8b4437d5f18b2344bb4bc0e637a42a59514b25783cc1,467295,95,1
2017-05-20,0.093139,,0.2048388,a2dea259c8a1665a8abb0c0efc85de005192f514d9b020bdaf8d622c99251d8c,467335,38,1
2017-05-21,,0.093139,0.1116998,57e27dc646781b0d006914a11a715a3bc051b7b0796dd49fa73d6e52593a4a05,467404,1,201
2017-05-21,,0.1116998,-0.0,ac1877f48a681d85a1ad21e52466fe60d32a349c947f2b1fff8eca233c949324,467421,1,201
2017-05-30,0.01033721,,0.01033721,ed308fa0fcb73470daac9ef288e76e698656e842dfc4a5aec43553a05806d820,468915,2,1
2017-05-31,,0.01033721,-0.0,bfeaed1f1333c10bb92ace7ed5cbaadb269ac73647136b48cec7f8c509d3192d,469082,18,107
2017-05-31,0.7999,,0.7999,1fb42d10043512586a08a6278b5de21ec78e540ddab52268c3d643dd3483e902,469104,67,1
2017-06-02,,0.7999,0.0,9804d44b1a692f4618377bd6e9b919da6b5716af83a1c86f27c063e1b2d1d272,469302,5,100
2017-06-02,0.3232,,0.3232,7c96654360d4d4808f160120529b6c5a3136cb66b6db636994ad03101588e425,469359,40,1
2017-06-02,,0.3232,0.0,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364,23,101
2017-06-03,0.06,,0.06,9c0a51faf964faf6f2b8723d3e0274bbc220f97e4f58090e3b96e184c854cf19,469543,2,1
2017-06-03,,0.06,0.0,a26b91e87698b8b4cfbe2ef6ef9b4648596a2c83861ef63727e8d3e64f314c14,469545,12,101
2017-06-10,0.045,,0.045,542f7760148c70656d22b5238707469620746a5c0581e3914e5531fafabf5253,470632,2,1
2017-06-10,,0.045,0.0,bc3ae899d57522b5893d28d6379e44fc87a3b11f63d333db06e823fd508c4d58,470634,4,101
2017-09-06,0.065,,0.065,177176c21434d25214f611b5c1486e93964eee777a831b77bd96c599f1cbf988,483891,2,1
2017-09-06,,0.065,0.0,de1a258257784a91a6a4f1f54c2cc28be6e33ab28ba82298bc8ee939539a82fb,483894,18,101
2017-09-07,0.008763,,0.008763,1a1232a1bb2aaecdac1e6b95abd018f575abefaea6d0c0a956b71ed5de2e93c7,484026,2,2
2017-09-07,,0.008763,0.0,8ae7db94e4bcd015844844de558f390d9cbf0d134f1a28ec224b81d42f4344f6,484029,19,101
2017-09-25,0.01072421,,0.01072421,82748400861330c87d5b09eb432641c7f9b349e8d45ebb8856f371c6d795be66,486844,32,1
2017-09-25,,0.01072421,0.0,62e7652950e20836b82a4fa4474bc53b54c1b6af2bf9eb71355e4263c0e7afd2,486846,43,101
2017-10-15,0.053,,0.053,57657a1cd4f018fa2587d324d0d564339abe18cef1cc117f8befdc678bc07f5f,489873,2,1
2017-10-15,0.01938901,,0.07238901,2602b953843ae6b101aa28e55f67e6e706b8327911a01d5ef6d4c05d1fa51fb8,489874,2,1
2017-10-15,,0.053,0.01938901,461f8333a4af5324cfefe31abd61caf16541af510731fa30ec8cf32797a74792,489877,34,101
2017-10-16,0.01121966,,0.03060867,bd5d5e6950a9cd8ac5288f1db886b4d7627a7107a4fa724dd5d492e177388595,490036,2,1
2017-10-16,,0.01121966,0.01938901,131d026697b85ca15a75db10dfd4d071bc9ac2f707a361c28eb21487a57cbb8a,490039,10,101
2017-10-16,0.0565,,0.07588901,cfb28142fe7e7ad3915ef1eb0b7b75b6f6c3fed2fb03f2aef7e0f0ac3aac03cd,490043,2,1
2017-10-16,,0.0565,0.01938901,ca626c7688173a383353a3d5c629f276099552bffb2ff0c3821fa7e59ae274e0,490047,39,101
