Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-07-14,4.7198,,4.7198,dec67a15278015a5685d720ee4b835b51874ab2a22b627b17cb27ac9b3b8b339,475782,2,1
2017-07-14,,4.7198,0.0,684cf82eab3ddb5b65bafb38f278d43d7922951cd0480e7b34f0cfb566688315,475800,41,101
2017-07-20,5.46087452,,5.46087452,fbed9964b437f42f55035b5bce78f251a9e37dca0f2c54ae28f934b9f1a33111,476617,2,1
2017-07-20,,5.46087452,0.0,1c19628bfd4d3b9a37cb97abc14b160450b65bcf66a6f28e5b604bf39324ba5a,476622,7,1
2017-08-16,1.89453381,,1.89453381,72c705e62a1f8461c714a9f871c9225d72b3393ce0bfef017e3173eeffba806b,480742,2,1
2017-08-16,1.84636202,,3.74089583,151ba327f3127ec23fb6191f7ae96e65e14763caf9ac175fd73e28b8edb8ff59,480819,2,1
2017-08-18,,1.89453381,1.84636202,9d611f348cb921084586b916e8e9126ac6319826dfc2bf785db8d60663576507,481134,17,329
2017-08-18,,1.84636202,0.0,aa882b94fd937998359bd557d2a5deea9c5598cbe09de0067946c2b00d4a46a4,481147,43,268
2017-08-20,1.87524292,,1.87524292,f125ca524ddb628ef2c36b83dd78f7a2b3942cdcd2a7e1c3ffee33a8803c339b,481345,2,1
2017-08-24,,1.87524292,0.0,62ab64da13042f43d0b741da9630f322858bec6124591554849454644d7d19cd,481845,47,176
2017-08-25,1.82421016,,1.82421016,d2d70022968875c929ca073e94181408856f3176bd5b33f307c048eb5a5f8399,482035,2,1
2017-08-26,,1.82421016,0.0,d5af90908d6826450a0ba062adfe23e2d786582a08953def96ec074e28b0ed0f,482038,43,101
2017-10-25,2.03434172,,2.03434172,7e90df2f69f2b48fe36b5e15ad3ebeb31d43555bb00d096fc87f5c9a73d84a1f,491672,2,1
2017-10-25,,2.03434172,0.0,b85a9524e635f871491db74f761d80ed4983ad976455ffe9d76e2d143551db05,491719,66,101
2017-10-31,2.31085668,,2.31085668,54c08dd3886ab851e14214fc9d834425812234395f742ff08d99be6cce187eab,492481,2,1
2017-10-31,,2.31085668,0.0,2a1a0f5aa329a1e3c76f49f5c35b32062af72ad6cfc24924f3dc4b54e24ae299,492490,19,101
2017-11-05,0.4995,,0.4995,dd3eca051c3dcf47806218a1da6252455c2489b596765b76303870c88d19386f,493191,5,6
2017-11-05,,0.4995,0.0,9a3c9d0fec2e389416d6b8fc789dd0435f4af62a6b17b0ed0cdb59e628f25219,493194,21,101
2017-11-07,0.49897313,,0.49897313,0028e90d9f97da4e8fb86002386f2b30d59a3db38303cdb13c0d9b6b8ff06209,493473,3,2
2017-11-07,,0.49897313,0.0,db50fb86c47f724faa4ad0e139c0d17ffd5c7542bd45f4a4c710c1ed83facbe8,493482,83,101
2017-11-22,3.33348772,,3.33348772,6a5206ba3613721efc82fe803e2ba4fb91ded8f0dbadecfa4f9951600b5be5db,495560,4,1
2017-11-25,4.99354527,,8.32703299,ae9c09e6c02afd8a55ba8044a7deb51920043cf9a676992c4a38a6ba01a5282e,496052,2,1
2017-11-26,,3.33348772,4.99354527,71b5b1bb2aa2be885f8b7e07435fa6c9f5ce30d02042211b2bfb08a04f76ddee,496173,33,101
2017-11-29,0.4992,,5.49274527,5c0daea636d0a8859b09d8761c4fbd9303d716602919c004b911de7bb8d661a3,496727,2,1
2017-12-01,0.4992,,5.99194527,0360d0ca8aa36fd2fac5547b151274a10fda32b09e296facccaa0fc13248fb8d,496975,2,1
2017-12-01,,4.99354527,0.9984,5fad4711025fa5ce51d8ed91245a12aaaee40908d8942055c613438ddb68faeb,497035,131,115
2017-12-03,0.48,,1.4784,3a4085094615536bf5a45e76646b74ab693cc69c4e50d512929c11ece1575634,497333,2,1
2017-12-04,0.69916685,,2.17756685,22b9f9a895df1078d90e5dc055a8b15d92e2f479c3cce2fc2ea4b3459c6a6bbc,497557,2,1
2017-12-05,0.50124625,,2.6788131,eb55ddf31cc39ca9e540ffe37e962cf661de8a4122e54c63db6a90b59a69b2e0,497755,2,1
2017-12-06,0.5,,3.1788131,bf514ce5f2976a72f5931a573998a79326f242b704e0298a58eee27263a645d8,497823,2,1
2017-12-14,0.99876368,,4.17757678,c37f9e61ad6ab5c159086bfb5f41c433913744b4ed95042c3621d1edaae9c68d,499247,2,1
2017-12-14,1.07650862,,5.2540854,77895869cee85384faf67a03f60ea8eeba7fb15bd35beca467d78ca907fc2e89,499280,2,1
2017-12-19,,1.07650862,4.17757678,c43a11ef68483285356e024e29446b8e62a66564702f247e9284437036d20934,500105,251,474
2017-12-27,,0.48,3.69757678,8724f761254b7f17649dbf97caecefab81f77f3e297efc69a3b62731be046994,501247,123,201
2017-12-27,,0.4992,3.19837678,fd4b27d2de1eaeff37f26ff582a6580a50c8c2d5a42d720ea377fe27da1e4a1e,501268,109,201
2017-12-28,,0.5,2.69837678,2ad77a1ffb789f353cc06fa6b16d17950b49317b7f72426025bd24a2598491a9,501344,55,201
2017-12-28,,0.50124625,2.19713053,11d370b277c7e1527e40afeaf425b59eea30cfb9d6f8b176836f525bb6143839,501356,45,201
2017-12-28,,0.69916685,1.49796368,fa433bcf4b6f91036968b9dca27191c105d72098bdd2af3383b559334771f577,501471,73,201
