Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-05,0.01,,0.01,12bb0714be9e1f6d910078144d13ef61001d25153d0b784ae20f02d0f63755dc,464913,36,1
2017-05-05,,0.01,0.0,e7cc6cb8f9c7c29a76c13a7a94ec8ff4686ed88ff64f7dece9f0655ae8a16f5e,464943,1,101
2017-05-14,0.4999,,0.4999,b3c4a743a5431ff1256ce12855a20314c4852b4b2ee37c774b6ad88cd9198117,466324,30,1
2017-05-14,,0.4999,0.0,dd00e74ccd9b002f13d847983f2f7a75b2a627b05a962eb758931c08c7307720,466327,1,101
2017-05-16,0.55754364,,0.55754364,c04aeb040a4acd752395a62747f6d64682c0295235cfc42051e1e41668605dfd,466664,28,1
2017-05-17,,0.55754364,0.0,9ba2edb117ad14a0fd5965c0fc63dd30dc2a0911faeab4e6db46b718cf7d2663,466750,1,201
2017-05-22,1e-05,,1e-05,52bb491cdb38ad3208a23b6f523384b08f523a3c51cd3540f5b2173832d0d748,469681,2,1
2017-05-27,0.175,,0.17501,103967c7c13141a7215d459e3424021cfff1a1a0b8dffc484447998e1a45315b,468379,2,2
2017-05-30,0.1374985,,0.3125085,6981e99b1a3dedef6683ed1bac7a75c286aad5e703e3f55ab9275b897f9740bd,468808,2,1
2017-06-01,,0.1374985,0.17501,c62a280c000423f5e04ec35c07fa4ef10ca40a3dc62105e2246a82116388709a,469222,26,101
2017-06-01,,0.175,1e-05,10e0c6ed3f813e539a29570369857cc7abe1024f66e49b6600aa25d0cac85410,469235,26,102
2017-06-02,0.2482,,0.24821,124f87dd9310f25562b5aa1514caa13a4e63c56d95f639a822a331c485ff5943,469358,2,1
2017-06-02,,0.2482,1e-05,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364,23,101
2017-06-04,,1e-05,-0.0,c691e0b421324d88659816d230ce67e71d6b2aac2fb85539f0f16c96883cf12e,469685,21,101
2017-06-06,0.6999,,0.6999,f1d4dae52c3a604ff964d337a96eafcfce5b41c1a0b1df646191cd42310a7c8a,469955,53,1
2017-06-06,,0.6999,0.0,da3429beb32c2f1f19e94cb6e50228b322a7b8aa4f79ae5179b78d7ff6efd959,469957,37,101
2017-06-07,0.6899,,0.6899,26b25f159e158c9fcc6d7cfdbbaae1cecf8b04f948e614287ea4e657de0d7963,470132,148,6
2017-06-07,,0.6899,0.0,395d4cecd9578750f3996191793d04ec8497b92f7d7577e530b159adb7dde1c4,470134,37,101
2017-06-09,0.11233188,,0.11233188,c1524ef26a5ade0aefa639a18e21c94b6519256d11a75e1b10ec2d2bc3fab9c2,470467,2,3
2017-06-09,,0.11233188,0.0,09f202ce98636dd9e5c0ae5f52e1cd6a3ad06b089fc4de05033708a84dccb6c8,470472,37,101
2017-06-09,0.42369785,,0.42369785,79c4c3ba63b8b11509e6d96a373bc8447edd910e2630f7c1749b7e34cd3e3adb,470502,50,1
2017-06-09,,0.42369785,0.0,d881b179f7255b77c4b12700d32680ecf301b03f04f4a859a933daf2055c8cd2,470506,44,101
2017-06-12,0.2113748,,0.2113748,1b7874117cb7985feb6606037cc8b1c86c54015fd319ebad932ed7f9c6e5889d,470926,2,1
2017-06-12,,0.2113748,0.0,2053b29963802e5f9a31df35d465e71ce7f7a72aacc8db4593015130eb3176b1,470928,31,101
2017-06-30,0.098,,0.098,f2276a7ad22cac4d5052d2d196eb00dd4e2282e6b4d21b82d39d04b63a461602,473505,2,1
2017-06-30,,0.098,0.0,6582508b802487b62523f5741a9b0094297722104321a47a905d10a5c51e0091,473508,4,101
2017-09-24,0.12116976,,0.12116976,2014c3ccf4d0d7752c65362fe8da65838f49f67de4db09a758b2bf973d1dda28,486761,2,2
2017-09-24,,0.12116976,0.0,025da406df9d786969472d7c41e0322042edd5a7030578ff515a18bc5cfb6ccc,486765,10,101
