Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-26,2.00182394,,2.00182394,0883364d722a98a7d9fa6c6411144dcd8f740cc80dd9129377a332f578abfbfe,468180,2,1
2017-05-26,,2.995,-0.99317606,db2625de4dabc358981a1e42951c90b6bb50e2becdb6745ae384d5ea3c814b12,468190,19,10
2017-05-26,,2.00182394,-2.995,5e2111560a32aa7c73bbb29e38a483638840fa228711122a967626821bf2af9f,468198,18,38
2017-05-26,,1.9965,-4.9915,fc8f88bd33104d535c20b5a0508ebc412b722b84c773afbc8372ca8d85ca3bf2,468213,29,62
2017-05-26,,1.1707405,-6.1622405,c2c007f2f55ce82fde15a3d6500606e69f20cdb3f277199dec166b6f863c18a7,468233,32,108
2017-05-26,,0.998,-7.1602405,22b54f83d7aae4aa8816e5190ee094b3e65f4eb7fc64523ecaf4dadcfe90ef49,468256,30,31
2017-05-26,1.9977,,-5.1625405,45b86eca1e9fac1574affd060094f3bf1246f048f2d27897a8f23419b3554644,468269,2,2
2017-05-26,,1.9977,-7.1602405,6884b8a15290011fac0c487fcabf0970d19c3a1de2ea315fc8d6297469aac413,468272,41,30
2017-05-29,1.09874006,,-6.06150044,2fb9638bb1b67e2a1da74063ab79da83871485c92f5ee159511d6c00036c8a93,468745,2,3
2017-05-30,,1.09874006,-7.1602405,3dcc405cf3961f8bdf25a5ea3e452a4066c3fe06b3ffdbb00b2bee322bb67bdd,468791,14,105
2017-06-01,5.74964784,,-1.41059266,f75694c58f9eb2ff23c59804d738ba89026530391a9ea611cba7d3a1ea8edeef,469175,2,2
2017-06-01,5.06052757,,3.64993491,9f15b526f29bd2f52f4a82a92a80adfb9c6ae288bd7daec7924f8ee8d9db135b,469185,2,2
2017-06-01,,5.74964784,-2.09971293,3476df22764aa5fd56fe46c7a69605ed77375856afe3a9fb8157e0e6d02ef7b8,469185,13,124
2017-06-01,,5.06052757,-7.1602405,fa90f7e08761e8e4380162d7b5451d39bb07040b99cf997419c0d751193bece6,469187,12,105
2017-06-01,3.9935,,-3.1667405,2f59bc8eea25586f833fa45974a2bbb6a854e460d0883da0ef9090e33090932d,469236,2,1
2017-06-01,6.989,,3.8222595,515d26265b99698e6259364b1811ceb984e3843d382a1691ae3f39c82844be9c,469251,2,1
2017-06-02,5.99050001,,9.81275951,7fe0451c3e069f10b50e3d6b6d2fc31ab4a565ad75cb40cadd1deb5c34679864,469284,2,1
2017-06-02,,6.989,2.82375951,8c3bd6b9dc68307a9bacc6f91994133466bde79eb26f0c771b5916dfe0b7ecd3,469282,14,101
2017-06-02,7.07027391,,9.89403342,0ef3112a20839bcd754c00909ab89064952c540ae6b176cc85b9f0136d52a8dc,469297,2,1
2017-06-03,,3.9935,5.90053342,e0da62e39860ba660921cabe73d4b86c7dfea612982d768d4196a3c6b77cb56b,469466,21,101
2017-06-04,,5.99050001,-0.08996659,26b67ee3f420f42543f3c37eeca278222e72e8e9b5071d0c0dd9fee167517840,469614,26,101
2017-06-04,0.9989,,0.90893341,2d0af64f4147e33b6decf4cc8a345495be463afe7b21b0a6d1b0026141153034,469730,2,2
2017-06-04,,0.9989,-0.08996659,1dfb59b11ec9d0a34b457d5bae9a10372c5a590d5e27190c48a331b511cfd882,469733,26,101
2017-06-05,1.9983,,1.90833341,2739f7186599785c8dfcf4dbb8b104fbbc01db024d61c36002a420c893e9c23d,469856,2,3
2017-06-05,,1.9983,-0.08996659,fc546ded6ae1357b69fd791e1009780c69db3b9cdf7866a33084de52e5111971,469862,26,101
2017-06-06,,7.07027391,-7.1602405,2274edb88f3fa223a0f855f441a2d02980faf19c1c835e4f4f8d85efc98ee435,470006,2,474
2017-06-09,1.22629489,,-5.93394561,4a30e64f6b977b47627958dbe2fc4e4ed045ea0f2120d8b03f6ad3bd08d7f5b5,470439,2,1
2017-06-09,,1.22629489,-7.1602405,7fea06d288fc4a16e850fc6a681c49a68db6de5d8419a011b56878c285da0bd1,470451,36,102
2017-06-09,0.73118001,,-6.42906049,c9b9568b902a75f4d13aeb89ae49d8eb086655055507a8309d438826c3aa6131,470518,2,1
2017-06-09,4.06614276,,-2.36291773,3ef5866ed88d78319afd3a5d4233b071581fb824c4a20189033d646852c3b84a,470518,2,1
2017-06-09,,0.73118001,-3.09409774,b375a964bc7028112bffa6e7808a075b7c3c361e2e6ca0c50a98f0cf65067eac,470527,5,101
2017-06-10,,4.06614276,-7.1602405,87e160926d96881cb8a0c878f531da3d3c96fd1a4c9afdb6f45fdb2b5157c744,470672,12,101
