Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-04-24,0.31229489,,0.31229489,e3526e12695a6509d29ed9c5d0d2d3b2f8706ec11c8cbc0e53befcf3399fbac4,463379,1,1
2017-04-25,,0.31229489,0.0,9306242aafd2a39eba7e55c8c7c77d1f6720860f06e5b0337ad074698133f824,463380,1,101
2017-05-13,0.26460647,,0.26460647,9856cb65f2fb4b29c4dd78a59334f179601689729736b68ae88285ef7e1c17d7,466208,148,2
2017-05-14,,0.26460647,0.0,8ea32da90106661647e3701b073fb1531f6d948e3753dbf6d62c5a23beb78aaf,466273,1,101
2017-05-19,1.0,,1.0,cf443d04cdb8f4b8cc2286d87a8f509a2a2869b648b30a300bfc798496b164fc,467154,7,2
2017-05-19,,1.0,0.0,b4aa386ab285f4437f11c7fd8451a9c62bbe2975156138d6ab2f8754f17b2d65,467156,1,201
2017-05-25,1.50802931,,1.50802931,87088afd4b1435d3dd4d656cf39a98ad3acdd03b49875039a7e1013feecabead,468019,1,2
2017-05-25,,1.50802931,0.0,c2528d20662dae233bd2055fe4e87ed73479c263876556d082efb1ef5aef2b62,468054,18,100
2017-06-08,0.51,,0.51,9a99c0a62869df43b8188fbb6501c3490ca794373ff6e759134456c1122704bd,470393,3,1
2017-06-08,,0.51,0.0,8aab8f7ad15ba789e2cb223b1162babfea26c4ba2d055bcc8ad95bc9c9dc08b3,470395,46,101
2017-06-14,0.02989538,,0.02989538,327325d820cec777816789ad8c6aa019f84f5308edef6d519022b394834bf3c4,471265,50,1
2017-06-14,,0.02989538,0.0,f25c944b647e7202f27ca6a0b4f9710489ec3a797b90eb75dc8afdd32629376a,471267,35,101
2017-07-05,1.2,,1.2,e4b93adc298449ca55758c2eda565b678314660372f6b99a45691de81eb24e11,474353,2,1
2017-07-05,,1.2,0.0,62eebba45712de5c6e3b57d16ffceb3fe5538753b5ca31f654ca392d5b79e00c,474355,11,101
2017-07-14,0.4,,0.4,d4a17e6ff6c50352b011dc0a90d268e095e9e6087cc5734a029c5c1e47e2cd92,475835,2,1
2017-07-15,,0.4,0.0,18d1f7517fe82419447f9c5e1f850c3e8423f3547e963af1ca6d43ef1f0510fb,475840,8,100
2017-08-10,1.1,,1.1,4781ca1e555f9010d91ae92746601e8743508f8b3a36db87acf24060734c0119,479882,2,1
2017-08-10,,1.1,0.0,6bb3f67b44c3f404e2f6f0d415c0ad6a58aa912fbf8815e3ba59db67b6f74122,479891,8,101
2017-08-31,0.22275045,,0.22275045,94f820010131a424d16e7042e7aa70829a019b0ce373f8454e1300fd815df115,482851,51,1
2017-08-31,,0.22275045,0.0,d77cac188123372955ae86b507a0b0d21a5a0ff1f5e2408834c4f81843e16de4,482858,22,101
