Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-05,0.11315456,,0.11315456,758b2d6fa093af968dc23964c173be590d6fb50c97f1c9eb7fbdfa14904912a6,469847,84,2
2017-06-05,0.13742,,0.25057456,61d15f9f80cae58269e3ac7e138beebb9d1580defde54b82cbeeaff76a254120,469849,2,1
2017-06-05,,0.11315456,0.13742,9e4460eba988c6fa22f4b1be09c342a9e38583d059496dcefb6d594378d87c59,469849,26,101
2017-06-05,,0.13742,0.0,9f7269214d850a26872c5b363b65cedfa5d7caac54b99d77538be447216342bf,469851,26,101
2017-06-16,0.29247333,,0.29247333,6f473df5d48f2df4cfb590d8caa56ede723e873e378d6a62c1aa6f206223918c,471526,4,1
2017-06-16,,0.29247333,0.0,87b8e792cfcc37a16162a4a6311a143ce481d41a1200fe72cb9044153e7c67ea,471530,48,101
2017-06-23,0.2042,,0.2042,c5dd19064e4c8494b3ecebe6354f6ba672638d74b40b2014b455a0c5218e334a,472584,8,5
2017-06-23,,0.2042,0.0,9dec285aaea95919fd1006b9ecba3bec7d8b9341d013a0ccecfa4934ca115c4f,472587,13,101
2017-06-26,0.0924,,0.0924,8c14e6616176d53f278b7dce579af3310f8caed7ebc7fc37a9d5946a493d959d,472983,5,6
2017-06-26,,0.0924,0.0,b15df3847b6f95accf356634ab4b2a8df5fcf179fe7bd5c40b5cb911f453a9a6,472986,14,101
2017-06-27,0.099,,0.099,14a2fa604c6eee9e8a378121cbfc8fd7e97c4621116280c6de04e90244e2014b,473133,21,10
2017-06-27,,0.099,0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135,35,101
2017-06-27,0.06739,,0.06739,69c603aa326dca0a7edb70176fa7153972d011e4074dc29049e4563be9f4f616,473135,8,10
2017-06-27,,0.06739,0.0,46e6dd241fa61278703c6630f47a3badc85e58177752cc7f676eb2fc5553b63d,473137,11,101
2017-07-06,0.08290429,,0.08290429,f110f857e3d8c5f8195ee43ec688fee9747cce17d4a2fd0834d16aa351b346e7,474505,2,7
2017-07-06,,0.08290429,0.0,1b8cb46bb58e76de68fd5e72743efeb653eba48906987ef68365b453df576495,474507,14,101
2017-07-11,0.139,,0.139,708eb720195d56c4924a9a2fa7c9762b52f4cf1e46c24152a7b07ec4e0a08dfe,475307,9,13
2017-07-11,,0.139,0.0,1921a59011720b914145bedb3241a0c82e950abfe4e03c7b8d987f8e628bf67f,475309,62,104
2017-08-19,0.1986,,0.1986,6915a4f3fd4d67fed58543d3707d8aa19fd7c199d6ab8a40d442228730654e5a,481153,6,3
2017-08-19,,0.1986,0.0,2991756c8cc5bb4c8634543842148228f78846f27159c644cf519c683e874f1e,481182,52,101
