Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-23,0.203925,,0.203925,5a3251422ec0b5f1111c48fb55b0130685af41d412316e49588ce682f0bac0ab,472516,11,1
2017-06-23,,0.203925,0.0,ebbb8cd281491d5e2c3836e891590fc9762e1a7f61c7bbc530e332f7f13406b3,472522,15,101
2017-06-27,0.70166002,,0.70166002,738034b91beb202ef5c66e5ca02264c7360a7da62f11f5a76382d0c6d0db5b0b,473016,11,6
2017-06-27,,0.70166002,0.0,2b8fd41b40c77f2c71ab11681f6af1d747dad321eb49cb538f6aaed5293770f0,473019,9,101
2017-08-10,1.55667731,,1.55667731,7ae1553207a647170c98e8357c80b529d110dd8681bbe0249c9a69efee5e9cba,479885,51,2
2017-08-10,,1.55667731,0.0,4a1259240cd13e8462279f87cbffef3bf56557b5d011b80f64b83f74ffc2afb4,479893,43,101
2017-08-12,1.52688544,,1.52688544,2f9bb38298510a3cd6dcedd0f600e35cb1cc53be96f983bfecaa7a765becb120,480224,12,7
2017-08-13,1.40337982,,2.93026526,4a1e41e921838d91d242776b3772f8da943446c9798dc71720eab6f77505f536,480328,9,2
2017-08-24,,1.40337982,1.52688544,2d0f760d3d61e59593c46918ea22c4447b6e5de5ecb662369132cb4b6d62373e,481832,10,176
2017-08-24,,1.52688544,0.0,a8ba02bbe24031689ca754e33b3a72ba03bf9af2a308aa55e5b73e10be5820ef,481835,14,175
2017-10-28,0.01270207,,0.01270207,a6c89c65b4c28ba521785b82bf0cff09728cbbd95a505ff37221b09605998e24,492077,26,1
2017-10-28,,0.01270207,0.0,a2160de04c4a81ee47e6d937210e90e5c6aab95eeb04fb0ec73d956c96aa4f5d,492080,73,101
2017-12-07,0.2141,,0.2141,35207f5af8fdc2eb6eebbb840b69b6bc383f04c46143456aea96f8e6561417a3,498076,5,1
2017-12-10,,0.2141,0.0,f9e76f1d89e65db05e1a2a95b2e8eca9c871a25e3c478d005af45779be4f04fa,498607,50,201
2017-12-16,0.00758681,,0.00758681,36a1e8778ab722c2f7342b65e6658d3cf02cfb4430132876f935ee839705a8d1,499623,6,3
2017-12-16,,0.00758681,0.0,5c82868b359ef26e7906b813518b74adf2cad4e8cf5ebe4947328260eebeb7ab,499626,121,202
2017-12-27,0.21360874,,0.21360874,23aabb6619c4d9cc9e4adca1d56ab30b74114cc97fc0bae69963e50c413a1495,501280,2,1
2017-12-27,,0.21360874,0.0,a98aa030a4bab5a4a3de27d7a0a785f49fb39a8f000e8793bda234c51adb07a1,501288,188,201
