Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-22,0.03813925,,0.03813925,83b8b7dacde3d39cfe0b39b4b92252c8dbf89b18bb8f1ecf5ee4936f02a1de74,472329,2,1
2017-06-22,,0.03813925,0.0,4de3513b80d103f665ae5c01cc1dabf75c0a5ee083e13f539208ae8d8c652005,472331,25,101
2017-06-22,0.03759341,,0.03759341,59597102fe1755901ff756675f8fa446a6a1585cfacf9c7731a1c28fc7d161ca,472343,2,1
2017-06-22,,0.03759341,0.0,31080fee95337e61e12bc45a2a75828c84bda20c5002375b0464e46f636420ad,472345,9,101
2017-06-27,0.04363962,,0.04363962,0144a92d1d23cf41a4b8470ae046a7c099e5a6e8863d833885c8744d9928ae82,473068,2,1
2017-06-27,,0.04363962,0.0,3f73b11f11f83564effd9c38dba2a1e79afdf1f3b1ac13b4b52b798820e5e943,473071,33,101
2017-06-27,0.04387739,,0.04387739,f887d1039e828652e7585accd883ab642425490e1fe734300b58b56d093340d1,473132,2,1
2017-06-27,,0.04387739,0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135,35,101
2017-06-28,0.01890856,,0.01890856,7bf25ee062b3cae585ebc055e524480cab5109097ee533ab3a8768c367a7f4cf,473152,1,1
2017-06-28,,0.01890856,0.0,f21547704c19c19c7bb356e321ee819d4d26b621001dac6087b733d90c4601b6,473154,30,101
2017-07-09,0.00604835,,0.00604835,4f652acca53112f35e81f98762156b79068b6b70d9dc83de924c7927cf813a4b,474988,2,2
2017-07-09,,0.00604835,0.0,6323f7fe4ec24c2d0ce6a7a5798a65682bbdc61bedc769652803b88cddd704a6,474990,30,101
2017-07-09,0.0207334,,0.0207334,6a91ba6cfe632598044578c4f9d586f9b281dfc07500a9a8c223bda6b55e769d,474991,2,1
2017-07-10,,0.0207334,0.0,58ce2849071474551ff7c810f11d200bd0cfa55cf952613a2aee2f61d1c5c7e4,474994,32,101
2017-07-10,0.00303214,,0.00303214,91fb3a245b6d0751b9c6b43b9dd6d87978fae50eb472267fa657e8b65a463995,475078,2,1
2017-07-10,,0.00303214,0.0,9e4e3bc287f0c47921d73b0dd2d712fed5922dabed68c3fb850fb50adbf40af5,475081,40,101
2017-08-12,0.1503878,,0.1503878,fbdbdbbc839be806408f61fe5368724dd78ad78d608b9a493d7cf90c332c835f,480153,6,1
2017-08-12,,0.1503878,0.0,110abe069fbad2356292a75e9923e298ab80d88c585e2feb1f5ff4e472272866,480157,64,101
2017-08-12,0.05927196,,0.05927196,30aeccf2a4a2568b78fdc62480957d6999581d5e308fc4adbe1214e8614a7f2a,480178,150,1
2017-08-12,,0.05927196,0.0,231a05cb26c18ad58be3ab2f7b94caec56cb2c617c1e91c9c4e4b9deb7eb8b98,480185,90,101
