Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-27,0.001,,0.001,c0bf9d20097d0ebe08e3649421603ba005b690b545aadf21524b3cdebf3f2566,473128,2,1
2017-06-27,,0.001,0.0,7e89d8ac686fcbec314095f3ef517c0c20058a0d68e289dde2404e40c32ac16a,473131,30,101
2017-06-27,0.1,,0.1,d18266d5d7e0a5abfa412be3a6352fcda3d7b20259b85bf4c4807e1776340838,473133,2,1
2017-06-27,,0.1,0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135,35,101
2017-06-29,0.39463569,,0.39463569,01d7146f71fd6f49eaf47d2dd11b11209b2ec90c05c1fa1172c66b7ab382cc40,473398,2,1
2017-06-29,,0.39463569,0.0,9046c49af188ec46ce853d97bf2c78dfd7e10afcb48280a1a41d1caa52bbc913,473407,27,101
2017-07-12,0.25,,0.25,a47d2106b430a57a15ad37d4edb4ebd877fc5a56da955f520bc13215c8827583,475366,2,1
2017-07-12,,0.25,0.0,19a2c449e735536ac0edae512f367af19df6abc9fa8904a1f77e24408a4a03ab,475368,7,100
2017-12-22,1.0,,1.0,797d383129b06d052e59b0c6919c017dfd75208267ee072ac866d052ee629587,500530,2,1
2017-12-22,,1.0,0.0,99581bc4ba8b2c97ac730c69aff7461171c8c294c0ad09dfec217a05b84381fb,500536,60,251
