Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-04-06,0.48427922,,0.48427922,2c19e5262a324203f19b9204b898bc3fd5e8f70c9ee3a5c7d21ff3824ea10f31,460641,2,1
2017-04-06,,0.48427922,0.0,8b2e70f7af0c8670f0fe4a4afeaf74b9f1b892cb5f7ef77bd19022eeb9646c89,460647,1,101
2017-04-07,1.157,,1.157,8e40c99b3a9738f305417bca8370471500d2f8910392375dd78ae76f5200cd5c,460748,2,3
2017-04-07,,1.157,0.0,d467303fe3da27eeda30939b2c2aeae1a914b9fb78508a76059a27960c40884c,460749,1,101
2017-05-06,0.81653013,,0.81653013,ad25d7f7aa224595575d5a4bd8e90ef16396a580e340f883c7856d3e95694e42,465143,3,2
2017-05-06,,0.81653013,0.0,0b117e99a8c7ff623d86f87a0edc398b1a53d16ba9c76593896f5037f1fca535,465146,1,101
2017-05-07,0.7974495,,0.7974495,60cf0ed83edc150c4778a387516ede5c8a49c3f17eb94f535abcd56438fb0c08,465261,2,4
2017-05-07,,0.7974495,0.0,12c54b3806d033a147607c2b128bc53a4ea017f3ceccd578ebdb6019a0606b4b,465263,1,101
2017-05-08,0.99799999,,0.99799999,da38c22b2b85a3871c9d1c7300f6f1389df0cba661f2a8c987b5dbb056f043b6,465365,2,3
2017-05-08,,0.99799999,0.0,d8d947ed97af3c5d27995e8a7c477365e7835dc2ef1f06767326510a99ba12f8,465370,1,101
2017-05-12,0.544,,0.544,f424d98480c7fe33e6e0a0f62087edab8b97a63ed3fa99687f48dd39aeb29461,466061,2,1
2017-05-12,,0.544,0.0,95b81ca7372714889fa19927b928a4358b5166d3835dc0988bcef1f2de25e141,466064,1,101
2017-05-21,0.45257511,,0.45257511,99743d1e88364d19fe380e24951ba72fb431569502284d1ef746bb986ec28927,467353,8,1
2017-05-21,,0.45257511,0.0,7903e7ba0f3a28f5e28c30422e83d92bdb9d173a22f442e6e3248c61587fa21e,467393,1,201
2017-05-24,2.47084979,,2.47084979,e687e80ed99281c9fed07e016874f2751327024725e01728969f34b7fa62e8c9,467847,3,1
2017-05-24,,2.47084979,0.0,440e013aa854f4df830cb2c4ff1799b0f63308d8b9a5eea134fc1f733d6a989f,467850,1,201
