Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-19,0.15146626,,0.15146626,18321be2a006f10f52c50102f3b0d9e3e7c62444df2f783eff98b194782fdade,467106,2,1
2017-05-19,,0.15146626,0.0,878481976d62113e5fd28d98431ba20978c4f645a219f5a6c492c96408a935bc,467143,1,201
2017-05-20,0.07422976,,0.07422976,3b4e182ceebd91a24f9a70c0e01998ef59a509a43553ad784ef5bbdb739b5589,467288,2,1
2017-05-20,,0.07422976,0.0,38ddbb63a3ff8937429b4385175b482ded8d8efb80bc596058e00169664f432c,467289,1,101
2017-06-02,0.12233291,,0.12233291,e8485e4aad360a0ed99ae2d4c97ddf3c28363a847f5d42ceb7eff7c6524cc73d,469359,2,1
2017-06-02,,0.12233291,0.0,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364,23,101
2017-06-09,0.10657,,0.10657,2e94b6b60d550152d83cfad38deca369f7e82d3fa7157292b79925db13ceeb63,470511,2,1
2017-06-09,,0.10657,0.0,6a2cb8b4e9d4904a0acb984095aee88979f8af5d9af4c6f0fd0fccb1c38c82f0,470513,9,101
2017-10-14,0.278,,0.278,3e8444199a909f22dae28f70d8cccc67b8072866f741f62271cbb217494a9495,489786,2,6
2017-10-14,,0.278,0.0,b5a6139dc8753ac40311798714d0461133838845eb9cc2decaa082110ca796b6,489790,14,101
2017-10-18,0.05946233,,0.05946233,d13d07865a8877f9251ada68feb9ae65bbb2768766b9328146f4dc951aa8b0c1,490429,2,1
2017-10-18,,0.05946233,0.0,a5c2e2055c26b9bd75e0775c85a7042ee695152d05962b3c0f085165e01fb22c,490432,20,101
2017-11-22,0.1383446,,0.1383446,312490b4152910eb1f4a174bd2ca2aba2c6f9e312c1b7d9e839c132dda4b503c,495526,2,1
2017-11-22,,0.1383446,0.0,8818aa3c7435b0dc869567ac3d0c8aaa63cfe0807f9906d2c6b807094ea7b9a4,495529,89,101
2017-12-17,0.00483691,,0.00483691,07fa393568ac472fd878933d21a201f2ccad2105ef8e2206f0795c95ff50b347,499711,2,1
2017-12-17,,0.00483691,0.0,c11ea7a7f17f6841970578eea5f15d50e44cde92f33bdbfc38f84ae41950e155,499713,26,201
