Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-04-21,0.0064,,0.0064,f6de77f4dcd865d9cd80ed8547adf67db06551a9583565e1f73a05c4392e41ee,462868,2,1
2017-04-21,,0.0064,0.0,548efc518c0cd8d320d9b02daec128e90976e6bc2c33743eedeb57d0a0acae2e,462875,1,101
2017-04-22,0.28,,0.28,4215311209258a8a8ff259edf9eb629859bae1ec922134f02d613acb366719c5,462932,2,1
2017-04-22,,0.28,0.0,50dad8d4bcae3fba74c4e48364e6562c2c902c3aba6a10f5d43b04905242cefe,462942,1,101
2017-04-26,0.27,,0.27,13c7dc2b685dec248ed259cadcbfef8eca7f4bf1eafdf22d28629792eda3e5df,463516,2,1
2017-04-26,,0.27,0.0,451be6453bc7d0ecbdac69070d9bf7eebc96a17c0623402d29cc9eeb0c65e9ec,463525,1,101
2017-04-30,0.78,,0.78,d28decea642c8ee42c210f0cfad74efae7d7c30cd01b3aa06836eeeea3091b20,464123,2,1
2017-04-30,,0.78,0.0,5b909f7ce919592d0c01d5fe015afe74256fdf363b831d5783dfac275d2140e0,464127,1,101
2017-05-05,0.075,,0.075,41c8a1ad8879ddaac20bc05ec44178eaae71d507e0ab5d247623f8df60c29bcb,464978,2,25
2017-05-05,,0.075,0.0,797f2edf6b00a724bf9432ea32295d88f123279efe1c51f29d11edb2d9093b9b,464979,1,101
2017-05-18,0.028,,0.028,d5d32866ddfaafb633b7181fe66db354d5ee426e8078666730b2327cd4b3f74f,466988,2,1
2017-05-18,,0.028,0.0,f4ad17291dd102ec4efe8cb748608ded7fd64d08e27e0eb947e431f364844367,466995,1,201
2017-05-20,0.0233,,0.0233,b8e421e9a6b440c1e82535d37f78ea0528f79d1cb334595e5f01f487f5e75b8a,467180,2,1
2017-05-20,0.024,,0.0473,3ce1a65a4829106a9bfc33e15e64905ea2e6c39c689ec693c5c37603379222b6,467184,2,1
2017-05-20,,0.0233,0.024,3e87eb0bc09f1cb68ab1498e8e8826f1a442dab992a342aa7fe15dad1e87bd4d,467184,1,201
2017-05-20,,0.024,0.0,41b7a8a4d07b451b28852c7f692e0a6ffb348192690d2576573ed111e9f1a062,467187,1,201
2017-05-20,2.0,,2.0,7cbde70625bc588888207f7f980e1aeb49d7c47b96538ca89aeed1a9e5f4cae2,467508,2,2
2017-05-22,,2.0,0.0,8243391327311de997d983b291f792454d8ef9f661bc4b60469f0c348483990f,467510,1,201
2017-05-23,1.56271661,,1.56271661,6a3ad0d81812292cc6712b787a8ce993abe89b390c2278f6c3b61f381c87d659,468018,2,1
2017-05-25,,1.56271661,0.0,c2528d20662dae233bd2055fe4e87ed73479c263876556d082efb1ef5aef2b62,468054,18,100
