Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-23,0.30916508,,0.30916508,1c0021d716ca918fc261f0ea80d5f4b6e2ab1bfeb1289fee644f2dbac1d3058b,467737,1,6
2017-05-23,,0.30916508,0.0,11dbc6659c93aa19bd1f14fd0188411df1d6308e125d5f2580bbe093aad85d15,467738,1,201
2017-05-24,0.20884431,,0.20884431,df83210cf09eb774d1582b80c76fb1a28dab62beb9749325f6db415c8b391c15,467827,1,2
2017-05-24,,0.20884431,0.0,b04bcc394222bf32bd557690c8926130c70dd91c3ed5514efd175a5be991ed19,467829,1,201
2017-05-24,0.06844679,,0.06844679,3a16a5381dc1d60899b2dab1f7027d678d2dddfa690ec8f2b4513de7310b7437,467897,1,1
2017-05-24,,0.06844679,0.0,911a067e95421aa0eb0016a4d2d3d1fafa411c8ca1b6021b085682f2caab1910,467899,1,201
2017-05-27,0.5,,0.5,74b104ba0fd5f203f820ed31ecca868bcf99fc461ebb62d6a604a77c2616fccb,468333,2,7
2017-05-28,,0.5,0.0,317a17879ff36d2d7f21cb90ecaefc0a63e20f8361d505e1d4327b88622376c9,468568,14,82
2017-05-31,1.0,,1.0,f43cffe44eaad5c356d1ef1364c42743e999f7fbb32e9523ea3164f32790b203,469019,2,6
2017-05-31,0.95,,1.95,08721e137c7a9986bd2fc1f3fadd94b83bc11dff504e3916955f821ffb8038c4,469048,2,3
2017-05-31,,1.0,0.95,85d8a351ed9d70d59f665ba71ca87a14b91442e5ccccb376a611954f1fb62763,469048,30,114
2017-05-31,,0.95,0.0,5ce5f1d82d3e655ae23477afe85f8e91a181b979dd5facf2459ad001ee2eeafb,469053,41,182
2017-06-02,0.18838434,,0.18838434,30c644823af4e0b5476d7ef8874e4f712893ca8176285695e295f40bdce5c6f6,469346,1,1
2017-06-02,,0.18838434,0.0,ec3b1510c62a69cc93315dc4796f6850e3dbd5f5ba9d2c7a0c44551c8ead85e0,469349,9,101
2017-06-02,0.09806989,,0.09806989,fb0bff5e7e05da1c82a580501bda81ccd3a7f5fe3a71ab07599ab115eb7c60a8,469359,1,1
2017-06-02,,0.09806989,0.0,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364,23,101
2017-06-04,0.59602742,,0.59602742,eb615bfad27c12cc1c3c4b1c2d151c3d5ff6703df79bee7f83ef9197e19c9465,469639,1,2
2017-06-04,,0.59602742,0.0,ce97982683cb57012af1563686ba0647bd4b1967bda5fbc8c1a1ba58bb33eca4,469653,6,101
2017-06-04,0.24602678,,0.24602678,f2308680bd44da2a74b6fc1f1dcab36443caa3b84b92d0b07052d6b9d6fb2752,469754,1,2
2017-06-04,,0.24602678,0.0,0d9a3d05cdbd5268364a3e57bd8d4a0ef92fd9d023de7aa10c0612cd48127da7,469758,26,103
