Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-05,0.002745,,0.002745,1324a36f9fad1d2f78babf8b0dcbc6c3898da504dbd0c8b0c9d105cf5beb7759,464955,2,1
2017-05-05,,0.002745,0.0,1744776f43b37aae96beba4c9e8032ef1e59e452f2dc7eff310e720e907802e1,464957,1,101
2017-05-20,0.0502,,0.0502,954d92302149a138b9b1518887c28bea46feb3fc4419430c5fef1b95550447ca,467304,89,2
2017-05-21,,0.0502,0.0,9c15eca6896b0468b1376c9efa6f26a33034b3ff15c0775e738e6f9ebe7a6209,467424,1,201
2017-05-26,0.00213805,,0.00213805,c3c902491829e836df2089f4ccaee85c429174f0e60e6c44bb7f3a0b67bee49b,468257,2,1
2017-05-26,,0.00213805,0.0,5a520f6411e76975d11779f1b2a23a5cfe5398bf75f017ee9647f7240d504925,468259,30,24
2017-06-09,0.0334,,0.0334,0186d36e91eb194cf05f275bbc2904118cba2221ae538ffe9fea46023453c804,470425,29,101
2017-06-09,,0.0334,0.0,42897426b8dd181d028c6ea851bd4b5ccad6b574b30b139cc131b067961de071,470427,18,101
2017-06-10,0.03286,,0.03286,0e640725f3095f31a81c305e2587c583983a40e0cd23792b11dca348a07a7303,470576,20,101
2017-06-10,,0.03286,0.0,48125b52ceb798a45a7677e7193b53d4beaf1531a07e0a0b5373af1ceb675856,470580,8,101
2017-06-15,0.03757,,0.03757,c78dc944d600511c9e9a28b6a57ec0cc330fc8b2905667a79ff1c5b55ff39210,471336,36,1
2017-06-15,,0.03757,0.0,f31c8b45793f55106a0ff5dd658cc4afc7e3449b65a8f0b998df949baf5a4d71,471340,33,101
2017-06-27,0.08545,,0.08545,d1f3c7e6d6cc7d4574b88cf811be6deccd8422d9d51d8e551b4ca0d1ca84f9e4,473133,33,101
2017-06-27,,0.08545,0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135,35,101
2017-06-28,0.3199,,0.3199,f50358f811967bb22cb2c9764c626e816f025c678cfc806ef2e1a33d0e87f47c,473161,34,1
2017-06-28,,0.3199,0.0,6be4c6ee3d285c4cd6d77d39d30e1e1795f564d57317ff94f5916746c0e8c831,473165,9,101
2017-06-28,0.07110217,,0.07110217,c1a777708b69fdecb51b22d2b7d0d4609f5c28450403b18af316aed1661c6aae,473259,54,101
2017-06-28,,0.07110217,0.0,e8c5afbb5c21e11279a405e53504b122db5baf8df98429837bb484c75d7940d4,473261,14,101
2017-07-17,0.01430956,,0.01430956,474c49875a917ad006d9fac3f08627b5f0fa6bd4f0e7fec7354f15c3e747055f,476157,6,1
2017-07-17,,0.01430956,0.0,79eb4f8f3c3ebd13559c4d86a9d2072c308afca5e2f94673d302324630087b6f,476160,23,101
