Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-07-01,0.40620259,,0.40620259,2535955d8fab3cc524a0cfb13f96ac9ab3ea01d410c9a8b2bff3d74b5448bb0e,473689,49,1
2017-07-01,,0.40620259,0.0,4b1dec5dc98fda97f361bff2f29dde45b22d3133af6c7c8413df58b0b2901545,473692,34,101
2017-07-01,0.3999,,0.3999,7115eba439e743f37df1a3f1602de42a7fc2ece285208fc17e2da57a9ed9b4b4,473704,42,1
2017-07-01,,0.3999,0.0,42ece6c362fad008e22fa524f0a91d85c36cdd1c073304c488ebbe149c10522a,473707,14,101
2017-07-23,0.44351168,,0.44351168,98b65535a80e236d7cb195309131415645027e3b68fefdb608662deff0607291,477219,21,2
2017-07-23,,0.44351168,0.0,62a688dae2dfdf809f23429f07b876f72bc9105cd204d33a61aab303d09f6c04,477225,32,101
2017-08-11,0.1,,0.1,768320c40a401730f729cc9c76ec50055171d40c59cbd01112d2c0f72b948281,480129,2,2
2017-08-12,,0.1,0.0,08db0e1be889ce2b84ef867479e0fb0680df9f0846910e93982b7b947d0de672,480131,19,102
2017-08-17,0.05,,0.05,fbbbd1147f6c1eb968bbcc46f470cea37a2c67d1ed61d6cc230888373b05b5ac,480932,64,2
2017-08-17,,0.05,0.0,49ba65332be9d0d3e7af1e9558dff36d4916194ad47e4df437a555668c1834ef,480939,106,107
2017-08-23,2.0,,2.0,5d82031a4a90a1271b5e60bbea3ba727c039928171c920eea7eda405aca6e13a,481772,2,2
2017-08-23,2.0,,4.0,e5fa7fd86f664a21b72770ee92026222624216fbd7cf1678c55f68a485925c30,481713,2,3
2017-08-24,,2.0,2.0,a19c367fcb3fb31e3c9a801bb1d672faa370de683673ceaa3639907a83bc44dc,481846,11,176
2017-08-24,,2.0,0.0,37cebe7ba7656a1318a2736772600b51f2214a8d0b5432856902e75a04a0ad09,481846,92,176
2017-10-27,0.19825043,,0.19825043,b1f96b55d0744f78a37b2269885e4001487904366b2ee90e8c9729a0ee0ad5e9,492003,2,1
2017-10-27,,0.19825043,0.0,85fede78f6dcccf20cd0d077e398e8f38265a184fd2ee0beab46533ad3c99ebc,492006,20,103
2017-11-01,3.7,,3.7,3cf10b8137cbd9b1252eee2014f0f18ed3770f2fb6aec52c9f74643e4db364d4,492680,123,101
2017-11-02,,3.7,0.0,f5f356580a75e0c2b2e62377ab4ed352c198b7b23e58db26b85d26938f29f4ac,492699,22,101
2017-11-15,0.3,,0.3,a55a30429ad2a998712ac14ec42d103f675691a85d85003aa0be455837b630c0,494433,2,4
2017-11-15,,0.3,0.0,3dd3d2d7095d5d8342f8e6875fd478bfb1723feb1e27a81e1b22b051e3ed0f52,494436,25,101
2017-11-20,0.3632577,,0.3632577,a60b9f3dbacefd73de484202b29988105f041b2f44edf25b7b74cf45e5d326c7,495307,2,9
2017-11-21,0.3,,0.6632577,d2713fd6eaf3fa6a01fe06b047b8650d2152afd4e606e0b4d6814ff9b0aeb0b3,495364,2,3
2017-11-21,,0.3,0.3632577,11171a93623b397c4367686155c99adafbf9acbdbff08f4885391790d701b7a0,495395,109,101
2017-11-21,,0.3632577,-0.0,630940cea3694018bb68fe7f78ef9f94f12c473ccd24ad166d8960d5b832f554,495418,27,101
2017-11-21,0.21,,0.21,49acfdfffeba91d62bf02e3ce4fd8416fa2843090136068e9d228b05762a9089,495455,2,2
2017-11-21,,0.21,-0.0,4ccc6f9a80e2713d75b124f78e28624397e1a323e7b367cab18961b9abfe0b7b,495464,97,101
2017-12-01,0.55,,0.55,8c472aa05557ed1b5380668efbde6ebce54a1a8e830910ac5ffcb7529cc423da,496957,2,3
2017-12-03,0.38869,,0.93869,0e3d5ac4b3afed2bf60c97e7fa12cff078ee3c2879111bcdcab21c83f30d6f9a,497323,2,3
2017-12-04,0.71008,,1.64877,dd7da5ad85a1486af7ef6692315a7b49ecf25fe0033302dc9d7ba41bf7111a6c,497479,2,4
2017-12-26,,0.38869,1.26008,a8b5728fd8cae61550f535ed1c4b4ae59ea03832125c3d7ebd1a8c844ec51949,501121,144,202
2017-12-27,0.32847952,,1.58855952,85fcd9a0a94d20ae89603d4b15bf9db2d8eb0a70fa99b160ad447108f36ad9bb,501309,2,3
2017-12-27,,0.32847952,1.26008,eaa06e9c35f3bd03c3cac7ea228a29a28c914e13999549ed85809972c21c296c,501320,82,201
2017-12-28,,0.55,0.71008,dcfe27accd8097d7a120217778037bc496fdf4bef0e7ccb0e98a5a61a9e2effa,501390,36,201
2017-12-29,,0.71008,-0.0,f9c336f29c72b76a3778d9959eafd9ce8c98cc1b4bf1fc84873381cb82ed08dd,501486,25,201
2017-12-29,0.27326138,,0.27326138,f5b73bd82b50b89ae4f9e57c83e51ede1fd6631764602345c250a56214eebe8a,501606,2,32
2017-12-29,,0.27326138,-0.0,e0c0398f96b92e0a72762922de99f90cce6b85ee9021ff1f75ca08191be21090,501626,120,201
