Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-15,0.10465045,,0.10465045,1ef7635feb01c1261ef5b857408ae9b58a8057af7e362248c41aba564a9d8fef,471435,2,1
2017-06-16,,0.10465045,0.0,288b55f84ae7aea605568ca75ca5c7e4e591bf34c78dbf50a28804346b1d92c0,471437,42,101
2017-06-17,0.0399,,0.0399,2e119d1d87e88503c60da86f180e44de6feed11a477743eb19a6ed5757a9b794,471610,2,1
2017-06-17,0.041,,0.0809,5691f8da4ec552356c2abd585c363ad286830816f558a4d3eb7b32b85fc78f06,471611,2,1
2017-06-17,,0.0399,0.041,9823b749a9d0d69dd6157f1944ea4406c1ca75715e9a05bb14d9e010625e5cd3,471612,25,101
2017-06-17,,0.041,0.0,71c370459884dd97b4770a9c5b6dea44e7989a82868809885e807f823f3e44eb,471614,21,101
2017-06-20,0.1012,,0.1012,03d6fed18e6a867ec9056d4f3dda63d191606a68e5dc204cecd09df542c33064,472030,41,1
2017-06-20,,0.1012,0.0,b886e2f8247a7e7ebf6ab5474f5fd11c97c8aad08165e9c8ba5e96730db9eea5,472041,8,101
2017-06-20,0.11121446,,0.11121446,b9fec6380910c99529ed46ed52ea51e6614cd70dcc8c1a97b6c7e846e27e8ad1,472093,2,1
2017-06-20,,0.11121446,0.0,f1db59a960bb4af75243368b08f354e3256a5d7bbf1f4a0a0b8ef366a6f650f4,472095,9,101
2017-06-27,0.10203864,,0.10203864,625851d37414f122f37387c5bfdf65fa5ac4309845f8b58c22349d13070b4a2c,473133,44,1
2017-06-27,,0.10203864,0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135,35,101
2017-07-11,0.00089293,,0.00089293,4934772ec50ee637bcbc7a6f274587bf68e4465c150e423e5759dcfdd54d918b,475258,2,1
2017-07-11,0.05475124,,0.05564417,4ffbf21c2f9d7bc785c617b9331a832d9018ffeab7029551bf0f91b7221897d0,475257,2,1
2017-07-11,,0.05475124,0.00089293,69fa27875ac901e25b90dff82256ecbc9512d7be1a5aa9c22174b66061210f56,475260,81,118
2017-07-11,,0.00089293,0.0,13f676b1b497aa01b7bee7ebeb916bc22ab504674c1a287401694bd249121a5b,475260,20,104
2017-07-14,0.04266882,,0.04266882,2a56f5846134bcd1bbd7768112d0a3c9fb243766a10f00d27411a6e968ef839c,475778,2,1
2017-07-14,,0.04266882,0.0,407cb193905bdbae3d952fe256ace284922a98fce71a8619971b78fb8a78dfe7,475780,47,101
2017-07-14,0.24004405,,0.24004405,3dad73694b856476cb316ebef1b37917669c52e746cfed691abbb559aa707298,475798,2,2
2017-07-14,,0.24004405,0.0,1d96e55806d0779f98da5d9156bdf134ae0dda3e44f46d6d4e313211e8daca02,475800,54,101
2017-07-14,0.16316069,,0.16316069,e1ff23209d2fb47a511fe8518e730227f5963c62691895f236f0030c523f2434,475804,2,1
2017-07-14,,0.16316069,0.0,56810bbafb0fc605848de27de5ed0717d60c21c84d20dec155012a48048a9229,475806,17,101
2017-07-14,0.10693181,,0.10693181,caf2385dd567fbbdbec4b0c45302b07bddafe2a2cf95721c3717438fa1678f79,475825,2,1
2017-07-14,,0.10693181,0.0,2c93ab04b6bd624e543b94f70ed597a13398b9e9ec696dd5f84bbfa7e98cb406,475828,9,101
2017-07-17,0.01101575,,0.01101575,104062298668525c2e1c9828acdb339b24df935f399411f76abcf149ea5ecc53,476206,2,1
2017-07-17,,0.01101575,0.0,386eecdf0fbca11991b1b686954aaaa71ee9fb147816d975052a12c2c260e6b2,476210,29,101
2017-07-19,0.27183537,,0.27183537,5a73d41c0eb87a11d4465297b342b5da1be962b0d57e560e8971750f5ff9fdbe,476502,1,26
2017-07-19,,0.27183537,0.0,0726fbbc8d3eaf87a00b8829825761186ce71c713697a7f8e67387797268cf7a,476506,41,102
2017-07-21,0.03268103,,0.03268103,0d5804b6ecce17db8cc4440e37e9f439f12a3a3603f495ec887e4e830e82dac7,476824,2,1
2017-07-21,,0.03268103,0.0,433b83db9843ff5212771202a408d78e1b45e1691bc1c7af3d98e8840778b004,476826,51,101
2017-07-28,0.11373361,,0.11373361,2916b70adfaccd4642190a3a4343506b2a5533f515e4c7ec1d7df6b56fdb3a9f,477948,1,3
2017-07-28,,0.11373361,0.0,c44b1bf4060263666306b883a32f60d8a7ae9a5e5f6241cef9c1d1dc01b6090a,477959,11,101
2017-08-05,0.01449627,,0.01449627,42b96b54b0531ea16b9b5a3e1d09d690aa9d857a106085f835a9ff4c72d02cef,479167,6,3
2017-08-05,,0.01449627,0.0,8e7f0359fa0693b397910d8b891a537c6ace86f49e7f0d1a12df5fbfcc0a73b6,479169,71,101
2017-08-09,0.01519136,,0.01519136,49d3a9fd9b071e504905f42ab4483e701ebda665cdacab9b7cede0e369b70576,479819,1,2
2017-08-09,,0.01519136,0.0,5c715e3d49f4406d2d52107fcfb1df154c3380c0fc34c74489e23198da82d09c,479822,76,101
2017-08-29,0.05941102,,0.05941102,7de52a2cd1e659c32749403ee14f30d97c4c2e9f0e40f0df4adc3535849bb880,482500,37,3
2017-08-29,,0.05941102,0.0,c2e1e7ee4ca77e368f0b3630f37b825525e7525328e9bfe64868e90f2e60ffef,482504,28,101
2017-09-01,0.07042248,,0.07042248,7924c35e54abd93553228027d03b186a666d9415242e0bef9491cbd6bdaa4e65,482955,23,1
2017-09-01,,0.07042248,0.0,4caf4ccaca8cf2fa278d3e90108ca482641534cafdad1ecb967d206da9f66765,482960,84,101
2017-09-11,0.12359185,,0.12359185,94c7f9245e7b8cb7095130ee15726c7f322630d07f5bff51e24a81f1f5f51b99,484633,16,1
2017-09-11,,0.12359185,0.0,b974e7302ec17b6bd6b28452e62a7750edcfa5a9634cbfb6d365a98bb304e0bd,484636,18,101
2017-09-12,0.102,,0.102,e683c3a2855c8f376623bed779058a9c3b24be35ba27bc90bf742d6be4b5820b,484852,2,1
2017-09-12,,0.102,0.0,193c058869437b781fdcb7078d3e744fd099c79b2586d8ac9e99a6b39ead0c40,484859,16,101
2017-10-19,0.101728,,0.101728,84f5c5ec025cab514aa1920be78171da1bc68c83dd5b9cc4b30bbfaef5791a67,490596,26,1
2017-10-19,,0.101728,0.0,6cd2eabde876106e22803e7047f15b7cefbdf67fb9dce23c378b61d7ecb9dd1e,490598,83,101
