Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-11,0.11500936,,0.11500936,32a1203b95c933fc2368b980c78501b8ff150773fb699faa732b0120bb02b363,470785,10,2
2017-06-11,,0.11500936,0.0,f8de11305ab6f601e6a7ee6551b4d5c497d4c5b6c0cd2522cfb81e9ea386200b,470791,6,101
2017-06-11,0.15082457,,0.15082457,31639754f80e3712d0b150d5f6ca86072905057d20ba790f4cd4b195048275b3,470811,11,2
2017-06-11,,0.15082457,0.0,fb146192edf5ef905864c54cef1f7cd05fcd4d7219da0e48461978b3c0dcd598,470819,38,106
2017-06-12,0.02714079,,0.02714079,4968425e42fd2036647ff20a51da9dc8ee796c70a5e1f0e8eef9b720e41f274a,470894,76,11
2017-06-12,,0.02714079,0.0,a5391de2661b584058bc0919c8fd6ff991a4b442a4f275b77b11f65fe7943581,470897,10,101
2017-06-16,0.08,,0.08,773c178a8bd29da01fce53d7353aa9c203eb9c66245748e6392001f6d51457f7,471538,2,1
2017-06-16,,0.08,0.0,712cd787b11aeae24d957ff5ec5646900e02bc97e02dd4796b7566e5ff9e0770,471541,5,101
2017-06-21,0.11,,0.11,928c0bb794d805c5a654705f5a76f9a78e7b1f7b266df58271a094d03917fb73,472269,2,1
2017-06-21,,0.11,0.0,feb93e069d8e1d7b9b4428a2eeea9e042a2314811ac83ae331523fb33dff15ac,472271,68,101
2017-06-30,0.039,,0.039,a5a94db8d7bbff4f8ab89da35cadd30bcfe8d380ea02a78b23bd01509ca47707,473502,2,1
2017-06-30,,0.039,0.0,48b0bb0baceea329fda549346347fd1d47892a85d827a67b7b151a7c631e8288,473505,7,101
2017-07-13,0.16,,0.16,fb5601aee5c22599d04eaa59032134f4e59ed83d5e3d82d46235797947fbc946,475598,2,1
2017-07-13,,0.16,0.0,0963fde9b6d73918a2bb9682331f496ae9ed0b1162fb5769d112278728b767dd,475601,39,101
2017-07-19,0.087,,0.087,4727cb2aaa393cd2896bd605468f8326d8291e24f11e59905b32b97e23097836,476485,2,1
2017-07-19,,0.087,0.0,8f4bd0a1e5e1b88f4c789d922213b744539f403753d1b5e2023b17e2798bf60a,476487,30,101
2017-07-26,0.045,,0.045,c72632e8aa07e614f55b4c7e3e6371303f52779107a07ddeeb8230fedc88e86c,477624,2,1
2017-07-26,,0.045,0.0,7a46c9283a15b6069a17a2fe5d657d469d62f243d5c3a2565c397dbdde0dee0d,477631,20,101
2017-07-28,0.054,,0.054,c8eaecd82afbce8f7c24f82389b8b24c1dd54142902633046ed22bf3a726178a,477919,2,1
2017-07-28,,0.054,0.0,b4389cb9a03ad7237fde5fb6fd035c29a82a427ff3fa6121a8e1676271c55b56,477925,25,101
2017-08-06,0.135,,0.135,9249eb08529d933b7368fa17233fa5358c9468b66c5305f85e56caeabeda08c9,479328,4,10
2017-08-06,,0.135,0.0,388dda4a1e1fa35dfadb04b7763076774e17a6c2ac58a1b6afd898eb44c68f19,479330,15,101
2017-08-10,0.066,,0.066,90d055b91347b2b212611fc6ce76848af5384bc80e69bed3cb0948d170375f06,479912,5,13
2017-08-10,,0.066,0.0,12a1b65c82796e81484a9e3aaf8742a57e4a6754bdca4e51730e4d134f2509e6,479916,22,101
2017-08-15,0.095,,0.095,72c3cb1ce8bcb225eb4362093dec0954f0b06ac2dba7dff03e0f0a8785f6c7ff,480622,9,11
2017-08-15,,0.095,0.0,bc94295c627fcce1b1d97be97b35c554a2e694e74896796fb5a88ed9f9f44e17,480628,101,169
2017-08-18,0.0388619,,0.0388619,fe1eb3f37b2960589a8a734f46019a6a0f6d6e1f1beef466149cf95f1f95f310,481114,2,1
2017-08-18,,0.0388619,0.0,be0036bf509c0c69764354eb2c50c349598066b7a8f94de4c0373d7147692d6e,481118,25,102
2017-08-22,0.087,,0.087,0693df1271e82be0b9a1b7f942586aa0cbe407d1b494b88e2f3d8c92b7ac7722,481586,5,5
2017-08-22,,0.087,0.0,ef0ec7f93670dd6a2ec37fec89fb84e1421060dfefae7797778a698d8c2d7e48,481588,112,176
2017-09-24,0.009,,0.009,2bbb704b0d9ec6ae9505daa5bad78ec0a36a29c72a6d9736c8468083a52e14ca,486795,4,7
2017-09-24,,0.009,0.0,4ae012ee89ce82363eb4df601257ab494c91f5eea10fb7828d0edb7627e4407a,486797,60,101
2017-09-26,0.074,,0.074,0a4aaeb1b45644cdb9437860345fea5129d30048d37a93c069289cb30502dcc1,487060,7,15
2017-09-26,,0.074,0.0,5198300c91775c4d0a96dc246d37ef70ce59f42248cbf5f50ad76f2c42dd0206,487062,19,101
2017-09-30,0.01931254,,0.01931254,2a205d87dba5a36a9c00e658ac038b021e94da85288243ce7989739fda7f7b7b,487663,2,1
2017-09-30,,0.01931254,0.0,db9342a6924722818555e8ee30a3bf96d43aa2bdc66644f8ccb9b04a12bc2535,487665,74,101
2017-11-13,0.42,,0.42,6892215198c7a9ceae849f5fbe478db297ddd47751a6ec45bbe3d810ac5ddfc1,494200,2,1
2017-11-13,,0.42,0.0,5ebfabf3323913af7e5daee3130d3e5a5e1048ff98596801de098a19f2e5d2e8,494215,29,101
2017-12-30,0.16324,,0.16324,f388e089c98a0c85237d86150acfbc8e8ebb8b114746018891e26a388f0b1067,501690,7,1
2017-12-30,,0.16324,0.0,03836393552716888ad88ff13b514213622d199b63a88a7054927df3084e5608,501692,40,201
