Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2016-12-26,0.00032409,,0.00032409,d5a93a88a0122b3318f56ba1dd46ac3d170196f4bdcec67444c6901027af94db,445196,1,1
2016-12-26,,0.00032409,0.0,a1e57e289b2af466ad4f2a7f0cdabf5e910a0d81c634ff33e88468308f5ed6e9,445207,1,101
2017-06-02,0.04466771,,0.04466771,bbad98104d684eabbe89be9f741c6a4eb02eac6ef98dc3c55959ef5f5bcb2072,469287,2,1
2017-06-02,,0.04466771,0.0,28eabfe26754ea17d6b22eab50663f28d9a6b88b41f2b2aed6df0e2a3cc90dd7,469290,25,103
2017-06-02,0.08287717,,0.08287717,b72132d05c41651d12d53c3bd53bdbb783ea13192e20fb3d8e1406ddb4b91d01,469328,2,1
2017-06-02,,0.08287717,0.0,a483eb58474e5afc8b7188ec0b5dfab319049cc128f94d0fef6f5dd95bf99b88,469331,21,101
2017-06-02,0.15402993,,0.15402993,72fcc2050a0d2e5b97f744719c0ce893425309d04dbd15af0319b08d646ee1a5,469358,2,1
2017-06-02,,0.15402993,0.0,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364,23,101
2017-06-02,0.07461851,,0.07461851,a686ae61861df45fe935d251641c8180aab111056de7f2a485e6056d7104d804,469381,2,1
2017-06-02,,0.07461851,0.0,0d08a2881bf6d8d0f38a02f6e82cb866bfe974c085e2e5b6b42d7e3df2c1cb32,469383,26,101
2017-06-02,0.00753782,,0.00753782,dd044d2e7374f5e405b8dab101ae6140e5b52f5fdf768a34d454db69db98a26b,469412,2,1
2017-06-02,,0.00753782,0.0,f9c1267240787fddd7b90966b686bd61b69088a47c67c32c0815265280494036,469415,26,101
2017-06-03,0.02196404,,0.02196404,ebfa678660c8deef2d11f370c7a90781a3cc2c470eecffd6200247372c247666,469440,2,7
2017-06-03,,0.02196404,0.0,030d3376cb1e74323977ffbedbbc4f99b027f2f7bb8a357b7bac3186acb98093,469442,20,101
2017-06-03,0.029732,,0.029732,4e20fdc45dc07a9b915e80c0fd63f79afe8d07b155f69b32e6caf928ff402083,469539,2,1
2017-06-03,0.0634115,,0.0931435,83284f9db972007e8516a78a956318f44418ca624ccaa67542b9f9fd0c9210c3,469540,2,1
2017-06-03,,0.029732,0.0634115,a872eb3f9ee1cd0260635425ce6d5975eb7794a6523231a86c1a2d4094de78db,469541,26,101
2017-06-03,,0.0634115,-0.0,2a95563084a5f25c019c736cdd0828ced721e9ae6f3f435a618af832620389ef,469543,23,101
2017-06-20,0.06041,,0.06041,000a61c7386df650dfca6a4a729d1eee29fafb2bca731402d55b3b9f9bac90a5,472035,2,3
2017-06-20,,0.06041,-0.0,937ef26a3fbd2a2f616455ecd28dc665596887fcde39652866d8fcc4d932b04d,472039,8,102
2017-07-22,0.1499,,0.1499,57447809f2f85e1ca8e51182fe56c51fe59ac544c4339ca4df04f6b50740b5e8,476997,28,1
