Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-25,1.8726,,1.8726,72c3c25aaa407f5c9e5beeb125a5aca5248c189efd12f7ce57874ce1e7e287b4,468050,2,1
2017-05-25,,1.8726,0.0,c2528d20662dae233bd2055fe4e87ed73479c263876556d082efb1ef5aef2b62,468054,18,100
2017-06-02,2.066,,2.066,ce8c0f1c7247a8a0ce5c9401887c2b3ef38cc9a75ba2b692cc1a7c8c339768b8,469474,2,1
2017-06-03,,2.066,0.0,e72591d145cf22dbd5c3d876877c54dcb199b1c2b6a1eec339c87d8ad2e654c3,469483,26,101
2017-06-05,1.09933,,1.09933,8d3034e2117c895981c98f0aa732ef4094a237a61a693331044be6d5c366cb2a,469909,2,2
2017-06-05,1.0,,2.09933,dd289bc444df3ad0630a53b2cfc5c209e703bed6c10e95024ae521eed4fc271c,469910,2,2
2017-06-05,,1.0,1.09933,6bbbae1b9f5ba7bab3aec158c39728f815c101ffefffd3e3deb5ab49f6dfaf11,469913,16,101
2017-06-05,,1.09933,0.0,3f6410030a1795adf49d23a4d16ab0dfd9c026fb01fc61fe6d4db818ddcb2d3d,469914,52,101
2017-06-08,0.028,,0.028,b36eb796aca9845150ecb76b31a26459033294afef41363fb17c118b0fc97781,470382,2,5
2017-06-08,,0.028,0.0,003a9ae27c7a7a5fe6d6328308c4d74b80eca49bdff7b5e0c89713707fe81f1d,470385,28,101
2017-06-10,0.553272,,0.553272,e6f4f06275d4aee31821decee655911ea15f2d84a4a9ad367dfcf64294501a0d,470591,2,8
2017-06-10,,0.553272,0.0,e853f9a87e4f6b20ee144f88d8704b4f2ad8dcfd1a345eb152193c03cce60d30,470593,9,101
2017-09-02,20.0,,20.0,691fb2a1a66467785391f39adcb69b43bffe2fa5dc87298281b6584ba9c7b97c,483144,2,1
2017-09-02,,20.0,0.0,1642cc72da12ee8aed4386612c42ca73bf4f5a0db02f0bdafbed098810f694e6,483158,22,101
2017-12-17,4.0,,4.0,841c6d2353d276b3277bedbdc01ab7f983e8905eda9abaefb6690cd2b66c398b,499778,2,1
2017-12-17,,4.0,0.0,360cab2e5c9ab7a765cb622a5d6ea7dde1bfcb95832b3a70419dadb866db66dd,499809,122,210
