Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-10-17,,0.03181754,-0.03181754,d77f2e3a31e12dc0bc78aff382e11d3326621a99a8ab586b2691fce56f729ef9,490289,47,101
2017-10-19,0.105,,0.07318246,d16e882cde52957c8ad41cdbe5d461bb3cd0fbbebb963895816d6c9bd93b13e5,490683,2,2
2017-10-19,,0.105,-0.03181754,8215352784b37ca65c1a50232c9bd3b86d4072448b0678dedb04e062c3e70eb1,490687,28,101
2017-10-20,0.02262745,,-0.00919009,97a857a4053e0cbe7b154a2fc85eea8bd830fa653a509413a1efc725d3c65ef3,490813,1,1
2017-10-20,,0.02262745,-0.03181754,53673125bd87e2a9ff01d8d71b2475f8c7cdb9eeb3e57033647937abe329ca6d,490818,80,101
2017-12-10,0.04182776,,0.01001022,42aa9a915c696a1896c722a663edf82b8bdcb334502c27cdd6d92a609189715d,498625,1,1
2017-12-10,,0.04182776,-0.03181754,46fdf09c176128d2fc6a425ccd218da26b3d4683d3584c74cc043b17120488c1,498628,46,202
2017-12-11,0.19504531,,0.16322777,be8124206b2a62551f18381cfb4ebb1cbdef58c2b7fc9176dd957b18e266c459,498753,1,3
2017-12-11,,0.19504531,-0.03181754,f990af2a01fd312f175d6c22e679e793cf0e0f70b01cf968565246143bcfa7cf,498755,146,160
2017-12-13,0.04184,,0.01002246,f87a58f8c04ddeb387e4912509c2f030dd0636128761dc500077c276ec911924,499102,2,2
2017-12-14,,0.04184,-0.03181754,dcb7f994a4960cbfcd50b502a20a582f2d32b489be66544621154883f95a549b,499158,83,209
2017-12-17,0.11906868,,0.08725114,e339c7bceb34ce89ed722159f848dc90e44496f7e732d454e9cd024c9d83137b,499774,100,3
2017-12-17,,0.11906868,-0.03181754,01ea580c08946f83ac03f99f906bb017a00b6dfadb7ec4b90277f165bdaec053,499797,218,220
2017-12-22,1.087,,1.05518246,e4fa69a0c9cdb4d8237a66732546d28e5e1f3516bcedd7ad0646356b57953bfb,500565,2,3
2017-12-22,,1.087,-0.03181754,ea5bfcd38fbaf48226de7a0c5c9da7e4ead2508d66178d41aff0512652cc4dc2,500582,106,235
2017-12-23,0.5,,0.46818246,8aa9a7ddf73e54e1adc6c59f1ae50961a50147ed471206efa85ffecf1bd974b0,500679,2,2
2017-12-25,0.04448931,,0.51267177,b80c64a4bd88ea879926073eb776e3a1c18ee5e75276713bee2ebc3632fa40c0,500968,2,4
2017-12-25,0.12411635,,0.63678812,469f7e9e292aa1387c35b5916788512251364498928605d1062d74855aa36c6a,500969,1,1
2017-12-25,,0.12411635,0.51267177,6a60b98058dfc7bf9027873b2e18d080a9efda028399996e5e9490e90b0b0c9d,500972,155,201
2017-12-28,,0.5,0.01267177,f7c30c644b42c9cda51a16b9098792050c167cd7cdf267f9000a5fca47378b8e,501338,95,201
2017-12-29,0.219,,0.23167177,f57e0c29a14471c3b27e416eb2999af37246ee8a0c7b3a8f43b78000e360029e,501557,5,6
2017-12-29,,0.219,0.01267177,0ca158e64a8665423022afb19108d39181f1bf168dd051a313ee7c640c84281f,501562,62,201
2017-12-30,0.13004965,,0.14272142,68decc7c496eb474129196ff5d0047a3eabe97a82f85bb7d667673831ce43ca9,501732,1,2
2017-12-30,,0.13004965,0.01267177,e9f1fad6b5093fb05e9ff265e321d4152ef5a17efa52ca69dffa1cae575ca91f,501735,131,201
