Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-21,0.08052,,0.08052,64260be373450568bd4cec44ec2fb9f3a67fc597339a343178a5e528fa5b2b4c,472271,2,1
2017-06-21,,0.08052,0.0,b29f1e06a362452a312446167717fd9b17dc06724253fee7e0725739770325a4,472275,13,101
2017-06-26,0.05302447,,0.05302447,c39ec3a9f0d2c02168bb2f97cdd843b1a14c793ae1e9e7596f4991214c295ea6,472962,3,1
2017-06-26,,0.05302447,0.0,c93cdde9ca4e8beece1bb6da28dd35545a6cc141ccbad33e4123d7f6a715bca1,472964,41,101
2017-06-26,0.08042458,,0.08042458,c6b0f5e848088da4322a309e7bc42fc19ff72996260d78996e14e0e2d1873454,472966,3,1
2017-06-26,,0.08042458,0.0,ce711f61e88afc8d42775bfa8780375dbe313ce7b80ffcda2ba964591520055c,472968,50,101
2017-06-27,0.07226382,,0.07226382,c8a7a764774ca9d24b21704f8985e67e0055c9a0dbb7849a2852e46b18590a48,473132,2,1
2017-06-27,,0.07226382,0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135,35,101
2017-07-28,0.02537983,,0.02537983,a074afdfb94934bd9cc564dd3f64d6194975cc13c75e5065af08b73ef234527e,477978,2,1
2017-07-28,,0.02537983,0.0,cdb8c78b8aa2a22dc94c39b97ca3d0fe9982e3a9dc3cc5e9c2b0f30d54213ae1,477985,53,101
2017-08-09,0.04099837,,0.04099837,53d0fe0965a5d8b27df2286b24a9068e5328c410aa6ab49d36680e8d9c8c9eb0,479778,2,3
2017-08-09,,0.04099837,0.0,e988f158c7eb654502cd3733e428cbeb07c69b8911f020b4458f59355b21cd30,479780,14,101
2017-08-20,0.05616524,,0.05616524,b97f99575be074209adf3dcbd9a74f26679b614791dc36b1f198cf766631917e,481382,29,1
2017-08-20,,0.05616524,0.0,b4e9b89d765c225b0a1ddab137be10b510d289f1985522ad899036cfcf1904fe,481385,88,101
2017-08-21,0.0515,,0.0515,036a004c3a06f28edf28d8c03b6c8aa93b9e83fbfe82adcbb8a548b480ebadb4,481491,2,1
2017-08-21,,0.0515,0.0,f0ffe4d6937a166867752bad46b7e424d7e33cc5ad93a201e36d5f34956844a3,481493,151,179
2017-09-02,0.05131,,0.05131,f5d0c1a0aac59a8f5b7687ac1e28d5a759e1950e1e0f1b03eb83bfc3d6ef2fd5,483067,2,3
2017-09-02,,0.05131,0.0,e3d1cfed764344bc6e330908709a5b95001eb771cfe434bb11d7d3b508ad1816,483070,15,101
2017-12-16,0.04635,,0.04635,b582e982b7a0bf0e109f80d42103d61c7389c4241cc292ae25becc56bea04989,499657,2,1
2017-12-17,,0.04635,0.0,9d2ea89efe3f18c21ab02c483649d19398bcaeba8b691084db74f33e33736abe,499667,63,202
2017-12-21,0.0444,,0.0444,89996b7203444d39c01dbffbe3efa0e8a17d872a090a4e917aebec8efaef1641,500410,2,1
2017-12-21,,0.0444,0.0,3409c9af1d1d074235848a8fcaafb10167af101dd056b53ee49bf1d7e51f0567,500416,209,203
