Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-07-01,0.0099,,0.0099,6ee9e4ba1a57f2cf46cb8570c9cbddf38b8f0a24fbe44366bcbe8c34d36df0e9,473711,52,1
2017-07-01,,0.0099,0.0,9326f77cd3797f11ddc692641f48132abbd4bfa3cc67bdf76646b14b23844493,473715,33,101
2017-07-02,0.0101,,0.0101,e3bc830dbdd419340686ccd6e65f6b0a8d5109fc6599710089ddc38d0ff5d478,473738,35,1
2017-07-02,,0.0101,0.0,90070d63c91adb53b00b56e037ea8c19ab2ebb189b2d777e37c9c44c63506469,473742,20,101
2017-07-03,0.01,,0.01,7d1494c297677e164b197317d9295e2d929ea8c54b3c8ce381d7fff9b24abedb,474000,2,2
2017-07-03,,0.01,0.0,e5e3c1ab90e388d94ab090f4c296ecbadcc0512d34745f2cda40472b25f3eeee,474003,48,101
2017-07-03,0.01,,0.01,b1fdd60386a5ab0ed8971c2f461539d076fcda9c11b5800ee7a60106439a6d8d,474006,2,1
2017-07-03,0.0100001,,0.0200001,bdf14f5c108aa30f1aa360af06acdbdfd8c85e1e35561a421918cfc70ff8eb90,474006,51,4
2017-07-03,,0.0100001,0.01,bb5c1b63787a8c86b35649bb4b0fce85fff77dbc0b23caab1f40aa5d5b344bcc,474010,32,101
2017-07-03,0.01,,0.02,6f5d1f4c48b3df29a766ffd005aa9ca573b8beb09f697cf24c5b7f27faa814fb,474015,2,1
2017-07-03,,0.01,0.01,c23442c576ab142d1a80943dc66841c3fea9b0ac0ff20074238c2bba73c20c90,474018,46,101
2017-07-03,0.009,,0.019,1fd9bb0ed7988adea693ba1d895867296c6099e183ab0b190589fe6e00373bfe,474032,41,101
2017-07-03,0.01,,0.029,b888c0cb326d28fa1a1c1bd03192b5d83ab4aa17b67b7d8ce5ff80c5c26d0239,474035,2,1
2017-07-03,,0.009,0.02,37213094100bed19a98f80097ce8ae3e33540f2026f5320c6a398eddb1c7271a,474034,46,101
2017-07-03,,0.01,0.01,debe394298b60932b02be5168e1e8f2adb723c5800a45eee1c28a4e874f73d6e,474037,54,104
2017-07-03,0.001,,0.011,6a5d6fff0e938e4835a603b29147eef232aea470fe73f49e7de6daa4b84e0bbc,474058,2,1
2017-07-03,,0.001,0.01,61cf0e09cb5316a8cbafb98daff54c85a7b42e6d3557f878d8b793bb10464726,474062,41,101
2017-07-03,0.3,,0.31,07c563e51eeb5e0b7c020dc5703427cc73fd2ed41aabe570bb6fc7f7abc1025b,474065,11,10
2017-07-03,0.01,,0.32,5cf2d5f5b8311e6e65ed512fb4ed3c23bf701c74d9da6b701019530eb1495033,474067,21,21
2017-07-03,,0.3,0.02,a3c84375530bfda8ff8f1e79d8bab9fa810e6adc12ef9f6175aa0fbcca8ccd7f,474067,46,101
2017-07-03,,0.01,0.01,e46dfc33af2acc049074a9275e2d232e0377e43791d55c20710d86991c125af4,474069,38,101
2017-07-03,0.009,,0.019,3cc6b994fb37c645de18af052d2385b9d4060eb4066daa85ee8cf11f6387e82a,474081,46,1
2017-07-03,0.01000001,,0.02900001,21bf86e24cd797baacbd6f462114c9f10240e37193b5bfa51df11d0b6cdd8ff5,474081,7,1
2017-07-03,,0.01000001,0.019,7b1b0c79d17e9efc032d6898e22418a13c3802c270962887f79e5dcc5f9d6266,474083,12,101
