Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-04-26,0.99,,0.99,640e2cff606b55c576f68d6b15828d87847ec343ff1d83853baf49737c18b7bf,463630,2,1
2017-04-26,,0.99,0.0,253d1caa015dfd31c1cfcdbfea942caed62061a2de98492ccaacf8a59aa98849,463635,1,101
2017-04-30,5.0,,5.0,8aeec699a7fc9ca42d807119c5af85b67f966575d25d8fa1651d6c98de851893,464184,2,1
2017-04-30,,5.0,0.0,b499244ff871e9a9a75324c4564153f97d23ce88e67aa01e3266fbea2e095731,464185,1,101
2017-05-18,4.0,,4.0,a26017bd3ed2d54e0f39e8eaddbae95defa228253f57e751bc4e6de0e7b70813,466937,2,1
2017-05-18,,4.0,0.0,3f07b5b5161737c66c73b9cf18e6566ca2f9a180e11eb04fe7eea6721eb0824d,466982,1,101
2017-05-21,1.0,,1.0,74379d077066d707821689b877ac5573922513ae97cddf2943e0075512c6c2d8,467439,2,2
2017-05-21,,1.0,0.0,ba855c97ddc5e9f1eed2c81e61f71fe129205d46f277812f0d96d125abf94c1c,467440,1,201
2017-05-23,1.0,,1.0,508a9a6bf5461567de0269dfdead861854bc669a2f170870633a9de0f3170a35,467785,2,6
2017-05-23,,1.0,0.0,549fc7bf45c75194f43907afc3fb2b9e484ebf8c1973bf816829de2d978f558c,467789,1,201
2017-05-25,1.5,,1.5,a8e5d6fedfa53d0be43216d4d9cc12b63b6806cbc84ef7b912d29b30c98bb9d2,468022,2,1
2017-05-25,,1.5,0.0,c2528d20662dae233bd2055fe4e87ed73479c263876556d082efb1ef5aef2b62,468054,18,100
2017-05-29,2.0,,2.0,23f87db2b0abce0f843be10cb73c1b76f2317b9265cf95d50f1ab8f6f65648c0,468682,2,1
2017-05-29,,2.0,0.0,cb889ad7d888a891b0e0e05d39b27c25c74559df43076f948e14d9ec2f9379b9,468686,15,23
2017-05-31,0.5,,0.5,e47b840510716b0e5e0f168df28e29891e934eaee7e27398b1d2edae7267dc8a,469024,2,2
2017-05-31,,0.5,0.0,4e557944a677c88c105d718afaa208bffc889f23365bcd88765d73164033d7ef,469054,41,172
2017-06-09,1.0,,1.0,463217ed45685a4abb948fa198132b5fb57f9e3ea23ecd9d11944250e0c97293,470495,2,2
2017-06-09,,1.0,0.0,96f66f39cea07c6f15cbb6e427b310c0027a9084b71b0429a12e798b78d0d81f,470497,40,106
2017-06-11,5.0,,5.0,d04d23ab99452582594e3415ad297b72def662cb185f206961657f5a5ba4586c,470796,2,2
2017-06-12,,5.0,0.0,0897df82bc69d7a4353df244de4aeabe96886bf1e88b2c8127bfa721149bc140,470955,40,102
2017-06-22,1.0,,1.0,2585879f449999a4796a1a1e36fe6453967cbee9682de8588f6999c901f702d2,472391,2,1
2017-06-22,,1.0,0.0,745bd1c5132f55996d80b8da3523ad0e24638eec0db75151b7ddd7deaeb1a184,472394,8,101
2017-06-23,2.0,,2.0,21cf5616c25619417605ab924dce9e808f4f0316bc0b330632bdb7da9fc96543,472567,2,2
2017-06-23,,2.0,0.0,5fff8d4d47c2437bfdba73ceb34cdd126af98bbb46030dca6dd63d5bda2da06f,472570,47,101
2017-06-25,2.0,,2.0,9a6eace1e9e64e5ce8717276f275d5c8fcb2b3007004f6ff5f3e9c6784bb4f81,472870,2,1
2017-06-25,,2.0,0.0,040a7fe2126a9e60e43b72c6bce42ce150dd7ebe55b56f109847a7286973be4a,472875,14,104
2017-06-27,4.0,,4.0,a1058b34dba78b53ed49b9962bf393d30f3d3c1e6d1ee768419bec82afb1ea1a,473056,2,2
2017-06-27,,4.0,0.0,d1f3c7e6d6cc7d4574b88cf811be6deccd8422d9d51d8e551b4ca0d1ca84f9e4,473133,33,101
2017-08-10,7.25,,7.25,c17253e57c000645cc5679b5066580ff893156e2488ceaee1f17bc0b7a9396b1,479927,2,4
2017-08-13,,7.25,0.0,0e38d02f246b980703a338a73646a99219293bd9739bda31957aeed9617ca3d3,480274,15,167
2017-08-13,30.0,,30.0,3359251b72cac0e3fde5d7230d128cefd4f539eaaba11be6b03f2f22c13fd081,480318,2,5
2017-08-13,,30.0,0.0,b29da602f8ef6961f3f2bfd07292486080c9de6a03e04b30f1bd62981e60cb28,480328,77,102
2017-08-15,1.0,,1.0,649f12c63edc8d2e4fdea91da911463d3a4a660a5a29ebe19651ba3028184867,480614,2,2
2017-08-15,115.0,,116.0,540d529c4820324451b6a6699c5bb334ebcb609073974df506eb6fa644538c70,480615,2,33
2017-08-15,,115.0,1.0,fdd9778c2855a6c17ba4499eab8c2bc4d5b47e02bec0efc711ff47ba7be1f0d0,480622,73,101
2017-08-22,,1.0,0.0,ea5a6826b0fc5510fa347a2ce47809a1c8f949fea6570e294508c5eb0a9de03e,481588,87,176
