Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-02,0.210335,,0.210335,d3cce0afe8736850535cb2bea24e4af9064104a0ea2568cc1777764f742c90e6,469361,2,1
2017-06-02,,0.210335,0.0,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364,23,101
2017-06-08,0.2,,0.2,91b4ace63f92ea82875aee319d5876d2ca4e68ed83c4a260fcb8c48cda02dc7b,470435,2,1
2017-06-09,,0.2,0.0,5dd7905a8a8443d1a14a6ac1edff10d21dbdb3eb46e597ac75c85567568a3caf,470437,22,101
2017-06-17,0.359748,,0.359748,016a6a4d218a58a74565ccb5e7227df583973c45128980695edb8c341d5f79d3,471674,2,1
2017-06-17,,0.359748,0.0,0f029c79bd391df67a6b558c2324744c70f94258fa6b20efb6d1cc5cb5293ad8,471677,3,101
2017-06-19,0.5,,0.5,b789e8e767cc78209a7f54f550f896875b439fa4c0c6e9425c56ba2a5b5de23e,472007,2,2
2017-06-20,,0.5,0.0,82283283c9967c85aba0aac4665cf581b52b24d67e0c0d9f28651b361d7aa9f7,472030,56,104
2017-08-05,0.2,,0.2,3b984a2033dee30732ec1b76e00e97fa16a1c1daf794b81d4b02b605c8a87416,479241,2,1
2017-08-05,,0.2,0.0,2c7f0143aac2c8672f39fbcfc2873a1225bd76c79af3738219f005dc9c2dbfd4,479245,29,101
