Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-05,0.04981251,,0.04981251,1c8b2fa8badc9efe1ad41dda98290e55911b99683252f004fed0ec68db39090e,469805,52,1
2017-06-05,,0.04981251,0.0,d5c9dcee3bed0302283393460debf0c01ffabe0b0c74f086e5e265f6ca263e19,469807,26,101
2017-06-08,0.01779329,,0.01779329,b5312e3785fb557640a110d03f9bd6fac5f6ea6d42428a1006b95b40d0c5576c,470271,2,1
2017-06-08,,0.01779329,0.0,cedcbd68959ae7568794b9558e6ac09009c23899a34fb70ccd6e3650af9fb0e7,470273,30,101
2017-06-13,0.00649466,,0.00649466,6da79632fcd313a13a69002b7f20f2c264bef21380a03847eced8f4ac3f52305,471025,2,1
2017-06-13,,0.00649466,0.0,f2dfc016e0623fcaa4bca8c17b3052749763f1a0b203f536ba59e4900959013c,471028,25,101
2017-06-20,0.09015363,,0.09015363,8feb0092245222b25e007b17235ebc373601118cad7f0cf9badbc18b655fb800,472152,47,1
2017-06-20,0.03597153,,0.12612516,1ac070a09da7642b0904a980a7129871f098aae9188339aba4cc2fe0d6679588,472154,2,1
2017-06-20,,0.09015363,0.03597153,2657c061e211117ea4a1f63fa4f9c8220d0867b1f440cb9ebb6533e3c14dc721,472154,18,102
2017-06-20,,0.03597153,0.0,3753429dc8cb14f0ff1a8d684a821c022717e60265fc08f113552411864ae013,472157,12,101
2017-06-22,0.03676801,,0.03676801,9534c3634f361e04af625edc6d80c029b74a6a1358ce3f3fd04feb32af48e5a9,472318,2,1
2017-06-22,,0.03676801,0.0,3289b989814bd939b8b57973d88336aba54dfc6c69a3fdf6b223723e28394e1b,472322,36,101
2017-06-26,0.09604379,,0.09604379,aec482c2373c73445f6b60c257affff8fdd189fc2dac2e68b558eb58b0680b59,472983,2,1
2017-06-26,,0.09604379,0.0,b15df3847b6f95accf356634ab4b2a8df5fcf179fe7bd5c40b5cb911f453a9a6,472986,14,101
2017-06-27,0.04170379,,0.04170379,c0cd0fa4e9ef4d48bfe3dafe71c4401d43f7a793ebc50b41dc9bf2d79545d1f5,473133,2,27
2017-06-27,,0.04170379,0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135,35,101
2017-07-08,0.0581146,,0.0581146,5c358e481ef434d16f038a471cde6214a1b8336e3df0ec1e5d6695a9b4c29490,474832,2,1
2017-07-08,,0.0581146,0.0,ac063c382778611980146d4400bb1929fea70f264fcf36d35108f19c9dec0e3b,474835,19,101
2017-07-24,0.07047176,,0.07047176,9fdbbb7191c4c06f3251ac8124f5c72dfc08024be404223c82806285a7d4c9d1,477371,2,6
2017-07-24,,0.07047176,0.0,5e7d8583e007caf68f6fbab38ac8598836b2dcf2fbac538f8c0f1992ec104d6f,477377,32,101
2017-09-06,0.06100407,,0.06100407,27f46ca4860592af7ab2ff5e2b14abff48896ed4485a6f5a4cd67473d3988f73,483862,2,7
2017-09-06,,0.06100407,0.0,ebd744f16e7c4f2062e40b55e8832ed11c402294934433b17f3f98254e387b0f,483867,19,101
