Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-25,1.62157008,,1.62157008,354836823057877d8b4a59ec0ada19a985fe865f1b5d3d74426ac3cd7ac7f888,468026,2,1
2017-05-25,,1.62157008,0.0,c2528d20662dae233bd2055fe4e87ed73479c263876556d082efb1ef5aef2b62,468054,18,100
2017-05-30,0.9895,,0.9895,3e5de7e52ea22c21d72fb61beded285654649bc510d56dd0c8c0d0aceacbfc49,468811,2,1
2017-05-30,,0.9895,0.0,4934c0e9a840b4154ea3e83887c21bcbaaf5eb3aa286a8c349c8e86c6d2478ab,468847,22,21
2017-06-06,0.6999,,0.6999,0dcf40edad776e38b3232784b543498a8aa19c839561541aa089e499f83c904c,469943,71,1
2017-06-06,,0.6999,0.0,e22ad2df19d982b381240cb76f4dadab7d106d36f80316a853429edf24a65e90,469945,10,100
2017-06-06,0.58026212,,0.58026212,42bb49300e3fab8479da9e8530f2d828981398c99931c3424de31f9cf02902e7,469961,5,1
2017-06-06,0.03616389,,0.61642601,62fd6289409693b90c2df9ae39b232ef623c0fe8911c896f2d34d81fe64c5a86,469964,2,1
2017-06-06,0.29892221,,0.91534822,2c0b0b8f888d04446567b7601b337e9e30f6f35681dad6a8ae7571db6ed55a06,469964,2,1
2017-06-06,,0.58026212,0.3350861,ad6683e55fcc6c1d259216e09dd6dcc1a22e052c47942c14e44bf0ec3d8765de,469963,8,101
2017-06-06,,0.03616389,0.29892221,c2df75690b7f5a9c6d0e123bde0f0c51f99a5fefd1606d8849bd56a39b5b8881,469966,47,101
2017-06-06,,0.29892221,0.0,6dc9e7a37983984c956ff699f197d8374621eb31bf97c71ee0f5f8e74e812518,469966,5,101
2017-06-06,0.17370582,,0.17370582,a8f32a2d64f9049cf80239226439666b924102f3f7a083f9276849fb6997d629,469976,2,1
2017-06-06,,0.17370582,0.0,636ac6996f21ec8504bd22329b0a69e10698c859ca093306d4e6c083c65e965a,469978,18,101
2017-06-07,0.65885001,,0.65885001,6e8c1c24cec5db15bb53e1a3fff16ca4fc69db2a64d5e26f25fb2e0ce946e176,470130,143,1
2017-06-07,,0.65885001,0.0,833ce1d973d9a5e4c999975ae022841d76be3795786878f765827b343daec3c6,470132,8,101
