Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-02,1.06362078,,1.06362078,f2fafa56b49927db50aa0ba87fb8034cdace87a28bb19c34dbbb98f6430a42e7,464490,2,1
2017-05-02,0.94315032,,2.0067711,f122621f2eb51503498fe29179a024bd20d9c4e1bcb9f99ad2f2d6a36f36ba37,464491,2,1
2017-05-02,,1.06362078,0.94315032,d30602ca4e7650a86ef9ec2174da51fa4323a5aef6a3c62311f116b7e42ba782,464493,1,101
2017-05-04,0.54130335,,1.48445367,4f2d3701f27992b3f03b9e1f60656cdac5fc2e1c25f51b6782ce3b6fa753c647,464754,2,1
2017-05-04,0.52605485,,2.01050852,124b807c5041a1b194f7ae420b1541155afe8487a01a58ee9ec4a96657a11df7,464754,2,1
2017-05-04,,0.54130335,1.46920517,2d96a7fe00fe97e53eff1dcc0a65e252f6f276a2d4257dfbb2f281dde66d9a76,464756,1,101
2017-05-04,,0.52605485,0.94315032,5c4a4ac48213965c9447383530800b0a41c969697fdd762d43f22a308cef2082,464781,1,101
2017-05-05,0.29924001,,1.24239033,071c14c0f0a675bf90345699b918e97614d3d1e2acaa27484c25a5c62586c950,464892,2,1
2017-05-05,,0.29924001,0.94315032,9b23b3c93d871d9cc3fd583e626da8e4ceff8a655f07cf2bb768c0f20c0a8cf7,464893,1,101
2017-05-19,0.69232995,,1.63548027,74d989aebbd82b5423f2f3093336d7dc180a0aa0f07dc16b2767f97720b91931,467117,58,2
2017-05-19,,0.69232995,0.94315032,599d47ac7618ff19f200a715d9410486dcaed821dc6cf45d1a92c87adb544c51,467119,1,101
2017-05-25,1.77061422,,2.71376454,f7134c457b83d74bfe602548cc18e1e6744ade8ffe2c7bc30e64efdf11cc8342,467987,2,1
2017-05-25,4.26184354,,6.97560808,de56e751ba5bb531150db292c748f45e970c0feda3b850d2c4deecd0f9c2db71,467997,2,1
2017-05-25,,4.26184354,2.71376454,c1a17b0553598677c037a2998153a781257fea732210492e6ae69d6ed12320a3,468028,9,6
2017-05-25,,1.77061422,0.94315032,c2528d20662dae233bd2055fe4e87ed73479c263876556d082efb1ef5aef2b62,468054,18,100
2017-06-04,0.32707207,,1.27022239,1d1f3efc8e7b55e9723b93f9dbc099cc6bbc4f10e72d2d947720181f44c04fe9,469647,2,1
2017-06-04,,0.32707207,0.94315032,090760ed1a418b3ca876f4c75b90377dd1b2382f0ba23d09b5b016c389d9d35d,469651,5,101
