Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-17,0.00349999,,0.00349999,91c054fcb265d2dfeb5809ab529c486610964c3bd9d13085800ee36a76d13fca,471620,2,1
2017-06-17,,0.00349999,0.0,1232f4fe700ecd0709d0fbe634695527e8705faf9a6f467ec42cf5a25db31a3c,471622,18,101
2017-06-19,0.027084,,0.027084,757f0fdf8bb95c4ace786580f95708f7cc2b02e7a6d4acc502f89863509d2ccc,472021,2,1
2017-06-20,,0.027084,0.0,2ca7dd9d1efb8cd8d9a7e836c28ab3962a008ada8a4f374f4075049dd1be646c,472025,7,101
2017-06-21,0.00338528,,0.00338528,02d9d2b994068641380f9f392fb9ded4400f87b162b1385138e6f598babf8723,472191,2,1
2017-06-21,,0.00338528,0.0,c29f3be66a73f6a591db3a4e6450699ee87f0a31f3831f4ef011f920db7eaba5,472194,12,101
2017-06-21,0.00105169,,0.00105169,6e32540373c9913a2b01cb47df5e0362d1f72f2aad3cc6db916b95917e1f049e,472283,2,1
2017-06-21,,0.00105169,0.0,4d2ecc828125f771c2c4f75e4dc67b3b7a00232c8bdb9a5933ce666aa76df99e,472286,58,101
2017-06-23,0.00675782,,0.00675782,88c3a885827a755d855f0e53ffe1b7579f2043847a798cc6ec059e9fd86c6e52,472568,2,1
2017-06-23,,0.00675782,0.0,23b8f1f051e929a9d62a51ff2403bb50bad27242fceabb2bdf7463b07974652d,472570,58,101
2017-06-26,0.009,,0.009,6259af18c36324dc910d0567b06dcde4fd2310a6b7378958554e9f3e13aa849e,473000,9,1
2017-06-26,0.05684397,,0.06584397,30b3f28abc71e31bf7b534c108fe9c68e960f622d52c96170efec4e045c1eb80,473000,10,3
2017-06-26,,0.009,0.05684397,92e238e6180ca45256d76076693ac52962da51c8c182eea38cd146e14416f0f5,473004,61,102
2017-06-26,,0.05684397,0.0,6b49c9ff0504d068ddbb0ecbcb18ab360f5ef20658fdae5ea9d01e80110cd9e2,473004,7,102
2017-06-27,0.0123288,,0.0123288,066d7a5fad641dc1b092e7d5fec29e01e3beb16c8c9f04e15e04db5643b37032,473015,2,1
2017-06-27,,0.0123288,0.0,cc3f166c2655a25c980f50b73e058e64e6a94cd256c8884959a7e457785936d0,473017,29,101
2017-06-27,0.06482594,,0.06482594,fcb91b3dbb6b36c890bb73ce7f23ff6e2eb7449f4712714333b35c6ff977a3ee,473133,4,5
2017-06-27,,0.06482594,0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135,35,101
2017-06-28,0.00718946,,0.00718946,22e112a59ae634eccc6f431efe7634b9efe8e4e260b10cab4e3ed55f7e977967,473272,2,1
2017-06-28,,0.00718946,0.0,36adb86a49cc2175369ce9d4aa821ea0ddffa7168298bc5fc94f6e92db671332,473275,45,101
2017-07-01,0.01160797,,0.01160797,963273ea6dbc3d79b8f10ed97df49a9124e47182bf17fc742e08af437e1e25ef,473711,2,1
2017-07-01,,0.01160797,0.0,9326f77cd3797f11ddc692641f48132abbd4bfa3cc67bdf76646b14b23844493,473715,33,101
2017-07-01,0.06660575,,0.06660575,6ef1a8d6b050c3d1a72fe63a3141eddeb6e6ef5891b7c652220c668bb6ab3fa9,473727,2,1
2017-07-01,,0.06660575,0.0,5613efc93a9267fe9bdd12e36f14586fd34de647323a719af781e0b1c4b0f3c6,473730,46,101
2017-07-11,0.01563346,,0.01563346,53506bb620ccd5e1ee1e680484c4368f93d7aed3dff9df5f5c968d471abcc1b7,475227,2,11
2017-07-11,,0.01563346,0.0,ba43d038eccc71c6b86610616bf62bad44343d140d94030c73ce01df5f1723aa,475230,34,101
2017-07-18,0.06954591,,0.06954591,839b0e1c6377f3470f507215d07418415e0aad6c84a158ae7a832a18903615a0,476274,2,1
2017-07-18,,0.06954591,0.0,06a9fe21c023ef44ef14de1d54f05f02823ae3ffc5f81b21185734ae26687468,476277,37,103
2017-07-20,0.02718454,,0.02718454,7b0c079a489db1eef20cbcdd82609b39143478693d107900765cf39bf2c95e28,476592,2,1
2017-07-20,,0.02718454,0.0,803caa6de80bed8d1f4b2e7ca2996c8e93cc271bb4714ea4b14844f898412f4a,476597,6,101
2017-07-24,0.03000481,,0.03000481,3a6ea54543a4522eea3c74c5aedca611985d4f9f42ce963d4ea992d9c9513360,477278,2,2
