Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-05,0.03654963,,0.03654963,2e7c3eecdfdebbdb062577957704ebc842e96af34e5e8b755f167dc400e3d8a4,469815,2,1
2017-06-05,,0.03654963,0.0,a9383483dd5fac35774316c1f4396588c3611414434970882d47e3c4052e8d91,469817,25,101
2017-06-05,0.08833656,,0.08833656,12cfedbea8a9b2d0b081d6e0fb32440ef4020da857710bdc9d4fa168ec5112f9,469891,22,2
2017-06-05,,0.08833656,0.0,c4d210415d8d748fba877201daf8c22de08501847267a5befad9ed2063af03be,469893,26,101
2017-06-15,0.05342475,,0.05342475,1bcdb61f272641917c84b07151c038314d9ac68f1dc32f809bdaa57e36935c45,471313,52,2
2017-06-15,,0.05342475,0.0,f46772c963bf202ee2fa09350e40b7853402e24567481e5ad0a15278323aad64,471317,7,101
2017-06-24,0.07964821,,0.07964821,7d64d34d5baf932701e00761df01a2a7041c0aa8e2fb7f3a24dfe692dc6b06bb,472733,2,1
2017-06-24,,0.07964821,0.0,14be9bc390933ba42a1895ea1b49a0a2c5b1546c3768aa69ff3d1a32f3d33996,472741,26,101
2017-06-27,0.05309271,,0.05309271,383a3f00d0bd721f4a4c2dc375ed01f6533bc75711bbb6948e0506a38e0236bd,473133,2,1
2017-06-27,0.417355,,0.47044771,238f82f7432ddc10097ed1634703b84b6e878641b38e2ef9c883898d0a2af402,473133,39,2
2017-06-27,,0.05309271,0.417355,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135,35,101
2017-06-27,0.26109003,,0.67844503,f5187014e88c11b075ace42501d6eb788e29e73f458bae263908bcd2bfa088d2,473145,6,5
2017-06-27,,0.417355,0.26109003,6d6339e7e75e3b8dd366d9e758566f6830578a42a782de49169cf25f4533cc57,473138,31,101
2017-06-28,,0.26109003,0.0,4e41fd211e2a2385e502758100c093c515976bf5ad432b2dfb13f02c4244ca0b,473147,8,101
2017-06-29,0.08011796,,0.08011796,ad68f14e088e96501991d6a4dd98daeb5df8470623cb8826c7742edb40ae0c09,473402,2,1
2017-06-29,,0.08011796,0.0,e7b2cbed0d6c7a8056a98fcf106afb7e5f9635ee0331f00f2f0e3cc88278734f,473404,6,101
2017-06-30,0.17995289,,0.17995289,2caca3ad29dcce170ad7948d93bfb215581e6ecb0d6f86d4cbb6d355a830a516,473442,15,1
2017-06-30,,0.17995289,0.0,a3bfc65731215ea99da80a04cc6bd20c99f6a0ad1c61a3284b5bd41e47958fa9,473444,26,101
2017-07-12,0.20298505,,0.20298505,9ab19b0ea420b91548b81ced31ed205fc60b3f0873f9850b01c8d98aee3f7f19,475475,2,1
2017-07-12,,0.20298505,0.0,75208b91b712e8b4bf531c7f801c5f215a4f259b44d750e0106f598b7ff42192,475483,38,101
2017-07-27,0.10147185,,0.10147185,32f3833fcd13deaa25dae3ab2a8d0b9c4c1d770c5454271828f35cfa2e61cefc,477718,2,1
2017-07-27,,0.10147185,0.0,9b87681ed06364b58ac3098476b84e5081c6778353ff6a353bb5bc377f548c9c,477725,8,101
2017-07-31,0.11201434,,0.11201434,87cf1c91b176d8e894b2332531c3fba5258e52c9ba791c165869c4c7ad8c6f88,478416,2,1
2017-07-31,,0.11201434,0.0,cf72a89552abdbb40e2105350b34fad451bfb5c2326ac8624526ea7cef218243,478418,5,101
2017-08-04,0.09672193,,0.09672193,08efe0ee82cb6477d0f6aa66ccb9ace284fee421bf5df4c62d521d625f2231ce,479030,2,1
2017-08-04,,0.09672193,0.0,c4c1384210bf32c3083baf41b06d14b0e16592e10038a149bc1fe1c55c1fb8b7,479033,16,101
2017-08-07,0.14686287,,0.14686287,d7fa58c06742a3e7a49716c9931d9f285941705f29ef1f0819a9d5b0f60846d2,479409,2,1
2017-08-07,,0.14686287,0.0,c271deeb3740ac6a80e6f06538c2ad52914ac1de2a323cb4dd1d2937efeed1d0,479412,10,101
2017-08-11,0.14434651,,0.14434651,216e4db8ee3fe11c6a7b368bd25029ff4d59d07712bae2bed4a715d38667e95b,479982,2,1
2017-08-11,,0.14434651,0.0,b14aefb2cb4fce8f3fca82c9bc83975c8e120a63ed85f70d1d6131baf0095bb6,480030,14,104
