Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-25,1.5,,1.5,0c85c7298e11fbbc08aeb75cab74f1f288a74705d2e83079cee0452f04cf17b1,467987,2,6
2017-05-25,,1.5,0.0,c2528d20662dae233bd2055fe4e87ed73479c263876556d082efb1ef5aef2b62,468054,18,100
2017-05-26,0.48916,,0.48916,18e65188cbcf53046d4402a5f9156d81011470428dfe11debbfd23e6f7241136,468123,2,2
2017-05-31,,0.48916,0.0,ff75333d33bf8cda435ccb4dacb9585430833b636feef406117d3927232a2a4d,469062,26,123
2017-06-06,0.43223,,0.43223,a387f40071fad827ef546cdda1106c7cef3154812496d864928d9acff8439d6b,470087,2,1
2017-06-06,,0.43223,0.0,56223e0e71cace339a7c168f28b1fa48bf11f6ecf55a6411c75dad2d9671e200,470090,6,101
2017-07-09,0.00263693,,0.00263693,7c0fb2cc8bf9bf535de88492ec9888fa3cb03eb7ec8ef075790e7fff919fff50,474975,2,1
2017-07-09,,0.00263693,0.0,a859688c7f239224a3f9812008cdd89ffcc947296fe0644c536fcb2c4de3ea34,474978,31,101
2017-08-12,0.11258,,0.11258,0013ee4dc0e9f712bcb5b187f5b629410b18f2e9a95d5f400e3726d895ac711a,480131,7,6
2017-08-12,,0.11258,0.0,bc0a08d375c12b6b974e2f71309b35946290a873101de11a4ee8afcb591e2d29,480133,29,107
2017-08-28,0.15421,,0.15421,3346c56287593d9145a14253b728c899e684768edd911e60e6351b8a394f1ab1,482365,68,9
2017-08-28,,0.15421,0.0,456266ca38fc3c7b25b1a6f3f901cf231a7ac483d4ff3dcd61b44c04b2fc4324,482373,113,101
