Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-27,0.09099977,,0.09099977,198de6fd6d6aa6b63ad663ab25f8ec57c30bc3bdded26438355c8aa0e59647a5,473133,52,1
2017-06-27,,0.09099977,0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135,35,101
2017-08-05,0.58723,,0.58723,a4da506ec40f6588da82954a6ba7b202bac1f651ab8f7904fff2efe23cf31048,479212,23,5
2017-08-05,,0.58723,0.0,9982f20ee4fded1429fca72d148991e7340aefd8de7880bce1ee0bb1b763fa84,479221,63,101
2017-09-14,0.2565,,0.2565,236e896c2feff4c03f25db3f4502d053b87e229702a98960de3cb14a723c2fe6,485222,28,31
2017-09-14,,0.2565,0.0,8ae892d2f821fd0d58e7261010702a538400aaccc25d8bff1698fb52cd7b857d,485228,17,101
2017-10-17,0.16877445,,0.16877445,9e81620a175d488ce4be8e7978224fc05574207c09eede2e4fa7245f1413715b,490331,50,7
2017-10-17,0.219,,0.38777445,25f4574f0863948fbbef7be5005a0065710bd0dd3eaf6c55c68f9d91f68357e0,490334,13,7
2017-10-17,,0.219,0.16877445,6d6f5f97619386537f5bd8b0aef026faa39121d00a14c54269293a38bb8b97f2,490339,151,101
2017-12-14,0.05807,,0.22684445,8321805f7667e3e805f81a9dfaa8258d799b6c8133b7b28f14d77fcd92b4bbc0,499309,3,1
2017-12-14,0.09,,0.31684445,48f5983e2bb1bba6806d7034f7be00cfd28e01ae17f099c099ec023fb959cbb6,499330,21,1
2017-12-15,,0.05807,0.25877445,faad43d41b0623ce501183f7ca7fc1c4f880678d8cf4f48d9ef6fb001a442ca0,499415,105,205
2017-12-15,,0.09,0.16877445,c639183dbd9f02f034dabff85fc446a6a496ed191b213e6809d3427ffb223c77,499474,76,202
2017-12-22,0.056,,0.22477445,3fecc118d8bcea20f15c8fbfc53aa2d8cb662588179e4b6cac24fd3f1519cc05,500580,2,1
2017-12-22,,0.056,0.16877445,dba515f5bcaa7e1562065d0bf5fd00d60f87c60219bf946214d9da7e56373afd,500583,48,287
