Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2014-12-16,20.76,,20.76,8b2e1a210de06833533274e1116f60a6c79172454546af72d683aa7737d4026a,334579,23,9
2014-12-17,,20.76,0.0,3cb514e8ef393288221397dfe695bdb910b66fe0ace2ca822dc943274b5d47f1,334687,2,1
2014-12-17,22.45,,22.45,a3af27696c07e65a55c28a5977d1c73bbf1a09511c86422c262fb14426383390,334722,23,13
2014-12-21,,22.45,0.0,f4d0caa3ab22a0d33577b2c06600c92098b41de4498780caec3acd88335bd39c,335284,2,3
2015-02-25,27.5,,27.5,2b3d72f630d2149236cc0d60843d3ecbbd34498a1763696af6c436736812f0ce,345072,14,12
2015-02-27,,27.5,0.0,4a0f504a8892bb4de57246dbb5bc8cec93de0df46ddf87645c09653a0448a0a6,345350,2,7
2015-03-03,43.1,,43.1,ab6ffc05f4e2bb61bf57879b8f7d7a340ede87985a9413db029ced2e41f6f993,345909,2,2
2015-03-11,19.73,,62.83,9bab2d0d77ed1fcc48af4e42562604b2a8fc2fa6ccd2db55598eba636b2acac8,347196,21,10
2015-03-12,,43.1,19.73,d90c4f14919abe52b65b2661e9ea22868df5ca4016c0ac40a29e864353e1f646,347256,2,6
2015-03-25,,19.73,-0.0,a3a45b54dd6adceb1ea9036d672c170092c87550d4dde0d5710688e81037f35a,349147,2,5
2015-04-10,2.0093,,2.0093,c0a7156532d490f9103b70b558d8ebfce24dfb063985663781ff288d1fd7c9db,351507,2,5
2015-04-13,,2.0093,-0.0,531f24367f28a7506393be4c3ea42b37dd0e8109a3582629905ced324d43b5a2,351986,2,3
2015-04-18,2.0098,,2.0098,b31be64da763acb7f646ffc6dc0919e3ae095b667b1dab89a1b6d5a79954d165,352679,2,1
2015-04-19,2.0,,4.0098,efd6f7da2a67c2c5387351e50aed44d57e9578526c94c3ed63b6ce59a6854c65,352811,2,1
2015-04-19,2.0,,6.0098,b8c54aed732975192f64d9ecae4cbaf134bc3e494ffd74eb54f3f28cea3105d0,352811,2,1
2015-04-20,,2.0098,4.0,c43b14666a58bbd869bc0c3e255c4e67a9164b39640ad8114e2d0206514e7226,352885,1,214
2015-04-22,2.0001,,6.0001,66c07f23262b9d5cac1c0dca1d39fb25e0e100582e4a509683e1928c60de31f8,353207,2,2
2015-04-24,,2.0,4.0001,9af019178f5d592d6be78eaf7fb6465287c782795d1a00a7557cb53cefe58dea,353542,1,412
2015-04-28,,2.0001,2.0,96308c7e3c41cb1b3a726eca39ee6a3aacdd0ce9c47fccd0895c0021ec1bdbfe,353993,1,282
2015-04-30,1.105,,3.105,dd28aedd22eaf7ee1eb48714df4f198bb7f6ae45f67d33a3c4e839b2ad3ce727,354418,2,5
2015-05-01,0.16,,3.265,277001327fffd911fe8d2935575e6c0b5977cdaf18c3ab54057790dd3fbc2581,354508,2,2
2015-05-13,,1.105,2.16,9c5636503b9858e64ed72b33f2eec89c002d0afdfbcfcecf8e3078d50b8b0af1,356170,1,107
2015-07-27,,0.16,2.0,26e2ce959c4900922c0f90b4d43435d731cf0c758b29e396b49b8e17e47e13c0,367165,1,120
2016-03-02,0.45169931,,2.45169931,034265eb7739e787d7a33014c97b569f0301bcb705daf542245705e003616142,400738,2,10
2016-03-03,,0.45169931,2.0,86c7bab75bc8edce0c817a5685636aff411418c76fd3ff2177d0d46a9cd8c180,400937,1,601
2016-07-03,130.0,,132.0,5a531462d7fb2c1bb3d5beddd95d7a06fc41ff6169a55358baddc80eb0335dfe,419010,2,1
2016-07-03,,130.0,2.0,ac77b54f70be842436d0ef9a94f71aaf82c4e96be79c8678036e9557af42fa5c,419147,1,201
2016-07-20,20.0,,22.0,ca0338494bc67586334251ca059cdbcd3bd7f0f75fa2eb7cdef1ac1a4e168b2b,421607,2,1
2016-07-21,,20.0,2.0,1ea333bed0a927d07df65cc5d7185eebb552305b54cbb61b721e39f6c08281da,421611,1,201
2016-08-07,104.95446331,,106.95446331,ed1c71fbe632e86fe89cc7409916a4aa8b32d97379e561f2db48bca907e08175,424040,1,5
2016-08-07,,104.95446331,2.0,044bee8280c21f62b09f0c81cbcd2e4dba9fb9782a0bad9eaf4d57452312e460,424053,1,201
2016-12-22,3.0,,5.0,f8ea893b2b66d1d209a06b3ed1d6f0172aed2a5adeab03bad077c354784d83b5,444642,13,7
2016-12-22,,3.0,2.0,fc8d5619d8dfc3eeb2301fd9bb4765df054f69cf229bef488c24eecb5b6d030c,444645,1,101
2017-02-06,23.9999,,25.9999,bdce87eca82d468272fecee39636ce1aa7e84e833a89f17f771e734391f26eb6,451822,35,1
2017-02-06,,23.9999,2.0,7b6f000e70ac053e65de7fb39d554262543418cdd409a801943daff631d5ea2a,451829,1,101
2017-05-25,1.8522402,,3.8522402,144b6cdb06d517d8f3ff02fd2726648574727a1e73ff3eb8c50a56cd00bb068e,468011,2,4
2017-05-25,1.9752336,,5.8274738,cc5da35adde72e7bd65778d585e9bcad340764eec7f4e66cb3be78b99f6262fa,468015,2,2
2017-05-25,1.9015136,,7.7289874,ae767d2cd609abff8e7a3febd17e1175b6d008a73dae294d98df9ccd1458a109,468017,2,1
2017-05-25,1.8699007,,9.5988881,bb9d9def160618dd066cb1b3ef62a6d235c22c177e5630359ac93421d202fb3c,468023,2,2
