Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-05,,3.9999,-3.9999,d2ee9e3ac319d9d5bc33ca6b130d2b7749c5f23fcc0f4f3b93688833657c60c7,469839,26,101
2017-06-05,0.0599,,-3.94,42ef44d472250d6d8ff736d6b3c3447dda404f86c4168a2284c64901b6594a4a,469840,67,1
2017-06-05,,0.0599,-3.9999,4c9694b999f6895fa31bef419965445b6a27ff36eb401deb6e8f9c93763e3422,469846,26,101
2017-06-06,,5.0999,-9.0998,45ed85717ac44f07921cc6e7f7cda0bf642774305b364ddc31c7d66933c1d796,469951,47,101
2017-06-17,2.62927328,,-6.47052672,3dd7346ec3020be9a0032684f9d86cf4808f89a43c7049c209d12a88071537fa,471712,49,1
2017-06-19,,2.62927328,-9.0998,5f73e181f7918ee67bcaf6d2b43758b46ecb11f86d529d63653c88fc5700e72a,471889,3,100
2017-06-25,1.27003748,,-7.82976252,cb9b34a7553c8e38cd8141fc7066a0d4cd11829038ecbf4269b6efdb0368c25a,472747,36,1
2017-06-25,,1.27003748,-9.0998,e0311e189e79eea73a4b8cf6a7668b3c108a00550daaad0c896a0cf8313db1d2,472751,11,101
2017-07-27,2.95706283,,-6.14273717,c2c12c30e577f790702b0d69a28ff68d1b72a19264c6a783efb20b244e329ce8,477817,23,1
2017-07-28,2.9999,,-3.14283717,dc57221e9231fa89b0f6a6c651111bca0dfa2d8c17e4e0554d53af60215226b4,477870,19,1
2017-07-28,0.7999,,-2.34293717,2735b9ed84cbf7d8b60411002af92ed52a0f22a6f5f15d151ccc0e8b54902894,477921,17,1
2017-07-28,,0.7999,-3.14283717,e6b537a085ca40359d39ed4d9f32e3efdfce437b5f8dc650ee49e0411beae870,477927,35,101
2017-07-28,,2.95706283,-6.0999,d5534aabd970d428c753bed6e2d7ff7051782401fa54dd10f1250859b8718686,477976,9,100
2017-07-28,,2.9999,-9.0998,831496d62ef3aeca6367c271294415f58e3151ae7ab8a025a5f59f44b76e089a,477981,9,101
2017-07-31,0.70203093,,-8.39776907,d0c6045d0c81606ca709a75916669a0000aab467aaa6d7583df02bb1139b776b,478379,2,1
2017-07-31,,0.70203093,-9.0998,50abc6aef265a4856300e8c125bd4f7fb478f392490c84ff067800cebbe0ce4e,478382,21,101
2017-08-07,1.72532271,,-7.37447729,662fa9e6f7fb580f4ff91a5243423f0f90a3cf1f7247b5a25827f0e1f8858b8e,479512,37,1
2017-08-07,,1.72532271,-9.0998,45a577b82b9aa16fba8705da5802c9b7613db249b8c93a061e66679917f39141,479517,88,101
2017-08-08,0.84622887,,-8.25357113,ad10f8fc5efef45b812a523b4c5591c099cb854a2fb778ba6d544d7738d574c1,479635,16,1
2017-08-08,,0.84622887,-9.0998,9caf01b2e2fbe0b6ca7162e68feb9af61ec2e1d73ea8d81afaa5d0666a98e62e,479639,11,101
2017-08-08,0.55782028,,-8.54197972,2ee4dae25d1e8f73c498d6d2ed1e64aaf4b86cba5ee3f04ddbc18a81587c2878,479659,39,1
2017-08-08,,0.55782028,-9.0998,fc13a58e722671ed518df5407c9c3c6755afa5807e326c352932a3b1c7a4c04d,479685,88,102
2017-08-09,1.62190377,,-7.47789623,cc1553942529c8c0a1f27ff22f29d275de92b9bff05c319a66d1c9a53959f4e7,479746,31,1
