Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-04-30,0.060458,,0.060458,6e743ab9d82b1f242044d5b6d2db4a4591ab70da93e3fb68237f094926bd6a4f,464145,2,1
2017-04-30,,0.060458,0.0,2f01ea5d8d5329eab5732ab15c906c998e3306f9823bf8f3a0d16c5816273726,464151,1,101
2017-05-01,0.18403786,,0.18403786,a09d7a83e5dcf7f2ff58a3782fa292e3a5c5f9114fee11ee52e6a5b8dc3c75da,464262,1,2
2017-05-01,,0.18403786,0.0,035de9b36d5c25773192f1c00cac4ba6562d737f9d28200abc350dd2fa3e5545,464274,1,101
2017-05-03,0.32689,,0.32689,22954310950b3ff204788aeb3095fe982cbd4324cf82c9535b1a94b71e4a00db,464606,2,2
2017-05-03,,0.32689,0.0,c9b99b9d5f57d59d660eb3820d9b8508a733beed36444ac86b566e3e722cac37,464611,1,101
2017-05-05,0.635206,,0.635206,b2b143aca4e430277cdce6aa6b517c7c761e2eadbe17cb7ac9378149a882d1e9,464901,2,2
2017-05-05,,0.635206,0.0,7017d243fb23008c94f8836c3bd2cec3ec9a1f72618aa3398a78c2f8bc673798,464970,1,101
2017-05-13,0.42668,,0.42668,ff38c98b5f85af8d106d7572637574f314c8b9e73af28340151b6ed43cee273d,466158,2,5
2017-05-13,,0.42668,0.0,22f44cd79cf87fac354cbd6c03156c59cf576987a034d5763d0ebfea6b97b766,466164,1,101
2017-05-18,0.161626,,0.161626,18d82d3fdac9a29ff7e1ca1ca29ca6bffd2a4bcf6b16ecb9c5e9f4a8ae373fb0,466993,2,5
2017-05-18,,0.161626,0.0,2f16b80f16faf1b8908b06c8e318c5f051a8171cd5b8c7a48551164a1fdf2143,467018,1,201
2017-05-19,0.520564,,0.520564,14067a24b2a3bd362e177a9afdfef1bcb936c1b9acf6f90b179dfe8c5340b45e,467168,2,3
2017-05-19,,0.520564,0.0,8a61b964804e77b04223031029a5486e972b9618297f660de56493bf8e0d4bf1,467169,1,201
2017-05-22,0.464244,,0.464244,87c1446c5f56e228361f5c6c79bc531cb82bbe9650ae4471e1762bd6c6e606c8,467640,2,2
2017-05-23,,0.464244,0.0,16bd156b491df084dbefc0d210772af63bde2a3cad60136e95b4d268a7f6a573,467642,1,201
2017-05-23,0.08074,,0.08074,6c3d170c40bdf0e343793df2d63f10c6b2c550bc1442d587327f4f0fc4d2507f,467758,2,1
2017-05-23,,0.08074,0.0,7a6f2854fc5d4b5dc2872d51fc4eb66117940b8268407657717b5b561415caec,467760,1,201
2017-05-26,0.059223,,0.059223,72c8d32237be2f3f257ebd91215b626b92d4b8dd0c7e1ea9ccbd22873981f91d,468124,1,1
2017-06-01,,0.059223,0.0,fe42dc6f2acdd2ff31a75939a06c1ec90a918b9a07672e1b29cdff9f7265ae35,469166,26,101
2017-06-04,0.190334,,0.190334,2668038f53fba6d3ac22f4430be743b06530fb029d77e488001a8e316f4ca762,469636,2,4
2017-06-04,,0.190334,0.0,1fbcb0b4b2af830a6af5de3bd47f977ab52de867708216a29c26ee5f7606f359,469645,8,101
2017-06-04,0.794156,,0.794156,ae84e82a7bd9180a116a26fcca4b9eeb7ddf2c946dcb54dfd6ef41ac08c3c50f,469764,2,24
2017-06-04,,0.794156,0.0,c9745a698f56fb04a9f816900d0f2b98d75906c8ea837886ce574a3722d91bf8,469766,26,101
2017-06-06,0.335953,,0.335953,c59ed7f72e73728543f0ccce9690d25f6657b14440026d30049795c8fe6feb3f,469945,2,7
2017-06-06,,0.335953,0.0,77fbe5a81a637d9ff114b43ff99a5f710870dd9779e38b6af98791af51908448,469950,6,101
2017-06-06,0.148113,,0.148113,53aa5a9d1dcd00c114a45835534e27e449695dbebbdac1b7a1e20142b60cab29,470099,2,3
2017-06-07,0.178248,,0.326361,b59de383663f2ef64723a9b399dd1aac2b9e7b7745d8ea2e07e989e132888e04,470101,1,4
2017-06-07,,0.148113,0.178248,440180d5c87a168ee8be90e44f8a79853d33b61d6c97f294eca46676a83642ba,470102,7,101
2017-06-07,,0.178248,0.0,c73e2547cab2aca63f3ebc65b2fa91a4810a1a8e25408ab1c3441152c333ab80,470103,31,102
2017-06-07,1.0,,1.0,1ff68ffb2afa14174f3a92c48a367818cce35fb0f86c5a175b6215036d582b52,470131,2,2
2017-06-07,,1.0,0.0,395d4cecd9578750f3996191793d04ec8497b92f7d7577e530b159adb7dde1c4,470134,37,101
2017-06-12,0.742932,,0.742932,5981e216d528776781fd8aa97297e5ca72b520b70e04d8e53c06cb63951e4166,470877,2,2
2017-06-12,,0.742932,0.0,54c1715e43c1271c604871d7aef260ee94fdc04c6c5be553a8e15b69eed94a71,470881,19,101
2017-06-13,1.065394,,1.065394,1239077a25fcdf1e948ee1c3eb7206ea09e5293ce607e77bdcbaf92852f69ef5,471123,2,8
2017-06-13,,1.065394,0.0,2e26633cb269413ee71fdc53debd588d0dc7378dba2cfc72f907f5b9108b7f9c,471131,12,101
2017-06-20,0.366012,,0.366012,0d689c77ae27bebdc824077fea74b4eff547a992cdcc10c574452388a4eca55a,472157,2,7
2017-06-20,,0.366012,0.0,03ccb70934fcdf1e72880e920c836a2f0a013465a02ccdbd7a50429a50ea57e2,472166,15,101
2017-06-22,0.257138,,0.257138,f6de56362fa2fac371e80d36ddc9ba87dd8662237e1100080c06d955575421c0,472394,2,1
2017-06-22,,0.257138,0.0,601b2c142d80258cd565190b77e2ff0d1eb761934ddf48566193e4d65a9abd76,472397,47,101
2017-06-27,0.06057375,,0.06057375,e7c8f36cc724ab6b646a577a98c0b9a562b5659b469cd62e9f178a9e2784b4c2,473133,1,1
2017-06-27,0.04273551,,0.10330926,d5a4f6fae34212f3bb8a8dff2efd4adfbdf0a8637a128b1bc695e0eadfd703af,473133,2,1
2017-06-27,0.09155757,,0.19486683,c70339ec9dfe9b4588c2dbb7fc0b0dde881bb782978c9fddce7e98d7424a1724,473134,1,1
2017-06-27,0.01336234,,0.20822917,8f684aaac5e3185ca10d883b52c78b6c911faa89904d68012f15e511a6db175c,473134,1,1
2017-06-27,0.03902591,,0.24725508,8a102087f069a0347372502ffd555e25e48737ba7269ba0dcd3e02d2d412d57c,473134,1,1
