Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-25,1.776789,,1.776789,e53971f4931994a26313668b089e4e4aa10145029b4338f5f1898025e281b44e,468018,49,1
2017-05-25,,1.776789,0.0,c2528d20662dae233bd2055fe4e87ed73479c263876556d082efb1ef5aef2b62,468054,18,100
2017-06-01,0.47054863,,0.47054863,7f9ed30df581c55ac4700c303f160f5e8bdf4575fa95a775c897dc92d23798f4,469153,41,3
2017-06-01,0.15917359,,0.62972222,70d1518b6ac0436709fb3a0df884caad59b8cb8413a8552004317644dbd4883f,469168,43,1
2017-06-01,0.14084675,,0.77056897,40a56a262d75af8e63ff39a4744d6e1449f19d91756ab3ed693c3f8b1a4e8403,469192,58,8
2017-06-01,,0.14084675,0.62972222,3fdda4870bd9be0583256d9b36f2198e22dfd0e9235dba2b0439a1de99fe82a3,469225,26,102
2017-06-01,,0.15917359,0.47054863,d0d7494476fc46b2a044d455b93c91a127feca6634f99407d2b36998b4c04df8,469231,26,101
2017-06-02,,0.47054863,0.0,c4e19ecf40cfe22480b9d7aef5973bf96708cfb9b552ab578e344e1a6b46c125,469299,2,100
2017-06-13,1.30573426,,1.30573426,a415ed398baffc7cdca39a411fb0f0c28975f7624f640e8a4c193d9c93cd9b07,471024,2,4
2017-06-13,,1.30573426,0.0,ff2687c92ec94828a13938360f0e99af21f99a6e49e53582d76096d4d605572b,471028,11,101
2017-06-14,0.43382054,,0.43382054,9314d4919d40adedc7f69c7a1b14aa2fcc20851861770e1a231a3d90576117bf,471188,2,2
2017-06-14,,0.43382054,0.0,c492af350ccb9c9d2b2d448f73fe05ba24689a36fe6a58d8cc75283a3f21e0c8,471191,4,100
2017-11-12,0.25,,0.25,3c938d2d4bf6316ef32a4bac7c5f1fe8cbad1afa42bc87e23510fd9370fa7d96,494043,5,1
2017-11-12,,0.25,0.0,f9bae47f59341ee32269177c9da3b5428452d5188b4811b8b3db03e90c124ee0,494049,55,101
2017-11-12,0.01666,,0.01666,cea56dc8f6e869501789a3f1d10407c4e404a9ffe5b69fb50ca13a7e1dcda084,494066,9,1
2017-11-12,,0.01666,0.0,f00b63e0da2bbaae436361f798b691bd615308a2bd03e72cc3a59ec8bb14f20c,494068,71,101
2017-11-23,0.25,,0.25,bb48b9143886057ce04f6aaffd076db2a181076d5bcd19d6ce9d3bbdf8b91716,495674,8,1
2017-11-23,,0.25,0.0,425c853b6e938ef9dd04a1325ae1c8188b7e66b815baca4876663b40183f7224,495676,37,101
2017-11-30,0.0991,,0.0991,cae3e6b8dba500716bff68bddedc596f9077076853fe686f42bb7ca20d57dfdb,496804,7,18
2017-12-02,0.05,,0.1491,bb66a81d270bcd751d3693ecf058c41d372f48a37f765fba0a69bfc001f5773a,497134,6,1
2017-12-02,,0.05,0.0991,f932043aa9140702e059456495d20cf297b4baa7f326c82d9085b3fad785aa2c,497137,94,116
2017-12-09,,0.0991,0.0,6c24dba31229c20b4ca07caa815077601baf79d5b688cfc5502ca8757da62bfd,498302,50,225
