Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-07-27,77.82184738,,77.82184738,fd13caa75918796268ab99a327662c01f850651439881685169d51261d58c06a,477752,20,11
2017-07-28,0.74367091,,78.56551829,ca4aa7cf61567c6a0ca46064627ad5942578ac6918c667c32f27732a11af0f21,477903,25,2
2017-07-28,0.66902931,,79.2345476,5464e249e7934411d75a6d444261c7700d2f5d665f2d185dfbf6751d66c4741f,477966,52,101
2017-07-29,0.7349,,79.9694476,34e7d12519089589e6e7ac6438b6aa563594ae15232d9b730e5fce5a75ca155b,478074,27,1
2017-07-30,0.0149,,79.9843476,19a4f1079278263da9a22d9e2157e24f767e5074beb0a09bc6dc90346d7dc951,478228,27,2
2017-07-30,0.7499,,80.7342476,75ad8eee53c9fde389d91ea1dc73b37cb7676e886cfc55c8a0a4e8e20c74754f,478228,23,1
2017-07-31,0.7349,,81.4691476,eb3793ccc28698160338d8eb73354558b09a6320d28138d5d8bf8aba9a047850,478386,148,1
2017-08-01,0.7099,,82.1790476,538b03018e4760ea224e11319f1efc1b2c3cc4a0309ce7c3f20dd495a313c88e,478532,37,2
2017-08-02,,13.05452974,69.12451786,7f3f37918617f5c2152673686cd23dc046376e9119ab9604271212f90fdd397c,478684,2,3
2017-08-02,,27.40659987,41.71791799,af55ee2fb20b82c2eba48f5efda407ccbf8038d7b7e2f9901437c1d34ac69ae8,478688,2,5
2017-08-02,,93.07581556,-51.35789757,4ab4808c60d570ed0d3c680ca5bc6b71230c089b1e0c5cebff823a3053c2c336,478693,2,3
2017-08-02,,75.97194863,-127.3298462,66cb598358bfc6392290175363e3e59172bd1fbcd457ae707415eb7a0e20a61d,478712,2,6
2017-08-06,0.0099,,-127.3199462,66730f38ee9074130ac36e2a70f4bfaffc7fb81884dbd3e4598b2d063afea2a9,479386,23,1
2017-08-06,0.5999,,-126.7200462,6df1809de40715c788d85b89bd36d76b13b2dd1d94286eac6a8cdb0d5226e70f,479386,25,1
2017-08-07,0.5899,,-126.1301462,94d9cc567826c8744cb60beeae397417d2c819ea474861ab3d5370d9ec7bd3cf,479548,30,1
2017-08-09,0.5799,,-125.5502462,3e9280de22e1f1f8128232d71d995fc8a8c08326527c53f9cd46d37d69a95555,479718,37,1
2017-08-10,0.5899,,-124.9603462,9d4eab71b897ca9107c878a22c488901549766fcf1066f9ed8ba4b92bdb2d22b,479868,146,1
2017-08-10,,0.28099621,-125.24134241,0b4cd12c07c2d51cf24b69bcf69dee4a8cca332ae449bcb54e1bc57b05f40a5f,479935,2,3
2017-08-10,,0.05030519,-125.2916476,163217a47cb82af19b1777c75579fdb3f07124b74089f37f4387f0d1944997dd,479941,2,1
2017-08-11,0.5799,,-124.7117476,33f7ba68662ce1510f898386182d38b1207b484c5fd1a0504e318da0ec463c93,480004,22,1
2017-08-12,0.5499,,-124.1618476,db86b5c9f57a783b76b26c3b4d5b811dbb5824f79b0a0c93703b7d53546017b0,480157,27,1
2017-08-13,0.4899,,-123.6719476,d7bccf446c1740ed39d26a551e0f7782c510139b607e507de48e034e7c03bf53,480382,29,1
2017-08-16,0.4799,,-123.1920476,72a6476aea82f9f73bc28c6ef4bdfee77e36b95a703c022593fca729084ac27a,480777,54,1
2017-08-17,0.4599,,-122.7321476,1e6b36cae7d4ab8ecdc22bf2af90635222a3b71007e8602737b3d1dc23698fdc,480988,37,2
2017-08-19,85.6396,,-37.0925476,d11e4e22995afb8fd5e2470f81b2a6578ddc332f62dddf9ab2de28c0207702aa,481294,6,1
2017-08-19,1.37,,-35.7225476,205e79c229bacbefb7616f858bab2228f09b37cf8d70707e6ca9de1b5b64d648,481304,2,2
2017-08-19,,76.78647887,-112.50902647,950f5d4fd27aee96f68dc6084832682fd8e5396e84a312127344013141141e19,481304,2,9
2017-08-25,0.4599,,-112.04912647,2f021faec5d210db409c77eb133ad266309856ae9cf4b52b7c344a11083a9d34,481956,49,1
2017-08-26,0.4599,,-111.58922647,dfed8ae01899ffffd89f74af9e37ef7c0296122b0931d805d6341c12363c9369,482054,60,3
2017-08-27,0.4599,,-111.12932647,d6dc320cdbde885009d38db466da382b1a9570ec6de5b95bbecb922cca6d4b86,482183,50,1
