Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-29,,0.07,-0.07,b57a9300728d531fa4ecddb7cd329f8aa167dc227e8f1954823511ab0de641ce,473396,8,101
2017-06-29,,0.03428588,-0.10428588,a0af952f69dde8726894d88c38d1a083a5b7c37473badd1e39268afaf10994c0,473398,35,101
2017-06-29,0.4,,0.29571412,894d4fcb5c16abe087eedb5eb256702857c5c57371f5cb21ec0366324fc905a2,473419,2,1
2017-06-29,0.10157634,,0.39729046,75e2c1be722b50a44b5c1754ab72404195c8393d8e0e11dabd1550692ec2482d,473421,53,1
2017-06-30,,0.4,-0.00270954,2dd1169cffb6b12eb02a6ca04c35ddd9acea48e52ba9174d7ba9519aadd7de85,473421,40,101
2017-06-30,,0.10157634,-0.10428588,553c969bc624f9a9320b09806404eb67d70f13142e04b743b3112c41c9f55e25,473423,35,101
2017-06-30,0.10500434,,0.00071846,00c80337a3a4c0404120a5a472c66400577f8e2c084f98fed08a42f8803b704c,473515,1,1
2017-06-30,,0.10500434,-0.10428588,caf1f33ad9af209b6a1806d7c02a3162c75261dec74c81486a53b3287dd9141c,473517,13,101
2017-06-30,0.11144821,,0.00716233,625feea1613cfc41dac100a4a0fa95508ff353b6060652cd0ed21abee1bbbef4,473551,46,1
2017-06-30,,0.11144821,-0.10428588,e5e036c4e89ce5965fb36962afa600cb699e7d832acc7617ac6e0a43870b90a1,473553,33,101
2017-07-01,0.675428,,0.57114212,c13f2c41eb2097bdda71c1dc41b254fa0d19c6d73a08e16560c80e485253342f,473672,1,1
2017-07-01,,0.675428,-0.10428588,2b4a0fa24bb8aa5e3609f0e5a911be7429920bf6c5063c3ef57670bb344c566e,473678,35,101
2017-07-03,0.13415889,,0.02987301,c8721277f3192a73d25d6c865f41008cd6020c9240f0295f734034b53b0f6901,474028,2,1
2017-07-03,,0.13415889,-0.10428588,d63c1924e9027c83aa3a14674b3d7101409c2976e471df95be9522a8a8021984,474030,9,101
2017-07-06,0.03461345,,-0.06967243,95d1d937f5d843d1cb44f0056ed66f01b984699cf3e0030407c33d35f2d31d48,474517,2,1
2017-07-06,,0.03461345,-0.10428588,fe3a3bffc51a6c7e6bc28502ebb6efda934312712272f9ce6e91ab99be2add03,474520,47,101
2017-07-08,0.04820383,,-0.05608205,6819a8eaeda86a8309f4a27f55cc0e7d8f197b2d0462e3e5f1ca40f5bbcfc4df,474701,2,1
2017-07-08,,0.04820383,-0.10428588,150a6e307f0a47c5b3ac7a54d7af3d799360d41c38c29633fd18346d14a36501,474703,9,101
2017-07-11,0.13639625,,0.03211037,88ceca47db53cebe78f76dc3104117a5fe1971ff6c185ea36984efbda26a2e5c,475318,2,1
2017-07-11,,0.13639625,-0.10428588,6a14bcc200c8cc01911c8d7611de18aef4c12d7011e2211af5f87722e9e81ba2,475321,34,101
2017-07-14,0.07744321,,-0.02684267,5e35542b08650e78c2b56cbc6cd8ddb28b571ea7ffda56b2d3d6161d0ba21bd8,475765,2,1
2017-07-14,,0.07744321,-0.10428588,aa38b1faa718fbc830c122bab19257bc8354e6df09061889be0b221d95ef968c,475768,30,101
2017-07-15,0.10158609,,-0.00269979,d4d03c483027340017f657f3047c849139e60e32885058294070899b8e0bea50,475891,28,1
2017-07-15,,0.10158609,-0.10428588,0d82e6295e8fcc8c9eb388c0a1ebc2eea9b27d33e57e6c76027fa4df606c17f1,475893,36,101
2017-08-14,0.14184799,,0.03756211,af3db6a9916bfbe6168b3e04decf6f7f7ed20789ac44bf339b593c6d05bed099,480518,2,1
2017-08-14,,0.14184799,-0.10428588,a38c2c97a74a2194343eceea11a03cf338b6c48d9920004fa13ac6481126d914,480524,33,101
2017-09-04,0.05636958,,-0.0479163,a4cb63de975caf4b61ae5e1c92769699deaa6be4f4a14baf17710ba056d423ca,483457,2,1
2017-09-04,,0.05636958,-0.10428588,7a9ddd34743f6fdd572ab0ff4f2e46de38b577f9d65e6b6ab78e0e1640103a1f,483462,20,101
2017-09-08,0.50000001,,0.39571413,0d684a0bbd52985d58414c23173088c343ca375a59acbc436208032a524481e8,484080,2,4
2017-09-08,,0.50000001,-0.10428588,82df458fcb499d81a9441bd74b2448b02360d9580a395b8ac91f92d245512bd8,484084,15,101
2017-09-11,0.39429697,,0.29001109,a70a79bb3647a853ee0694aa57da6cf040aa08a146514829f5badd24064cbfe0,484668,2,2
2017-09-11,,0.39429697,-0.10428588,817e6ae7e7e56824fa7a849fa0b8d24698afdfd404d0e10418759ed45ebe9b71,484676,88,101
2017-09-13,0.17949531,,0.07520943,37fab9f9b9ae90a8ca8485155febed72c63d66890751cdae39b3a296bf98c9c9,485083,2,3
2017-09-13,,0.17949531,-0.10428588,2268b2abbc5b65c13f29462917e23966fde79754a86b1be1796ab66a3a675500,485093,41,101
2017-09-18,0.08560907,,-0.01867681,c1e57a9b24b11280cbcedcfbb11e457f534b0cb8e0175a9512d57f21d71fb671,485881,2,1
2017-09-18,,0.08560907,-0.10428588,29aa2d2f144af5283219985f2e7c991996b63c2ff87413860f65131589e58e06,485883,20,101
2017-09-25,0.02258228,,-0.0817036,6d0bcde92f19e99d3ed5778fb4c5cb2d70c8ee010aa750ee7fc17c633e54e2d9,486833,23,1
2017-09-25,,0.02258228,-0.10428588,23ac97651abd62c63d747747fb30159fb6beb67a35212b610157360ed84cad51,486835,16,101
2017-09-30,0.1268,,0.02251412,1547fccf31ea3d33c1ba96a0a817825086b30b36ba52f8e1d96ae3237c4cd08b,487591,2,1
2017-09-30,,0.1268,-0.10428588,a48cb142e539dfc061affd21b6f67f55c80de574ab27593063ae4fb0e103bace,487594,13,101
2017-10-12,0.24054493,,0.13625905,d108609cd380ec3b5c5977a167f7d70bd58f9e791f258dbf5489faa50950e940,489518,30,1
2017-10-12,,0.24054493,-0.10428588,37c2b153e67988a0952a4fc570b62c428da2b999f71c3c20d2cac497beeea5b8,489520,84,101
2017-11-28,0.12790745,,0.02362157,0dcaf4273ccc8e9242098ba8b62dea5a658081572d820bb9bb1f81a3639e0abb,496555,2,1
2017-12-09,,0.12790745,-0.10428588,c51b90f9888670402a8d0f74ce40f97415f12507d33700cdc5c719695d3bf034,498420,108,202
