Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-23,0.01587202,,0.01587202,dd74f2454c118120850fceffe88424bf350895cd3713dfcd67ae60809e543755,467764,2,1
2017-05-23,,0.01587202,0.0,96f46d9b2e7938a229a6bf1f39b355a30619804ea3bd2b17c5cc230a83a503a7,467766,1,201
2017-06-02,0.16311085,,0.16311085,514aa2f60a5c4d5b5579505ea7c5365806f149cdc6bdbfaaaa681c93c014c43e,469359,2,1
2017-06-02,,0.16311085,0.0,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364,23,101
2017-06-03,0.2,,0.2,5bf8ec7b23277810a7a6f8694a696ae425fc0de60e9630551b341ee695ab3124,469543,2,2
2017-06-03,,0.2,0.0,a26b91e87698b8b4cfbe2ef6ef9b4648596a2c83861ef63727e8d3e64f314c14,469545,12,101
2017-06-09,0.03083097,,0.03083097,046a56403f5b570e082b9148484c03a1992b678677309b5838fa9fbf59971500,470512,52,1
2017-06-09,,0.03083097,0.0,4d18c1dd09d08273a34a8a887c3c67d8b7a0d42d3109d7944d6bb2962cef26b3,470514,48,101
2017-06-30,0.09969112,,0.09969112,03670d2ebfe66f1349268256110ba029601a0578723582fce662663df0be93cd,473448,2,1
2017-06-30,,0.09969112,0.0,e50f06248787f0dd9e50e2b5608d1105a08296b758c0b80d0e4f758f78fb8a7f,473450,9,101
2017-08-28,0.0085,,0.0085,da746690dde22f114dc882f115d5aa45085938a861a5089e6c1afb632b725b04,482375,25,101
2017-08-28,,0.0085,0.0,e1cf531032c0d5b749090840bb5e71d92a4f362117e728853d2d3ab6775fac8f,482378,84,101
2017-09-04,0.13210714,,0.13210714,1af6bcb3be9df0a1f792d117030f04800d3d6fd1749e4b2abc84705ef0af914a,483453,2,1
2017-09-04,,0.13210714,0.0,aeb3bd0459891b5d2fd238fd305d55a44943ac47342acbaa02851430030c7c56,483474,149,101
2017-09-21,0.1136379,,0.1136379,dc9e237c1b84009aa2ce981621ab4e73501d21491bb6fe958921060e3cd61321,486233,2,2
2017-09-21,,0.1136379,0.0,5d4ead87888c2d5b298cb74eff2e06a23ee434a3e4245d8a667609570e0dee54,486237,14,101
2017-09-30,0.02886922,,0.02886922,b4100c32d1972540a6dc0a17b40a19c2df5c9c9df07a3537b4fe50c5f4f93b2e,487686,2,1
2017-09-30,,0.02886922,0.0,fef8245fa0466c537b73b52985e470354a4e8d5948f600184f0bb08b4709cfd2,487689,14,101
2017-11-22,0.198,,0.198,984b01f9da2cfde587e4574ff996f4ba60236a89cb736109707585ad8f8319be,495599,2,4
2017-11-22,,0.198,0.0,21733da81150bad994f004656f1be2971565164aa0385722155cb715e5256737,495604,35,101
2017-11-26,0.13,,0.13,4d6c7a9c1cc223ef0c763ddbfad18f5d835ed369a2d53f855709bfde3c318384,496205,2,5
2017-11-26,0.25498876,,0.38498876,a4557e9bf8497434a431c25fb6a302e2300c8648a83d219d380e715fb59aaf71,496206,2,4
2017-11-26,,0.13,0.25498876,03f6b7e0198d6e7c0dc8e98741fa7b90d7992427ac3f712d88a5064106359c3b,496207,143,101
2017-11-26,,0.25498876,0.0,a4bfdbfdfccee17258fdec5f6b8d2e59f36513194b976fca9fa560578c63d4d4,496211,118,101
2017-11-26,0.2,,0.2,af0087bd8c0de9051e34876a22a44d9967f8d02bc66737e5f504ba344a9e0955,496236,2,1
2017-11-27,,0.2,0.0,58556d7125a761602b25912419c5ac0a8848e1fe373e292350d2bd3c1ed3627a,496311,133,101
2017-11-27,0.1,,0.1,dac3e52a25f4eaa00e2d0406d0e4defe4c2e1554de5df95981265e1b937e4e50,496324,2,2
2017-11-27,,0.1,0.0,3e0fda62206e34fdfe9a38819e693273dc4aad126bd75e7c29fb844c416b2075,496351,63,101
2017-12-01,0.2,,0.2,74a2faa57b83bf6dac1af98a088134644ddf824ec6f3105cedb10fe7cbab8687,497054,2,1
2017-12-10,,0.2,0.0,5ba508ff15d653a69c4231edccbd056e2f32fe3ab6884d976451ab748ac54d16,498569,37,203
2017-12-19,0.1,,0.1,ff83736368f6aa8e52597a31296b664f084167c131faf416feb558434ebc19dd,500833,2,3
2017-12-24,0.089,,0.189,f6cc7a03e509d8fe37bba92aeedbd6080fbb3e793de406b5b301a80fdd70807e,500834,2,1
2017-12-24,,0.1,0.089,d85c7d27902671992e5519e3b452a5d809c28eb2bf7f7805e0bd22870512c395,500835,67,201
2017-12-24,0.11,,0.199,f8c4c4361f807f81a0f8fe5ea1a89da6fb2bb921a0d3d658a5b9ce1a43d3a537,500836,2,2
2017-12-24,,0.089,0.11,f1339650e52a10cdc25b7ad68c84f433cd035f027a5199cdd27799596ebcaa66,500837,79,202
2017-12-24,,0.11,0.0,4e3e4c9cfe130c1e37338d5aeafd0a0a432496908d15abf863524163faa3dafc,500839,59,201
