Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-02,0.3994138,,0.3994138,faa0d52f2e6453e703e8af6de9205bc53c428297fd4e58620d573071f01275ed,469361,2,1
2017-06-02,,0.3994138,0.0,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364,23,101
2017-06-04,0.2999,,0.2999,b878b7c3a27077bcf35701a95f25945e528c645cc0d36c9b810dcf6e0e78b1cf,469683,68,2
2017-06-04,,0.2999,0.0,c691e0b421324d88659816d230ce67e71d6b2aac2fb85539f0f16c96883cf12e,469685,21,101
2017-06-04,0.2999,,0.2999,16abc1fc9930ff9147161aa9177a31f6fc861cd0617c632e5d7cc586c697e8a7,469690,61,2
2017-06-04,,0.2999,0.0,ba7e49e94ac23e757768d2d4cb12fa70c05a24045d45244e839ff2b552b6166f,469693,26,101
2017-06-05,0.3499,,0.3499,efcb5c727ab213a6c582df299134b2205c1e5fbdfe9a122b5f05a2294ac4b705,469877,64,1
2017-06-05,,0.3499,0.0,298dea59fb354d85761259750940824671d94c8f0450b950cfe227e6d2c410f8,469882,26,101
2017-06-06,0.2899,,0.2899,9363a213206943c2d66386de47c3926c2249c2607aa4c0dbb972091cb7300e37,469930,56,1
2017-06-06,1.995,,2.2849,4ffeb9b165f577d2be09eb14cc8020cc3615a7d94fa11ed2185de00be16059cb,469934,3,1
2017-06-06,,0.2899,1.995,9e6c1408c6365cdb8bef68722bac8e8f971ca4bff78234bd4a6ecd65765466db,469935,6,101
2017-06-06,,1.995,-0.0,5218abf49352f80c66e2aa351964c22bfd2b1a92403fb7b2b9db72639fd2097e,469937,11,101
2017-06-06,0.31601527,,0.31601527,4ce29d8d496836085c581c73fe18b821e4d6f522944219a1387deddeeb03bd54,470001,33,1
2017-06-06,,0.31601527,-0.0,d5b3e0d363b121e14d9f79257d2e83cb41d346fbcb74beeba8436b891c64247e,470007,10,101
2017-06-07,0.32390615,,0.32390615,e834aa5cd42d5c5a15e6ac78e3d8c8f05b7a3c0a3a1262f755f3265f854b69b5,470163,87,3
2017-06-07,,0.32390615,-0.0,9fad5e2f56a65273e1f6b16a19f25845c629b7cb35ae66d398f33a8989438894,470165,35,101
2017-06-07,0.15631384,,0.15631384,27bac38fd96af61b0fef7725a026c9dc79188621c777d1fb4f3a3bdf9b2dabcd,470165,58,1
2017-06-07,0.0499,,0.20621384,81db985d73e749262afff25566f76ef5ca47c4628400a2db39bdd63685db2dae,470167,53,3
2017-06-07,,0.15631384,0.0499,d8f7ebee517f8132e6acc52c3c7b54033c2b65c2ff1d41168626889c3e9f26a1,470167,34,101
2017-06-07,,0.0499,-0.0,5d2542ef4e2b603719dbb0e954507f5437e6cb75fb8c8e6593d29f1c27639384,470170,6,101
2017-06-08,0.2099,,0.2099,ee44340a5851169a256c03932f9afcbb7ab7db5ad6ad54310dff2b14b1cd6bb6,470256,67,2
2017-06-08,,0.2099,-0.0,8392a1d41828ecb08f4bb1f32c2c457ba390f9bd60a018bce576f7bc4e16b964,470258,39,102
2017-08-22,0.2345475,,0.2345475,72f46d17f150860aec27ebd9982d3db5479174b63e2898b701a038d0939d960d,481614,55,1
2017-08-22,,0.2345475,-0.0,1f2822451b69e61b2b0277ed91f1642984548f5264814b05a8227322041bc62d,481617,94,176
2017-08-28,0.36831337,,0.36831337,15e49c3f39e0b042d88f2e04ba4544230745664450d2bfb4589a48e0df73061d,482366,60,1
2017-08-28,,0.36831337,-0.0,5d1f2d5c650ce1942485226952657612faf8979c54bddbacfa8b15e430532f78,482373,22,101
2017-08-30,0.16171494,,0.16171494,1036b8263708afbd51fe9870887cd738ee452831c6e2a250c37f6471c85b4ead,482670,48,1
2017-08-30,,0.16171494,-0.0,e55e6842f6940d16b183fb4fabc831caa910dbf78f79e0f7e771f9dac4ee7c23,482672,25,101
2017-12-05,0.071,,0.071,c807ac9e4620999d64166ded5f04c27b4c44deeda3d549a0ac055087ede22f1f,497721,2,1
2017-12-08,,0.071,-0.0,062bc3042c50d28f58a02d25487be1b5a1f44cf4113fcd46acf8bf3b218aab6e,498189,47,207
