Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-07-01,0.05079188,,0.05079188,41024f5b3785464bcc0c2d7ce39ebafe890768c5732a9f6db3a302fa54a7d189,473676,6,5
2017-07-01,,0.05079188,0.0,73f646383651ec26864edd4f7db2abc44970f5abac29de8c6e8912e4a7dc700a,473678,10,101
2017-07-03,1.009,,1.009,166ff9dbfe04502025e0832312b0854221981c37904d9ae9a5ce6e725fefd0cb,473971,2,1
2017-07-03,,1.009,0.0,69538af91cddc23da92b2bf6c2ea5c45415c0379dcce240a14b0900a19bdd252,473975,41,102
2017-07-03,1.11559077,,1.11559077,025f98097047e259872a70ed035609a5e6383fb24f410add9226c3abaf7ea3eb,473981,47,1
2017-07-03,,1.11559077,0.0,9daed546ecc71cb238aa1005d3a7cd585f665481d6a4614a39fa1bbe2f3c299d,473984,8,100
2017-07-04,1.702941,,1.702941,9b471da721d179baec53262f55d25cba20bbe102508cde4bfdc70fe9ea278153,474153,2,1
2017-07-04,,1.702941,0.0,2ddac1d66ec1c41aa9949c8c544fc44a27ca41980fc00e898b97086ad6716e10,474155,11,100
2017-07-06,0.79958126,,0.79958126,f4a31c3b341cdedfbd48c39200c614d0d959ac63c6f656e0d9d7be727c5c12b8,474488,38,1
2017-07-06,,0.79958126,0.0,b43841747966fe1455cd384300a65901131a5b26cc2eac2bc0fdec3e8fe9681b,474490,38,101
2017-07-11,1.43951424,,1.43951424,21993c653d395e89ef78cc827a6e065d160ba00b1dea25bded8dc7737ecc6dc4,475330,2,1
2017-07-11,,1.43951424,0.0,1658f08f771c62082f98f9640431272ae180080e2cfb01d21d76ef7a282bce22,475336,5,100
2017-08-06,0.349,,0.349,6cb03ef76030df26c47edb04edc8eec590df340d004349783d304a72a6bf5321,479351,2,1
2017-08-06,,0.349,0.0,12348377f19e2fd5a2148f90f36876431ec85905342a91f793be4d552220bc53,479353,15,101
2017-08-08,1.418131,,1.418131,a012d555790a826a6529491d73540270793f33983e20ade3f1a3d8b500b20579,479638,2,1
2017-08-08,,1.418131,0.0,1ac8a8606e8f5a2ea9e006710f183b9f2dca2a6eabeb93968ce602f969bc06e6,479648,66,101
2017-08-08,1.235863,,1.235863,10b655aa7eca08f782f4ddaace8d7b36b80b33c5be61c6fe52fbb83b21ab8764,479685,2,1
