Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-25,0.1,,0.1,33770644dfb94f6ee756152fe4d3f720cf1e5cb5da4d5784ce8d9f313b9cbd32,467980,2,1
2017-05-25,1.8,,1.9,a165bf5d01f29b914f3139f762fe1ae98b9aac155b5203ca12d455c0364e2980,467981,2,3
2017-05-25,1.0,,2.9,4ed6fb0dbdd0ed8ace4228c3c377fdb93e8de0dc9330596e681b3d3e878c1976,467969,52,1
2017-05-25,,1.8,1.1,c2528d20662dae233bd2055fe4e87ed73479c263876556d082efb1ef5aef2b62,468054,18,100
2017-05-25,,1.0,0.1,fda965400596bdc89a8994441e18caa91e12b69ffec763e67d001c13bbaaefc9,468064,41,101
2017-05-26,1.0,,1.1,828b0f802c7f8d9d2b11add710f5eb6c66742a30770777233f1bc2cb052abf93,468230,2,2
2017-05-26,,1.0,0.1,c1ab03fe00d1066464f44c2f980f5454906a05dacb748d18c8418b74ab085a1e,468241,35,92
2017-06-01,,0.1,0.0,87231e9845efde89e3f69eb6d7679e5ec4aade1ec073b344b13d3351b5f786b0,469195,26,101
2017-06-03,0.095,,0.095,8210994f90d6e60a708204344055e193e4b40a0b3aa1ab010aeb66bb9f2aae56,469564,2,2
2017-06-03,,0.095,0.0,1ca9fd0d68a6b9f692d26e98486e078f307bb981e96d3d4e29348c13108f34e5,469567,13,101
2017-06-16,0.9,,0.9,b936932c132995dddf483961675f0fa5770ba8e2ae95b193b8fbaf9cdf9002e0,471461,3,2
2017-06-16,,0.9,0.0,5fc1d4af6956ebfcdd7758838e589102e520063a53dd9c923b7ac75272bea2bb,471465,25,101
2017-06-16,1.1,,1.1,c3774ec770e308e81d5dcc0ba7bbaa4c95fb1cc0db30e39b80a1b4643651d67c,471564,2,5
2017-06-16,,1.1,0.0,60d5b963ba5ee740716fc73972cec843f674d9728f3edf148cb1a77598103836,471567,44,102
