Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-11,0.155,,0.155,872d211c6a2cde1fc78632ebadc4d9717e7b0c361d3d4301855665198db64e63,470781,2,1
2017-06-11,,0.155,0.0,c08dc202ad326d56d1115808a08c1a8b84f4d0d943b77ae248e7c1bd2198cac4,470785,29,101
2017-06-24,0.03414742,,0.03414742,c1c615661475c0f273e3cc188bce45a6dfe2bd4496edea4104fc3539620b45e6,472648,43,1
2017-06-24,,0.03414742,0.0,f0321bfb36b6471b5b5fd808de2a25228fbf674a28544b9f41fe789b03e495ca,472650,34,101
2017-06-27,0.06,,0.06,311a8cf26e8cf4c606c69a195660d59fb63d6786ab50304f5d50f3a171be4ee1,473133,2,1
2017-06-27,,0.06,0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135,35,101
2017-07-02,0.04,,0.04,614c90f8481a5424b5e5d106318dd127e91af26998ee2d48320b3a23db3d5811,473811,2,1
2017-07-02,,0.04,0.0,507428a194be8a7ac42c7183629ce6ea3593355edc610ddb6245013cbb40c30a,473813,11,101
2017-07-04,0.0397,,0.0397,b6e48bdcf16e5c183e6791c918faacf6f01325eb514de7b5a3c3f92e2388c5f9,474098,2,2
2017-07-04,,0.0397,0.0,294c6cede13d73c158f853a32e7bce65cb3b57ab707aec767373b03d1dc6c211,474100,7,101
2017-07-04,0.13208289,,0.13208289,3d124f8e34474b2f091fc1b64a5d07845325970dfd797ec4f37a88cdb96beda6,474136,2,1
2017-07-04,,0.13208289,0.0,19b7457507aa93ee82abdb74253e209d5a4409cffde8624c9eb0c5274730637f,474138,34,101
2017-07-04,0.16337469,,0.16337469,0f9a2eebf44300072baf5a860c66ed96b0ce880bbd838ba99fb28f073e2f797d,474165,2,1
2017-07-04,,0.16337469,0.0,fd6cc7079b9e31fd7814786ccdd1a5cb27f673ef49124eed0d31002effa68a5b,474170,46,101
2017-07-11,0.082,,0.082,8772f05d43854264d628b9d3c46204f060a3aa1a97de7cd357893f3a4de7cd18,475204,2,1
2017-07-11,,0.082,0.0,6227711854e9dbe16e67f8adf8525f5eb50becccfcb426b546cc18d5a6bc28b8,475206,40,102
2017-07-11,0.109,,0.109,63c2bca9da4fea4c43f8c685a6293ca8d7a50646a8ad031a4fd477fdf853fa19,475306,2,1
2017-07-11,,0.109,0.0,a0c5ee47252afc8db0da960f6d50a9ca9b02af8bc70020e35d0247c7cbbd9ffb,475308,9,101
2017-07-16,0.234,,0.234,7fce26b588c3f1ce3de276d56014b4819467889aa99555fcc75f1bdf72cf30bd,476071,2,1
2017-07-16,,0.234,0.0,433786a941c24800697489ad77c41e2de8918faf2bc1b4e0f97de84d53ad5e2a,476075,60,103
2017-08-10,0.22531569,,0.22531569,17171b5cb3cc729e35ffc146ea989ab1fcc75eae2ec08ca2b8869bf2bd87f038,479966,2,3
2017-08-10,,0.22531569,0.0,4694cc3c95a72c77d9ec75ea97f37bc38356695318d15340008a1a34ab494484,479972,28,102
2017-08-30,0.006167,,0.006167,6b98dd1a8331c07944cbac263fddeeca63414c22ec2b38666ad441a70f90155f,482571,2,2
2017-08-30,,0.006167,0.0,188662f74d117b3eafb22ed106edfa15485ea9db4eb1133ba51fdd5d93f51fb5,482574,53,101
2017-09-17,0.126,,0.126,d68cedc21454df4e74cae79089d66e144610cb55568ca5cb681b9b498d250506,485738,2,1
2017-09-17,,0.126,0.0,60634c62d128fc6d089ccfe07a08440a72b9d438fcc20301723db91bc9c454a4,485746,9,101
