Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-04-02,0.01,,0.01,20a8bd7cd60f56e9e8daf2af63ce05ba4743e98eefee90a9d017a4d305aef4f4,459995,2,1
2017-04-02,,0.01,0.0,ddedc8a0c2af51443ae23d638976fc868172bef26fd0e7ce449699c7abe25bce,460002,1,101
2017-04-03,0.005,,0.005,38636efee646d22ee3be7977d7473d400123901642439c23534bfdcc864e4836,460267,2,1
2017-04-03,,0.005,0.0,1998845b3950885f2cf9d56597ea3839e92b5f43feaecce1f431c548c31c91b8,460269,1,101
2017-04-17,0.003,,0.003,579054aae58d3c8819f59589b98e1709bd7e034df5adf791646aa0e2ac53da6f,462318,2,1
2017-04-17,,0.003,0.0,ef726e0bb5dcc5ffbc3be0bbd85ffb4076bc6b3bfaea792d7c584359ab263834,462320,1,101
2017-05-23,0.04,,0.04,569390532e404ae27344411aa1e914fb9521fb75f8f92ba4f0dcc98ef954aafb,467802,2,1
2017-05-23,,0.04,0.0,791bde335784270475345e16b55aea2b7527382b27e94377511bc3d901a063b7,467808,1,201
2017-05-24,0.1,,0.1,3b0c258a93a6144b6981345888767e318f1ad5df308770f84afca067f76f8c94,467860,2,1
2017-05-24,,0.1,0.0,2333d8aa03d3a7f1e1ce37aeb69c87826c30a69fa972654c0a40fdfeefa12b0e,467861,1,201
2017-06-15,0.2,,0.2,8cbb573813bf12515a9cca5639e97ebb8c144652627be9a2fbba02b762feac97,471369,2,3
2017-06-15,,0.2,0.0,8c1d50d5345a9f24da2246d0d34e03399d9875ade1bd10bbfab0df0af7988558,471371,10,101
2017-06-27,0.05,,0.05,b3210780602183a1defbdf0ecb97e26553f8590d477d52532902b1504df7fcc9,473132,2,1
2017-06-27,,0.05,0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135,35,101
