Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-23,0.09178676,,0.09178676,d79931663e6466c3a7b2c5941100128ae407a2a9a770d61ae21546a41c3d7499,467783,47,1
2017-05-23,,0.09178676,0.0,07a1756b20e19c08704c3f270f2d4bd127092df863dd8a16809e2cc2e06a09ff,467784,1,201
2017-05-24,0.18,,0.18,be0944d878e5990799e5e28ed27ecb57b6f18079b7626529c950ca65fe4e0e4b,467933,2,1
2017-05-24,,0.18,0.0,bcef5e85515048d0a792fd99a03ef7faa64fe430f6446fbbe0cc383ddf7eb52f,467934,1,201
2017-05-26,0.27484398,,0.27484398,00e2c6f1f9972a9e6ade3ab66dffc44e2b1c596bb3f9c4a04eb6a204d0424ee9,468195,42,3
2017-05-27,0.26622139,,0.54106537,0bfdf78e6550d5b49b8176f4387d67903ec4dbd2d75460868336645ed61e20d3,468338,2,1
2017-05-30,0.23039461,,0.77145998,7e6f89bdaa9b32eedc727289a1e68c1ba7f3f8c5e7ef5e0d60f889aca69c4e4f,468861,2,1
2017-06-01,,0.23039461,0.54106537,740856ccc453a727fe6120ff7757942ecc9340128a168624d803135b2a52745b,469266,5,101
2017-06-02,,0.26622139,0.27484398,7b52c77aab503e2004b2c2543a794dbd23b87d9203057cf41b80c589f9f18207,469279,26,104
2017-06-02,,0.27484398,-0.0,bc7d40da5a14ea26f7a6f5ff5058054ac29cebef1953653e4a98dd03e556f5c3,469281,11,101
2017-06-13,0.08732681,,0.08732681,30a6653d52b309255d40dafd79deaf3d32244e3447fc5c6da7bbdf01c607e64b,471130,131,1
2017-06-13,,0.08732681,-0.0,f3d2d266014f6cf9285f1b56c0504b277da729f101f5877d6ce257cd58892c92,471132,57,101
2017-06-24,0.24100843,,0.24100843,be96926196b4e86d040517bb67dcf7abe701d9cb6ec28e617c3d8d498cefc033,472680,40,1
2017-06-24,,0.24100843,-0.0,180eb03905c08de28a4a781254164faf22bb14584a77d91192ed4662cd2e758f,472682,7,101
2017-06-27,0.249,,0.249,41758e55e107ab5d54270b4e07c0b79194fcab0758bdd943019940bd3a7b2b20,473128,17,8
2017-06-27,,0.249,-0.0,c586911542ac37f6fcb9a6bf632cfb63d196c912c1c3e02dafa10ef3429825b3,473131,9,101
2017-06-27,0.04226091,,0.04226091,106d96962ec796447b986accd89e2495f366610955c2345bab6e808b54aa020c,473133,1,1
2017-06-27,,0.04226091,-0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135,35,101
2017-07-12,0.47939,,0.47939,a5c87945c5b278005ba9ec4a15c159530e960ee2fcb01e05d665685f233065c6,475495,17,1
2017-07-12,,0.47939,-0.0,153386fe26f29ff9b0b9adef976cf4d281fe52d615ed638c21232ff7e75ea3d0,475501,12,101
2017-07-13,0.1742748,,0.1742748,9297bb02eed0ba98a42bdc96faa6288f597341c7ecaf59daf23dea3ac1331fdf,475681,1,2
2017-07-13,0.00812195,,0.18239675,b06b234bf956870ee2c1f0bbfc3e8d78eb2e9ca695a55c707c8e75ddd6f7819a,475683,2,1
2017-07-13,,0.1742748,0.00812195,a184aeec59b7cfc7174398543836d8ad7c2a7220784b3a7d43ff5ca8c3e0f2a2,475683,9,101
2017-07-13,,0.00812195,-0.0,249d91b739c6fb6ae24c101f6ee1ba683871627f5ae8467f4b2c524049e2c960,475688,42,101
2017-07-18,0.299,,0.299,1f3184948726872346415c1fda98c64ab712f4c2e0849984d9425887463a2fbb,476426,12,11
2017-07-18,,0.299,-0.0,79756817683190ac66b50f724763f758bd7bed82f41a275e99df5c5038639628,476429,11,101
2017-07-19,0.18728,,0.18728,7989ea1a6162ec7b31b2d860ba2534b75e85a7d9ba19f89e702fea51dfb50cec,476501,5,1
2017-07-19,,0.18728,-0.0,e47e92559644da1b127e0b535eaf5c610b3aabfbe436cb6db219c145af9d535c,476503,12,101
2017-08-10,0.29747228,,0.29747228,6a2ef9a7988efb44681ec50f9a8e998a3e2428851c907111e2601115247afa86,479923,62,1
2017-08-10,,0.29747228,-0.0,e0fa3cb1c8c8a8c362013f6858239f6f236ea7432a2ba8ec0eaf8052b5409ab4,479933,12,101
2017-08-29,0.31716493,,0.31716493,572d9acea376669bc74a6ae7ff7ddc39eb8423329ecf95232a9a8295f3ab4b87,482396,2,2
2017-08-29,,0.31716493,-0.0,97848652ff4ec5ebccdfb4e839659287ea68392637845ae069a433183556ade1,482404,21,101
2017-09-28,0.4995,,0.4995,04d8f33e02dfa1251a327fc5d1282d3a250339b48c79e2702015c4d0b97da4e9,487402,25,1
2017-09-28,,0.4995,-0.0,f77d1670b24da8582128ab3168454096057e8f1d990117ae414fc0cdf24a0065,487405,30,101
2017-10-17,0.1245,,0.1245,b6595808c8f619b57f8a86660bc5d86cba93194d967017cb1e846999ece42645,490320,13,14
2017-10-17,,0.1245,-0.0,b65473feb8ce570b405ee62d5dd06dbf2f2977ce2e84130ac280482207b89524,490323,50,101
2017-11-09,0.5,,0.5,719a66bd42350219c22de53fe9360e44a7f231635fec2dc80416856f31aba9e1,493745,2,2
2017-11-09,,0.5,-0.0,c3752db07831af4f6c01a325ea2a90c018a378a8d10eda9fa553eb363709d9c0,493751,95,101
2017-11-10,0.43986476,,0.43986476,d36560801a7e1d47c2caa3490ceaee1aedc6a98a0cfc245d0776b273b04b062a,493937,1,3
2017-11-10,,0.43986476,-0.0,c5d7096f8ba62f68ea3965904da7851e20569ce71d1bdac458f3f7bdf3757663,493942,98,111
2017-11-22,0.39313936,,0.39313936,dbae8e150081fbf2634df20dd34ffe63e6d9b85cba0181279aa5baaff615abc4,495491,32,1
2017-11-22,,0.39313936,-0.0,44943c4cdc57585208eac6367acb459da6b237cfed6292de6a5f02163bff67d9,495512,19,101
