Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-02,0.06137479,,0.06137479,9204cf6dd05d1c9606cbce87c1b79e6211857ab8207b52bbe21f1d81ec489188,469361,2,1
2017-06-02,,0.06137479,0.0,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364,23,101
2017-06-02,0.020508,,0.020508,bd89bf46ee16a858d89d92f8b12b813974efa6e3586ed54ca5ac18213deaa143,469367,2,1
2017-06-02,,0.020508,0.0,cd47180ade597af41ce43bf2318834187dc18d2baa12a6ce7e530ae9c761c64c,469370,22,101
2017-06-27,0.04307129,,0.04307129,83d116f6e826663b54378cec690226c87957bb13cfd8b67ebc6da5960e918ba4,473066,55,1
2017-06-27,,0.04307129,0.0,e4f7d1e9af11b214cf4b4dea328510be0159d131bb3afa42f6c76030d6d4db05,473068,33,101
2017-08-30,0.02235054,,0.02235054,5a3374f1d75c09eadbe7c493836e9eecc70a8669aa5f61689a2185abb86e59c0,482596,56,1
2017-08-30,,0.02235054,0.0,29bfa8561a32a20d9be7575ef75c1b5c5b6309a159825f70e5ea84b57ab3310e,482598,72,101
2017-11-17,0.02744848,,0.02744848,9fcf14372f0c798965588f29622319dcbda85af78a6d06288c36c7c1d74f7502,494733,79,2
2017-11-17,,0.02744848,0.0,516accc538882a5215b4d1bc6904b46b2cf7cf3b23c99fb26a44b75b1fda3218,494737,28,101
