Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-12-17,2.4995,,2.4995,153fc995e8ac7d0fa309d28d77097d324bc68f004640c6f9264e04e5f18bbdac,499752,100,3
2017-12-18,,2.9995,-0.5,2b5b73613bd2cdbdfe9f46886790b8a0a2e4153b63fea9c72dfef4e527fa673d,499863,153,246
2017-12-18,,2.4995,-2.9995,4cce2327860fbbf8f6bac27582f17207d720bbd3e905d37bed824ff6eff531d5,499877,124,216
2017-12-20,3.41616604,,0.41666604,e5d679a89bfea97e98aa2adc29c16fb5f2584a2b2780145ba58adaacbd291f05,500346,2,1
2017-12-21,,3.41616604,-2.9995,7b9c72de2773bb8639cc0d8a420e38eebe1699e3b2129db39e07b138f0d4de59,500349,81,214
2017-12-26,2.5773,,-0.4222,b780917986d1427a9725258728f656867f8c2b04f81cf0140b72350d1295f490,501067,2,1
2017-12-26,0.7927,,0.3705,61ca09c010e372c0926842cc1063529908eb0a8a3484d138d1459a5e72d9340b,501068,2,1
2017-12-26,1.6684,,2.0389,cb0ffac03e544759b549b95efba6797f54e5667d0ae7616fbf8fba635d7e1acd,501072,2,1
2017-12-26,1.8346,,3.8735,ead72ffeb2b9695d10e0ef8b1a5799bc7466edaf92816435fc40c00d5b011e4e,501077,2,1
2017-12-26,1.8177,,5.6912,0977b9d68337cd306feb7564de8688666faa1e1834c72080b98846218e294b40,501097,2,1
2017-12-26,2.6383764,,8.3295764,1b7deb0153578b41b45c17472eac0ac4debfddd813f35fc2fedb45499f0c15c1,501121,2,1
2017-12-29,,0.7927,7.5368764,bc7509c6457f4c6ff98efd34edd89bc411ffab2fa93d54e2e7b61d5f0b0ddc2f,501521,39,201
2017-12-30,7.02462372,,14.56150012,126330c8c88b4aa0617b574810994a8a8c1a033d2199ae62e17338f07628a5fc,501643,2,1
2017-12-30,2.2937512,,16.85525132,02cc952e3cde73017af285a622e5f63856f4fbbcb029941bbc276ff3d14ff940,501655,2,1
2017-12-30,7.0,,23.85525132,fffb849546e78a4d2388e78ce1199ed641f017ae7805c4037d51b6b5e8a83c41,501684,2,1
2017-12-30,,1.6684,22.18685132,a13fa92db472e06a795f8e43e7ac6f22c51b30473c9bd788995bad80132107a3,501740,140,201
2017-12-30,,1.8177,20.36915132,6120864c759bb35b25d30536b8662563db999620ff26b68509555a2bfe6f1eb6,501754,80,201
2017-12-30,,1.8346,18.53455132,f88f4986d171140603c18b895605501e3b4a49072686156aa23878630f4a4eec,501755,40,201
