Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-07-07,,0.00239157,-0.00239157,581ccd35de12d440319180ad6fdc132267b255aef1140dd0714bf0752b3a1442,474575,28,101
2017-07-07,,0.00180991,-0.00420148,d5cc598a655f58a0853917c467532e266ddfc7e3b0a8d65dd0c7c161a00a4351,474576,33,101
2017-07-08,0.00158289,,-0.00261859,551439998797ed4e827dc97fa65bbee8385d6d9e464a0e8e53e89ee958fa4640,474696,1912,1
2017-07-08,,0.00158289,-0.00420148,ba26a16811966f9c215c53b7b4738ad147221c69ae9fa0016f3aac77f3772e23,474698,23,101
2017-07-09,0.00157028,,-0.0026312,b01c77a2d6901d3b737c4ef8d3f197fa5cb7040ab4edfe33d30f3eba210f16c5,474864,2350,1
2017-07-09,0.00237887,,-0.00025233,c32a566c21d05efd69aba9f2d0637631e1bdc191e4e7cbeefaa70cabd7e0d08a,474865,1586,1
2017-07-09,,0.00157028,-0.00182261,9e41c5d1e0707c539a1a249a8233c3b64a6312dfd3ec2fec5163b3df9b3bff7f,474866,31,105
2017-07-09,,0.00237887,-0.00420148,c9ce1bdd7a52ca8d5723a9de16cdfaa4bea37cda18475fe964c4417dc5cc39c5,474869,31,102
2017-07-09,0.00178424,,-0.00241724,3d95df26ffc9bedfc86b9a4751b5a119a7c8b2b11db64ba8bcdb2210efc0f18d,474871,851,1
2017-07-09,,0.00178424,-0.00420148,fe3b0484845ba8b15b0b7cd041c4bfc05a0744b48ba9fb9312be324dd945a799,474874,32,101
2017-07-09,0.00156588,,-0.0026356,95aa7877a9a8b48e38f92272434184d73072c6cef07bfb0ee28034de913b6912,474931,2252,1
2017-07-09,,0.00156588,-0.00420148,047dc6f97e5d0a51af455a21b5673f3e98b61aee63ac493bcd8347e12e12e78d,474934,33,101
2017-07-11,0.00157174,,-0.00262974,949aabdc48878cf29eb78ca892d0d7c174c64e3bc0058b8b4bffa2cd9800da8b,475199,2479,1
2017-07-11,,0.00157174,-0.00420148,f9acb65abb4ece1a039f0ed8ee07c099482578e4ce0a4d153411653748e4beee,475202,56,121
2017-07-11,0.00236727,,-0.00183421,5cba36eb255aa5ded0efae131f69c7ebb8c58ce1648e6bdf8ae0bb869cb10574,475205,1743,1
2017-07-11,,0.00236727,-0.00420148,ef675096eecfbfe47cc4224e95bc285ecbb10432eddc1d964f88f07948e09df1,475207,12,101
2017-07-12,0.00154062,,-0.00266086,2da7ab1ede1dc2881681794f71c4b154826187289e6cb0859ba4f1639df4fa05,475367,2419,1
2017-07-12,,0.00154062,-0.00420148,ed1e3539ce1f309364672bb9803c423956301fabcb0610eb209a1f78e230b1d4,475370,24,101
2017-07-12,0.00184023,,-0.00236125,9b4e3b2c1d2bb24d26ea1090da827fec497a4fa6d804cf41d000ff2544b38bb0,475388,364,1
2017-07-12,,0.00184023,-0.00420148,9c2b8ccbfba4404af9febbea1c067960f0bdffb6fc571d777715a260382eff5f,475392,25,101
2017-07-13,0.00383294,,-0.00036854,ffb7b8327ccddcc9a5934bb716dcd3e264b60e99c6412af8120bea2983d36b76,475552,1852,1
2017-07-13,,0.00383294,-0.00420148,82cfc423ba1c26248f7ec7d862e98abf81bf196e49fe492c7bc140d58c840c02,475555,51,101
2017-07-14,0.00152375,,-0.00267773,c905eca8dbeed6ce1afc6a4a42ace504b5d90f221e65b515227efe26b44c1bc6,475720,743,1
2017-07-14,,0.00152375,-0.00420148,88d050607cebfb559ba896b91319ebfc6d3f70e92d2f9c4ca4fdfa24f7fbfed9,475722,15,101
2017-07-15,0.00378642,,-0.00041506,504006de78af4da7e4562fe0fd473d9e9ba4c4432f3c2def7fc410f3f3da64e7,475841,1883,1
2017-07-15,,0.00378642,-0.00420148,ebb418d87422397a35c43d8e4ab853a12f3dcede74ef7e71943e15bc79c8d233,475843,42,101
2017-07-15,0.00221661,,-0.00198487,b85879b735525bfeb99abd1f37a27cfa48eb17b458d7c88fec6a5c4b3e802da9,475923,1739,1
2017-07-15,,0.00221661,-0.00420148,064458b3b26c1b83c9e4c1b6330803ad7170f7b2a032dafee5042b4d59f4c570,475925,45,101
2017-07-15,0.00151209,,-0.00268939,7a6704f318bed2c3783cb995ae984709e2d1c6dfa19c46cf65dcafa047e8db1f,475933,671,1
2017-07-15,,0.00151209,-0.00420148,714a9b1b72d8a218f92f511243dd9ab7c88414ec313ba42ec260150a94e7ceef,475935,42,101
2017-07-16,0.00253528,,-0.0016662,fbb48b1540824b9801cb567e3e5402da27637728f49a44e24939a8ab35c0ea28,476101,747,1
2017-07-16,,0.00253528,-0.00420148,71679144bb86b313af7ed1ad2177866e04d059844f4f71b2b6570e60a6473f75,476105,41,101
2017-07-18,0.00165555,,-0.00254593,6d8b4b1171c25418995c11dc64944413b3317f2f03a850a8b181430bba600787,476286,1317,1
2017-07-18,,0.00165555,-0.00420148,17720537830ab8fe7141e072ad93d02f8df0725c57f3ee27315a2d79a20ebe0a,476289,28,101
2017-07-19,0.00219073,,-0.00201075,670bfd326d54765fad979dcebaae186738e71140ab0f9b7858fda36a2034173b,476454,1089,1
2017-07-19,0.00162792,,-0.00038283,d28bcb16664b6c4b901a0e3ea176e969f2e2e2afa61eef2f97e9622e7b350f47,476456,589,1
2017-07-19,,0.00219073,-0.00257356,e32539e59dd9dbfc0437b634136828b2aa631def78d373a61d5466afe4cb6aae,476457,10,101
2017-07-19,,0.00162792,-0.00420148,e13a8aeae19291185e95c18b6473319ed72386b40652c8956d22faf9ca82e160,476458,29,102
2017-07-20,0.00173954,,-0.00246194,8be2eb29ad7686853e7e61a52805cd143c4e0cd7d1138dd13f00d8ed80b8c3da,476595,490,1
2017-07-20,,0.00173954,-0.00420148,577e5eee5f19fe739ce614b9600ef800e2ed26507bcc92486c8fabf2367a68f1,476597,22,101
2017-07-20,0.75643218,,0.7522307,242c9dce081c7c8925ad8fdf25ce477c8ed6511d72a2daf63def6319e9b3268a,476641,2,1
2017-07-20,,0.75643218,-0.00420148,453d7a5e408405a6f8392a35eee88133aa2adc75e5ae14d503a5dd71b9c2b02e,476644,36,101
