Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-27,0.017,,0.017,5ba900d9243160958312722523f9565f62a107b87f07c6a368779ad75bc1f17a,468315,2,2
2017-05-27,0.148,,0.165,2b7a157b0d1d7573bebb38c829b9ccbd9e358d00aa0f87ddc81f8f650bf1e978,468314,2,7
2017-05-30,0.144,,0.309,05e6e85388dd5ef583cce064598113af795bc6e0783235377286b19e22e7eb47,468899,2,6
2017-05-31,0.145,,0.454,b6a91cc7e5f0a301cdf1907ddab168c074d3a75bad073b745731cfb294c5ea49,468994,2,5
2017-05-31,,0.017,0.437,7fecdb3b3d9f65b75614ab2f308c6702eaffaa88e1538b917f39fe0b76bc57b7,469101,7,101
2017-06-01,0.144,,0.581,fff6672ee916b0365d8a9767b50f1d9242ef2820fd0cd5127a601eeab470028a,469179,2,1
2017-06-01,,0.144,0.437,158e7c134dee070f2148a7abd7687af77dccad7eed24722dafb1820e6fdeab6a,469225,15,102
2017-06-01,,0.145,0.292,83f844f62da0fa32e02ffb1d0100224d84f834e4b0ba704d910331a3b25daef9,469225,26,103
2017-06-01,,0.148,0.144,b176d65bb85c115da7c89e68e6a8677f0ea37b3fa75c9e25bc7f2a437c15418e,469227,19,101
2017-06-02,0.164,,0.308,3f332aede91009b99c563c93a016f0f017beac5f281cdad0f88131b1b352eab2,469358,2,1
2017-06-02,,0.164,0.144,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364,23,101
2017-06-16,0.152,,0.296,16f39a07121def12652772b04134da8956ad7358f3f68715374133fd85a49b5a,471520,2,2
2017-06-16,,0.152,0.144,eff7f196971eb43938393055550b089238b989d4fe908b879f7e509dd82171de,471523,34,102
2017-09-02,0.22,,0.364,b027906e22001acd27c1a4dca18808724c6ea28d5f7b87ffc5b2c168893dd7c7,483170,2,1
2017-09-02,,0.22,0.144,fe48fb29cd255044d69b17d19de20a37d89ef8c4e28b05c91e4106c4875b3bbe,483175,64,101
