Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-25,0.236065,,0.236065,25081bfbd08c56b71d0b03c83b176dce8e97f8890df5216bcec3be0b51b82b41,468019,2,1
2017-05-26,0.19976911,,0.43583411,5087d2e5c951a6885267050a3493acc5ba64087c8223d21b241143e73a19eeaa,468176,2,1
2017-05-26,0.412016,,0.84785011,214115e38c0823b9414795cb470d8a622a90de334a940cb639da04379c844faa,468199,2,1
2017-06-01,,0.19976911,0.648081,50dc1d1e8f99be8cb16232f82cdc43f6d3176c08d4cb02f0431a0a7229ba2b19,469249,5,101
2017-06-01,,0.236065,0.412016,8abe3215c5f8fee76a01f8d8ea9ea971f7093f6efb88955904f9d185b4010998,469269,9,101
2017-06-02,,0.412016,0.0,1fb1dc0b1194b05e64525a712f5b02ff369c721f9931802cd45606a72c019691,469299,5,101
2017-06-02,0.279952,,0.279952,db24f4f24e7f0afeadd1ea90bbf4ab93bafa2da840b0fa0cb36cfa1b1dff71a6,469358,2,1
2017-06-02,,0.279952,0.0,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364,23,101
2017-06-04,0.1960957,,0.1960957,7aafe2fd9288ede499084a8d454ab9db87616837fa72ce7d12f9210f17de964f,469658,2,1
2017-06-04,,0.1960957,0.0,75222a2a294204e598a68e82ebeba20412f6b9ee2421b6858aa7c32292971ceb,469660,26,101
2017-06-05,0.076005,,0.076005,e47d4ebbc66e324dd776b67d24a51fbca8d27fe3df6f37e7e67b98ba2374c2c7,469819,2,1
2017-06-05,,0.076005,0.0,4e31db277c2544b7787653b21381c2577475aee7438d51c5e553d452fd0966cd,469821,22,101
2017-07-04,0.65,,0.65,91ecee38872f47fb55ba1b0f56a6a29e500453ceb026dd77661b3cc9d947e9b3,474222,2,1
2017-07-04,,0.65,0.0,4bddd2809d0f86e602e90bd9c790b57faf4c6f8373a05e9466fffff455b37b72,474224,10,100
2017-07-06,0.1992018,,0.1992018,66e5532fd67ccf337218a47469b5d65eea51dbecff857638f0472a8b3d07be8c,474468,2,1
2017-07-06,,0.1992018,0.0,32a7452af99cfc7248d0f8a6dd07a31d6010f80d4f7c96275b9a8c247e45b668,474471,12,101
