Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-25,0.0041213,,0.0041213,7928c27dafa12c24afe16640e920f59c8461db816a710216628aa82107c850ec,468149,2,3
2017-05-25,0.4317956,,0.4359169,80e86dea3614afb69251b28dd94fd81167de68136a4ce541292011c7a2ef1569,468165,2,1
2017-05-27,,0.0041213,0.4317956,9a946cbcb4a306f58284cd79e322b297f610108c6a0ff150a5e2823382208058,468428,2,6
2017-05-28,0.050061,,0.4818566,e20f0c1f793428b5918061e119ff65e41d3f36775117c9dbcba58d5e4946db20,468543,2,1
2017-05-31,,0.4317956,0.050061,3a88393ef57eda7a99ef68a008f78c28f75beedbc8a8fd1d443e18196929c044,469075,24,303
2017-06-01,,0.050061,0.0,240997c4b95304e51521a6a7b596120573e600d5412ca998b10ff62ddb2e730f,469154,20,101
2017-06-02,0.092108,,0.092108,5f459b91512a1487027deb9d97e38a99722c916635a23d28bd4b245994dcf0be,469361,2,1
2017-06-02,,0.092108,0.0,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364,23,101
2017-06-05,0.130335,,0.130335,cade5d5c0c72ca50a0ae42e97cbf41f554f381848572bf1ba5b83d809a29aeb1,469860,2,1
2017-06-05,0.26067,,0.391005,3eed4c999de53fb62765f14399c5094c51f8775bcc2d3bbe5de65738fa396ec0,469861,2,1
2017-06-05,,0.130335,0.26067,aa398a4115c441a78b8418ce72e7514447765537d10c649a733eb285e488c122,469862,26,101
2017-06-05,,0.26067,0.0,11ad2caa681cc1b6e5de2de42458f30a9e31fdabb1184d96a0070dff0ebaadd9,469868,26,101
2017-06-06,0.02954128,,0.02954128,a868fbe6c80f3acb1258455f192385fe56bd9519797cea0dfa4c169463a85db8,470046,2,3
2017-06-06,0.05070162,,0.0802429,ee7bc9d54d3f92e2ffc9290295b92d7683b099ccda8eccdfff7556c3041f6c81,470046,2,2
2017-06-06,,0.05070162,0.02954128,366320e513165c72644e2927fc2e2ed446a7cea1ec2fca423f0ae8d2ae9b28d7,470050,10,101
2017-06-11,0.1908714,,0.22041268,260b07cae589258f43762fc2f01d136187e679f5948f8e3457512b8d7b532941,470793,2,2
2017-06-11,,0.1908714,0.02954128,6d8378809f6616908109baa8fd1a304e9ba4a8094f0a723582cf99ba1536346c,470796,6,100
2017-06-23,0.04545581,,0.07499709,35f4ebe1be6f748b6c78168ec0afab3f718d91c3add08c1bdb653f7066e0eeef,472554,35,101
2017-06-23,,0.04545581,0.02954128,182d2bdd4e6b5cc1bf7da72dd9bd6430c03e8434a77a6af878feff9e832bc6b3,472556,9,101
2017-11-26,1.13517682,,1.1647181,6127758c94419d9edfc1f3adeb10d934250182840dd09f54573c69c38cd58d69,496236,51,1
2017-12-14,,1.13517682,0.02954128,1d88a884cbd644fcc547e33e637ac436bc7a1164f04bc43116a43003c62b6507,499327,179,290
