Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-21,0.1249,,0.1249,c860cf8ff99c9ea29e3343d3882b7251a25a3e622ceec375ad5a2496d4789c55,472168,147,2
2017-06-21,,0.1249,0.0,73552fbb041edaccc2c6603d38bec6903551a45f24273b7d8a5880f65e13cf9d,472170,14,101
2017-06-27,0.06,,0.06,d07cea59bce87ef982de348ef4d23207321faed0edc8cdd6aaff5ea4251f5a34,473133,2,1
2017-06-27,,0.06,0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135,35,101
2017-06-27,0.13,,0.13,34459c1328afa2224a1666c3c9df40e76569de833642ae891b35e270de40d96b,473136,2,1
2017-06-27,,0.13,0.0,cbc8883d28938fc6e68e06fe6705b1a85bd6a32632099c5de49cda471d6444c6,473138,5,101
2017-07-05,0.02547465,,0.02547465,03382f7c108001e2ed9e89e14ab8db158fba8d575083439851abb14c4df03b06,474349,48,1
2017-07-05,,0.02547465,0.0,e9e31b4c9f6effe4494ea05b53d41ae3d2590ade6b11b0538390e3f0278cad74,474351,47,101
2017-07-13,0.36045483,,0.36045483,2c03f42ea322cb01c81dd52a75171e0e4bd356f2cb05700b3acbef8a0723de68,475658,2,1
2017-07-13,,0.36045483,0.0,bfa2fc9a5b12f002258aa6e1eacd85b58b24b071f631e53e12f9b341abb34e41,475660,6,101
2017-07-29,0.72885992,,0.72885992,b834eaf986155c49c51307b6efad5e45d6066ae732302df236b6a325de0d7105,478041,2,1
2017-07-29,,0.72885992,0.0,7572f0d79fe541d5106731cabceda037e1d19464b1811c47da8702a28febefdf,478050,6,101
2017-08-21,0.12500542,,0.12500542,186fec94fcfba7fcd97929ca72cb604e159523e057d35d72755813532a63ddd3,481519,2,1
2017-08-21,,0.12500542,0.0,d9bd2ec6c825a6c88cc3d70a43c9bdfea56384eea2bfd0297055ed937f3dc0f8,481522,61,176
2017-09-06,0.29,,0.29,095cd87d4ad284ee14af5ae5e5f3620daf640d2513dcf1fd69ffddccf02649e4,483761,2,1
2017-09-06,,0.29,0.0,1f6d98ae19ecd92743c84b1d78d4aed83a52adeed02e5b1be423c94101b0094b,483795,60,102
2017-09-22,0.09040517,,0.09040517,9919d30b7af926f7e5bdb84e302d6703f68472683e2f8185805c49bc2397d946,486493,2,1
2017-09-22,,0.09040517,0.0,934ef3c5379e1853a3b264a4e51b851c1abccadaccff66180e27e60b0fc1808e,486495,62,101
2017-10-30,0.00776179,,0.00776179,4a61295f93b87d0cda14d3c4c5b814afa2507f8e8058e0d2f4366b05f9dd792a,492363,2,2
2017-10-30,,0.00776179,0.0,dc3033acffcc4f76633bc0942159af67b6425206b93c42d40198175db94f8db5,492365,81,101
2017-11-09,0.30712382,,0.30712382,b3d308f38fec1983e9ec27c82b5241a69bab852af9d8f90674d27761fe28768e,493812,2,1
2017-11-10,,0.30712382,0.0,db0b4504e152ae3d2b47401d02c0edfefafaa134086af5ad511a05bd84fe0fc5,493840,19,104
