Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-29,0.02,,0.02,c9654865cced9178df32a4761dc340eeffb6a862850eba0e0e8354369da03bfb,468671,2,1
2017-06-01,,0.02,0.0,cae7913b82703bc176f7c2bb366a1f86c17960ebee0c4eee5845b0aaedeec9d1,469108,11,101
2017-06-03,0.07515585,,0.07515585,a82b42d751c05c8728382c4dc34ba0e204beb57ddee3878a89fc2d9c79f04e46,469472,2,8
2017-06-03,,0.07515585,0.0,05c4559b9d10b26e504c6ab9078c8455e318fee6f48e99274d0e8c7f39fa3a0a,469477,25,101
2017-06-06,0.02784858,,0.02784858,d5c5a7c9eae01e0a541e6616fd7ab48d1db3c89a368b7e8fdc8401585692a78a,469993,2,1
2017-06-06,,0.02784858,0.0,7d1f61b8c52f5884a9a74e61f870cbd8acb129217f5b9a01dc18d81b9959943d,469997,32,101
2017-06-27,0.1,,0.1,c9774afef54795138cfd6a9c978e262046018d833d960216c1224f6f668c14cc,473133,2,2
2017-06-27,,0.1,0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135,35,101
2017-07-28,0.87473135,,0.87473135,214899c17299650526308dd850bed143d5fa2f9efe4299b6a59a0b123ff3d622,477985,1,2
2017-07-28,,0.87473135,0.0,c14ce939a0c66e2a4ba3c246b48162e9d5c9ab6d2f7fcd3c6e8fc5d2b03ad60e,477993,4,100
2017-08-05,0.05204194,,0.05204194,645039f20720975fc69d169c6b0c01f55ab0a298af024a99ed815d88594ba5c8,479145,9,3
2017-08-05,,0.05204194,0.0,bdb81d299b482e83607f11cd659a1d9f40897fb12cee1d389af5bb3994d6947c,479147,42,101
2017-08-07,0.2,,0.2,5cea6c0a0b08e511f3014cd610d6cd3831b394d73402c4bc3b65f73721b7dad6,479488,3,2
2017-08-07,,0.2,0.0,7c0bef47d71d829b2892d9ae5ea0449f7d917fbb0ad3b16826d25dbd0140750b,479492,23,101
2017-08-08,0.1,,0.1,7f5e1a297a372e21454dd048ac58af12dbf014a032f769a5c257522fd0133be2,479676,2,1
2017-08-08,,0.1,0.0,f64fb6b8791464797ddacb092ca2fb943d78abdabf5f29e2b848f4bd0af19669,479680,17,101
2017-08-09,0.1,,0.1,a5253c0427031aa52ef814cd915ce8d1bf6aa723b479024f085a47dbb194f7ca,479778,2,1
2017-08-09,,0.1,0.0,e988f158c7eb654502cd3733e428cbeb07c69b8911f020b4458f59355b21cd30,479780,14,101
2017-08-11,1.0,,1.0,e9eec4da1465b1bfbd769ef64042db3f0e0cc1ef2be51759a4a56351ccb5ff96,480095,2,1
2017-08-22,,1.0,0.0,c307a5ae7cd603e12a082f70ef04a6d1f0d3431e285a326680c1cb52996b2b98,481599,76,176
2017-09-04,0.095684,,0.095684,6a19bbbd390768f7cbe914337b84bce39896d2c2ccbd446b48e78d6caca14402,483479,3,1
2017-09-05,,0.095684,0.0,a1f98136fb6d12c5d4b10a46ef87c7ce9bb3bc9476dd60cde2bf36f864b06e52,483541,70,111
2017-09-12,0.04,,0.04,a8d90a8ed38c0a01e47f8861a28243765ee6050024340b720f34ff755bcf3d7c,484767,19,2
2017-09-12,,0.04,0.0,d9d079a54b46feec5456bd8c923dec8a6791fd74d882edbb4300e981fb97ae9e,484771,8,101
