Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-12-04,4.371e-05,,4.371e-05,2022ea11e450f7b8c580cbc5da1c4220cc3448794fc3e615d18d9f5e160526c7,497574,2,1
2017-12-04,0.04371852,,0.04376223,344d60cf5ba47e5127c31a5f2e05b5d20e71a8511be3444ac60d6b044962ee5a,497575,2,1
2017-12-05,0.04267603,,0.08643826,4e3273da35c5f6b127929dbfd0f5d46736e8b221060663d91cdd0c9558132c50,497686,2,2
2017-12-05,0.0424,,0.12883826,3614624a47292f9d8ac9d9bc798cc150dc4e1815a2b43ca0fe83389f9b49b903,497738,2,1
2017-12-05,0.04032984,,0.1691681,d9e0c3d63e6beec3dc82ac94b07274db0351489b45f55069b58fff9b4322e64b,497763,4,1
2017-12-06,0.039,,0.2081681,452473916cece4e0552adc0643d8a6b914a06d2fb21d5b2e1a5efb5a48493c2a,497918,151,105
2017-12-10,0.03759398,,0.24576208,98648e7038db8023f825fab174799de0b763165af8fd66147fbb72072e18b4b6,498510,2,1
2017-12-11,0.03659207,,0.28235415,d1b51df7c456795a2ce1ab14e4e05650ecbbe004c53e3be1757a6515f4c503e9,498652,101,10
2017-12-11,0.0305,,0.31285415,e9f195664bb6dac5e4a611c56628d9e28298bd7b65467a89b8f889f5a77554cd,498725,2,1
2017-12-11,0.02983881,,0.34269296,8e164fd822c5aaf4b98faa9e88cb86259cfda27a1223350a1e4d740cd25aba3b,498786,2,1
2017-12-13,0.036516,,0.37920896,50afd288eab2d51d681c4c80b18e04e5a7a667588fcdeb8e8d088b8d86b4488c,498996,2,1
2017-12-13,0.0369,,0.41610896,b4fae73bcae5f4587d3c52b2d53dd6f1d6964b77113a150d8dfc2c6589f6b07a,499082,2,1
2017-12-14,0.073284,,0.48939296,55018eb52f88683a88145caa97c5bca3f3b0ca2a9c159cdef0f8d131df98ca1c,499210,2,1
2017-12-15,0.03378,,0.52317296,850b5456bd74f79fcf181971ad3f635b212beda40540078a856ef50589ae6b73,499421,50,4
2017-12-15,0.03414272,,0.55731568,5acbcebd9fd96f75181b1826ce426d65f5dd60332e705ae5eab7d7e2b570b4cb,499461,2,1
2017-12-18,0.0422,,0.59951568,3c4a09933b989943bdfc229ee473aea9ce80f64ba4a5af7e2ee7d4dbd07a5f8c,500005,146,202
2017-12-19,0.0158,,0.61531568,92c08d1093b6a3fc52e7b43a8b1c2194774b7233754dbfa8f884109dcdb9f855,500171,39,1
2017-12-20,0.0571,,0.67241568,3c0967c80dcfd0bb7bcfcd9ab6dc1e6170281da9ad4057c9c3e431afb8307195,500186,2,1
2017-12-20,0.0753,,0.74771568,6dfdee855767dcf448dd5567e599256d4884ad851b4a706d0068e5dccc43f609,500235,2,1
2017-12-20,0.01392843,,0.76164411,50e4da90fff0f9fbe340dd7590ebd58b7ab0f2b4b7d9caf2d21ad8086a982821,500256,2,1
2017-12-20,0.08722,,0.84886411,ba30cd44f0667e360ed172b81d7b93cbc208f22e2afde95f3c84921bfe590b6a,500278,2,1
2017-12-20,0.05968817,,0.90855228,e1d7f104eb3742674037005ab72cce04a819975a28dcc53b0bb13d6fc020d7b2,500353,2,1
2017-12-21,0.027,,0.93555228,56e037da96cf2a5419698b41d5eef3ed380fd87a50e88a71afb38230c6004ba6,500349,17,48
2017-12-21,0.0327525,,0.96830478,fd87f9545be7e16fb4bcfeac96de357b2c338c9d3ee8c1cf99db12b43069dae1,500387,2,1
2017-12-21,0.16484,,1.13314478,1d4df4f2f5fb604864b856058af69da02ff8a210ccbdd2e34aeb5d17ca0d1d3d,500429,2,2
2017-12-21,0.03261,,1.16575478,738d7a151d2a743e85a0117465bd2c1f7c1f0abe01651a4169456d04e50eeda4,500439,2,1
2017-12-22,0.07408,,1.23983478,de7521d19f4d8336d0a2f3946dd7cd9b6c0b90718c398dcace4b1b93dbf73bc0,500522,2,1
2017-12-22,0.0431,,1.28293478,10a0650e98d56b6b171dc719588168966cf04c9c3c9d7c9c239e1ac8b45cf416,500525,2,1
2017-12-24,0.4025,,1.68543478,abf0db4e600384c7f12cd64403719f291ca7044a1f053932ad4c975f6ab7d0af,500771,2,1
2017-12-24,0.1305,,1.81593478,1bd7c02e1a10ecaf0a236043fbb556f91c0997b569ea056871dc9dad0c30fbe2,500822,2,1
2017-12-24,0.25445,,2.07038478,123bbcb0c4ee83bb46af263c5e333db41419234b8a5b20c16a7e53a236268a28,500880,2,1
2017-12-25,0.0105011,,2.08088588,e86a6b91d8ae2ea8600f8778d2d30bfd4e86a7c5542a3017c694f67eb938fe19,500984,2,1
2017-12-26,0.063,,2.14388588,e8a5fd08c4209880b20ff7bb5e4a1d634f62b43481549b681ba127b7a49e3fdb,501130,80,202
2017-12-27,0.4,,2.54388588,edc30045c93df51f81f4904fd172ff3eb3b977064e87a880b8456f428e524dfc,501175,2,2
2017-12-27,0.14,,2.68388588,5ffd0996819026a6f3d512a338b0658d06ee4910c36114451ab329e1c7dc7c47,501280,19,54
2017-12-27,118.0662781,,120.75016398,a13a5ff4bd4982458395d9359da6eec2b2f228ae92157b31c331ecb76eb1aede,501296,1,87
