Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-25,0.59640685,,0.59640685,c74c02daf680983c7f8b039e3027ef09a1bbad91ff602e095187f1405de8dd8a,468076,2,1
2017-05-25,0.6884235,,1.28483035,3d4fd5e4bb9405bd1bc1f0e2bf6430b4155dc2f47e1f6da7512b18f46ee4d950,468088,2,1
2017-05-26,,0.6884235,0.59640685,0a61eaa5e6d035edb6825b3c366293e2a60294f81a7e7bf094b51d233d31ee0c,468267,41,65
2017-05-26,,0.59640685,0.0,f95e7d86aee5de650ecda8f37555a6118dae82cfa3ad551e35fb4d95cbdd1609,468272,41,130
2017-05-27,1.59321042,,1.59321042,100d8642cf7b89cd51a06a0950aaf1b3734404c8c479e1318371b021ce524be2,468387,2,1
2017-05-27,,1.59321042,0.0,c0095e0907d7743adcdae57bec3e80fe52c6fed96b87c14d1af8789b925affa9,468394,17,140
2017-06-01,,0.053115,-0.053115,ac41ea65292974076d21af5904c49de6f019d9f91458ce3f063bdf3446f1a3a3,469158,4,101
2017-06-01,,0.062605,-0.11572,d1ac6125ae7987df6fe0f84f4026e9e9d53cedddc980fd3c0d9d20822a6c0246,469171,2,101
2017-06-01,,0.105571,-0.221291,6c3170276cd2397acd9c3d876333273aa335969952a26ef12a0ea967f50918c1,469202,8,101
2017-06-16,0.27149661,,0.05020561,d53b8eccfde44ae200ac5761b698c0313f8dd038e35146067af05bc9eae61b85,471482,2,4
2017-06-16,,0.27149661,-0.221291,069864c3ea44ccae985b8c2653077d8a039ae2979e4cf0813d1ada6da3ffe716,471487,6,101
2017-06-26,0.04503168,,-0.17625932,dc8413eccccbebf05730d81bfe28102e4b7d9c8e0fb9390031db4483fde472ac,473004,1,1
2017-06-26,0.04731709,,-0.12894223,dd9964cc24f7f94ea6a99335a435eb5596a141403cdc6054ab6878e052f52ebb,473004,1,1
2017-06-26,,0.04731709,-0.17625932,4366bd13f9cf4aa01b55336401a8a59b3a046d9ef5f95b68e2846d985da2260a,473006,43,101
2017-06-27,0.01873384,,-0.15752548,915d47403fe1a1949af4f72b99fff86a0c3c350d58dd0f4534f4c8c3c79ad709,473047,1,1
2017-06-27,,0.01873384,-0.17625932,26852d9c79ea46a495334d22e5d763fbb9f3a9a00fabdcd8397163b340b70e26,473049,15,101
2017-06-28,0.01641337,,-0.15984595,9eec3bee4651e463a542b7e39de35e54a5c7dbd4a2eb05c194a5092b84337c0f,473199,1,1
2017-06-28,,0.01641337,-0.17625932,ce0d5db97eb1ea431ec8775c4afb281e97395dbd4985aaa2e5e54d395946a3a2,473201,31,101
2017-07-04,3.828645,,3.65238568,5ceb7335f251029a9fe19c63cf213b2a9befcce739d161cfb37d16720ec48082,474137,2,1
