Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-08-26,,0.1548,-0.1548,b2373e11812f85a4cbb9ab956f845cdd01085c8983bc0ff6ed2f59886dc9e9ff,482065,18,101
2017-08-28,0.0836,,-0.0712,e70f3d825e564d130d7282bc1ff1cf08b42d79de56580d6955a1aceafe49159c,482383,2,1
2017-08-28,,0.0836,-0.1548,b98bc28c9dca1fdc80b51444e472291b8af3366d421f7575f3eee82dc2253e74,482386,16,101
2017-08-29,0.15159,,-0.00321,c600108109f7cc1f5e4386382925760310b19cdb25dd142a44c3c0e61803331b,482516,2,2
2017-08-29,,0.15159,-0.1548,56e2a43b6de1a85a5e3afb336a5a86e23256af171d20f4ea2a18bb9224a0ec99,482519,68,101
2017-08-30,0.17492,,0.02012,c848b640c7a083c60e67dfe7fc834be7936fabd9371fbdb74c6baa84554fbb7a,482676,2,1
2017-08-31,,0.17492,-0.1548,fb70da0152e0d04ba86224715c9ad9df9fca81593d49c04ba95334fc989c6402,482715,13,101
2017-08-31,0.15493,,0.00013,8a66e6da895300ed0e09c2746d5fbca0f61815c74ce2a74c06f16cccebe6f295,482850,2,1
2017-08-31,,0.15493,-0.1548,e8cb5b22805b54a291f53521cb2d9dcdf619108f77112ff797bd33c36966b242,482852,25,101
2017-09-01,0.15527,,0.00047,832f460e806ce6aeca54eca7b124d555a4cb16dc9258636b4ff3e89ff0755334,483011,2,2
2017-09-02,,0.15527,-0.1548,d035fa85cf0596d782a0a247981c65004a48dfa9d117a587395a7ce5a7c797c5,483042,20,101
2017-09-03,0.15862,,0.00382,f13594dea4ba17ea25b87052315c1d68d1da8db0fd80ca70930d70ed2a22bd2c,483252,2,2
2017-09-03,,0.15862,-0.1548,ee134ff26cbd27594a529f2eab05789d15909cbe4faf07cce70ba86186dacb07,483256,9,101
2017-09-03,0.15492,,0.00012,3489d48d31ad8ecbf7defcc7a2e38effb7799c0804a6e36a2080b9b3af5aa76b,483334,2,5
2017-09-03,,0.15492,-0.1548,a22fc9d44d1a0ed9172126fa593e88acda88ef936c17e6cacb1de230a6716124,483342,20,101
2017-09-04,0.15492,,0.00012,a5e6c83430d66ec4b1768464312e48f26e84924c2a1f706f6f44f9395074e368,483513,2,1
2017-09-05,,0.15492,-0.1548,cf1aadbc78fbedd6bcf2ef46640b6d13883e08023c84214a40f49e7cadab8c0d,483584,13,101
2017-09-05,0.15493,,0.00013,801bdc7144d2b7544cea51f5038bbc9085909b00c7e7ae0a3d08e9992ad46d08,483702,2,3
2017-09-05,,0.15493,-0.1548,8209f6ca4c676d4cec16b70ad9b7f271f4775bc8f3b6e342827d6432456cb493,483714,14,101
2017-09-06,0.15761,,0.00281,45c7eb5899a0920ed66be3bfc637b000160f782effd62632703371e514cce02b,483886,2,1
2017-09-07,,0.15761,-0.1548,cf4e288a3207aa1e3344895d43057d41df23905c267f0c67aecd1420c83ab42d,483898,8,101
2017-09-07,0.15571,,0.00091,e12e61cb6cf420f7aad187cc4b73dd3a8d81b12f9e927440804e16a9bdd2b02c,484051,2,2
2017-09-07,,0.15571,-0.1548,470220044b33c1f2c3bccc305d72ee11cbceb98e3668555e1e2eb97c68042352,484056,19,104
2017-09-08,0.15573,,0.00093,40b8cd767dcbe70dff623713c38463bc3fe3a4bd12e27496fa292dbfd13e3336,484226,2,2
2017-09-08,,0.15573,-0.1548,5676c002687e7bec46856ded489e8122d59ea483035976509377baac1ebefffe,484234,81,177
2017-09-09,0.15492,,0.00012,ef3b7def965cc1ab884582cd6d8b7098704f8d1dae63fcec7f94d5ae863e42d0,484389,2,4
2017-09-09,,0.15492,-0.1548,5582df7ca72962142f8253c0c0c0e0b861b186c9ec31b0cf12af2118d7cd9987,484398,78,101
2017-09-12,0.15492,,0.00012,d4aa1f54718eebe4216c20f2ec646b5e1d8cbcdfdea6bb56a7eec3893256843a,484727,2,3
2017-09-12,,0.15492,-0.1548,3193eea3cecff5bc5d14e2a50fb19f9e2ce0ec751588def765cb555853bdb58c,484732,37,101
2017-09-12,0.15492,,0.00012,18761cf85d8945f2d75921e8c0cedad6cec923dde23a2ade3f6f2e490923a60f,484885,2,3
2017-09-12,,0.15492,-0.1548,dcf44e4a7e9a44f06fc9167d752904806be399fbc50bc75e1197f9b678f44be2,484892,19,101
2017-09-14,0.15493,,0.00013,227a667c80f50959995500d1e55679e11e19fb6f87abf8c42a4eaa5e848df217,485213,2,2
2017-09-14,,0.15493,-0.1548,e1e7be11b646910378247f5e9dd617c6d87b58cdcc886368761ce9c1c9f06ed0,485216,72,101
2017-09-14,0.15493,,0.00013,7fc614a5e7323d9c563c0b6ce685d906e66ad6f2c718576f84d39ff37596c17f,485251,2,5
2017-09-15,,0.15493,-0.1548,f79b629a89ab2de52b26a77f9332ea1fac7f2904af1f61e905162751087ced94,485295,21,101
2017-09-16,0.4026,,0.2478,6ad51f71191f5c748ead89cb4c67cc63deb25749d6c95bf9419ff19b52251f29,485564,2,1
2017-09-16,,0.4026,-0.1548,dfffc5308b6ad2779973dae10bf63f04c82f896fc2169c7b0ff5b28453a7eef9,485567,16,101
2017-09-24,0.8353,,0.6805,1dd739472299f1998ce78182ee3b686fb1a34940203a37f694ad4b4a5d0e15e6,486829,6,2
2017-09-24,0.2788,,0.9593,9d7d43fd2e1b59463790733bc681bf0d47c33e7f320d051f043c53e71b467bae,486829,2,2
