Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-08-10,0.0095,,0.0095,30054678dd23a11459dfea12f44d2797f9f52c5247afabc6c2902a49aab73a40,479887,51,1
2017-08-10,,0.0095,0.0,bd201edb922ae6f852337d29fa46bcc87a7cae602826d0371d35a859753d74fd,479893,13,101
2017-08-26,3.7985,,3.7985,37f060762ad28283fb0640c7a1618f3b9027129a8924f9e619a918f7ffe23a4e,482071,2,4
2017-08-26,,3.7985,0.0,b9b06da3122d4b425e1444e1dba49095334c1747de05b5caea4092f92ad43492,482091,16,101
2017-11-06,0.04164,,0.04164,9b5947a6cef76ecea3cbdc044d64cc216742234f0b00849e535bacaa24c55ce6,493279,2,2
2017-11-06,,0.04164,0.0,dc656c5ccbcfcc059a1bce6571b6315d849ff3b15cba681886452bfca03fed34,493284,19,101
2017-11-06,0.095648,,0.095648,42fca8e0873c16acae0bc8b8e5d0317d94024a7de74ce6ffe2fe82bcbb21885d,493304,2,1
2017-11-06,,0.095648,0.0,e9893ac3a5c1b01e7ff71d95cf9e96634e2bfeaf3ead9ebd1b60d51e98e582b6,493308,12,101
2017-11-08,0.3,,0.3,2685a8c2b4573fc58a1ae736d07fabccde4ee2ad2ac96eaf1fd25cf19aedc199,493550,9,24
2017-11-08,,0.3,0.0,52af2c05d3246729190625b8ac6b3e3cfbf36f7c93d69af9c27bccc6c1984103,493552,74,101
2017-11-09,0.0645,,0.0645,87824fd6292ee79cd1f048d8358491296da63f93aff4409daf8c02f5c6767a1b,493733,2,1
2017-11-09,,0.0645,0.0,8f74fb8dea7b7cde3770ccfb004c74f9b5a9f6078c1b63631371d743078172e6,493735,115,103
2017-11-09,1.4795,,1.4795,843c4bd2a0379847447d5aa7403ea1117ccb3ec45ff3dea03ff80f04e7799cf2,493775,2,2
2017-11-10,0.6442,,2.1237,575e582b65bae408a60e476d7a5137f53465a7ab0ea93c7f45495b6f83e5d540,493863,1,3
2017-11-10,,0.6442,1.4795,dc9c3a34d9341d01860d6e49245b25a812e0d1508c11111a034d70864b92e017,493865,23,101
2017-11-10,,1.4795,-0.0,afc732c3d93b37b97dd420c0d346722c3d360e0ed54a4e78b14456699dfe68c1,493876,25,101
2017-11-15,0.007905,,0.007905,30e0b2d271af43bc301f9c45016201211d55716e608e72886f3aa456a1ece27a,494388,2,2
2017-11-15,,0.007905,-0.0,9bdc5f5f6589a44f5140a49a99a01a11a81f9714ac6f9b47bc6c04e68ce8adb3,494391,14,101
2017-11-15,0.169849,,0.169849,00a45a2e4c51070f488b3f2ed6fc93cbd8db830fcba127f66f2bced76150586d,494429,64,89
2017-11-15,,0.169849,-0.0,d541b526142ccbaa66fd136c864da3c0ebe9bea3d944baa00a10ccdb7e8dec50,494431,16,101
2017-11-18,0.7995,,0.7995,141274eb17ceea68e63aa65ed7a8617b79422e0d29b848d66b8a4bc384bf67fc,494858,9,9
2017-11-18,,0.7995,-0.0,2caf2a2647ba2aa6a07de21cf68df66bca0978ee7e6e6b3e6af9a78bfe90364c,494881,49,101
2017-11-21,0.498,,0.498,e72f84abff24372cb32655a2a1ad18de2b18e188ee19456d32c62a1a5741af84,495414,73,66
2017-11-22,0.0344484,,0.5324484,73fa75a356f9968d3ba7abfb45ab4c8dd5d48b0c821118337a25be023b17708c,495524,2,5
2017-11-22,,0.0344484,0.498,34adfde7afe6d350837d83b8287f30ed998a7a450e0d1e78fba379913175aad1,495526,59,101
2017-11-22,,0.498,-0.0,99b1f3416d7f93f0d1bd576ae41debc58dbbdba7a2ee2b9419e69502c3c1fbb4,495542,78,101
2017-11-23,0.4995,,0.4995,b30b4fdb25722b585ba67cffce7babe6a2d77e41df97c958a114c5b8f0e4331d,495701,60,108
2017-11-24,,0.4995,-0.0,517e5ba71c771f104f18d1e728e47956c05f0a2b4b72d9cd54f92a70ab98e799,495821,94,101
2017-11-28,0.3786,,0.3786,96e6eb341ed5b2b6b8b90ccb8b1e19340187785d0dd5bd7bf21df3e7d1a9e6ca,496487,2,1
2017-12-05,0.118,,0.4966,a8c639b8f0ff5a47b46481cb1c9bc6f377ddfec4228265a011cfeeeddcf9cd23,497720,2,3
2017-12-07,0.3408,,0.8374,b3061381f5c8eaf246c181f45c4885710e9afebdf3c315c07c571077d3051fd4,497999,8,1
2017-12-09,,0.118,0.7194,f0f9590503fe15353f9d7779bc93bc52524072624e2eecf00e4b2e9a4602f44c,498397,86,201
2017-12-11,0.144,,0.8634,4935f19baf77ab17078b44491d3a816e0f3ad44c2a4c9d52ae5e02b1c281e360,498747,51,1
2017-12-11,,0.144,0.7194,d7cac672c05d8163c7a08482d1a451e7fdf0decf25a901ee2140fdf6cd35bdba,498749,153,152
2017-12-12,0.01171146,,0.73111146,4b92f5d9369df82ed9f8a1129bf6d91e592d68b8c804b3547b21fab054c317e2,498937,2,3
2017-12-12,,0.01171146,0.7194,1c98a7046b85024320fb7a5c3baa3456eed58fc66ca8937cb2c3cda2e0bf7ffd,498939,154,164
2017-12-16,0.3298,,1.0492,507e0b29e168775c9df86b8819f458094a905175923afd7764aca7a7be746fa8,499580,2,3
2017-12-26,,0.3298,0.7194,398c0aeea101f1ad3026ef44a72ad61ea31eba3ed5430aca6ec2e679838691a5,501061,48,201
2017-12-26,,0.3408,0.3786,3ae1c7f0dbb77ed6d720cb4ebe84b55b5a5efe36af146635742cde06d87e8bf6,501071,130,202
2017-12-26,,0.3786,-0.0,80bd245c5dee005b9ab3f554df467a1dc01e295ff17a82addb4b96defc4e6dcb,501114,88,202
