Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-07-20,,0.0135865,-0.0135865,5b087f410784ffa2cba3fc257f5058b37730c45800f554ca90e5b286dad4a302,476728,37,101
2017-07-20,,0.07765535,-0.09124185,7ea1a24f23f2d8e0c8a0ca73ac176492cd96571e0fe2458f1a4549beb2f4ab54,476729,55,101
2017-07-21,0.4523448,,0.36110295,2a61e6d54112754966b90ea7ce4e47974fa920eae24f117776520d9aca6e31b4,476916,2,16
2017-07-21,0.1617735,,0.52287645,cf2a42d3d57889cbb685ba0068fa5a3c8ea09df09a26e37ae0e8b3f2af120597,476883,2,2
2017-07-21,0.04068772,,0.56356417,af8f6f5f88f15b43a9a8363b0e0c7a2808e2e0a90fdb098a296d2df26a3fed19,476883,31,7
2017-07-21,0.0183495,,0.58191367,d98b381fd5290f93fedd18f65418ac6f5bbf0bbd76988b1ae1ce80ce9c85e8e2,476910,2,1
2017-07-21,0.11360931,,0.69552298,79ce08bd18c90e7c56678ef976848f05280f22743fac5a8631d6d363734d3ba8,476883,35,3
2017-07-21,,0.04068772,0.65483526,d596770d088933e490a85dc57759c89f87e39bc3c7b208d7cf05b343cf3fd0ed,476886,39,101
2017-07-21,,0.1617735,0.49306176,a9486e0fc4a7d670c3b91f4e4b419845623af7e55480ca97d51252ef1683d61f,476886,7,101
2017-07-21,0.138,,0.63106176,1d7864e234de57d8cb3968b59d87a48fbc0a49bd563949a510f4f88f9a3f2421,476894,22,1
2017-07-21,,0.138,0.49306176,31d58043d772025a61be2bc1c7b53c314b1af0e0025d0d9008587926a1b33370,476897,5,101
2017-07-22,,0.0183495,0.47471226,857de3aaf560c0f3cbb711731057d35ee4f11e135a537a0429228395e211a428,476913,5,101
2017-07-22,,0.4523448,0.02236746,135f63f82c4972cb43da667d74453ecdec54bbfa24cf8cd9310949f08b19be91,476921,21,101
2017-08-02,0.03713304,,0.0595005,d519288b491a0d70ebd449562006052b12acd6d5094cfca83d2a3106ba207e04,478693,2,1
2017-08-02,0.0920498,,0.1515503,b57698d1ed428a84553dd749d5789d88884b067063642232c2432f95a0a02621,478695,10,1
2017-08-02,,0.03713304,0.11441726,01a4f364b49c5e85c901b79982e59d6c0925ab853c5bcb29a447c5c93ea7f03c,478699,14,101
2017-08-02,,0.0920498,0.02236746,db516f8f6cba83885e14f6270b85d69fe18788c7f2e80d465ac178e930ef5712,478704,16,101
2017-08-02,0.20378899,,0.22615645,56388f4e7522b017a985a0f69ca6dbcb1257efe0e969f8ac3c33f4bf6ecc0ff3,478709,26,4
2017-08-02,,0.20378899,0.02236746,33793363646dac8d0806a02be4093ef36632877be3ee176b1d4eef95be3ab2ae,478734,15,101
2017-08-03,0.014,,0.03636746,10fddb2b01b17f43009ca51dcf3c08a69f9f977c373ca9674c5bd39e11ebca59,478765,30,8
2017-08-03,,0.014,0.02236746,18fed75741a2188b16c3acd9607133a37538e88fade1947ed1c5c1a614332177,478772,28,101
2017-08-03,0.12594752,,0.14831498,d5639d75c96bab38453d4e60a2f4538113a3508a527ce883085f519ed35879c3,478824,9,1
2017-08-03,,0.12594752,0.02236746,9353ca1c8a8876da0e90acc0ff760fedd2c3a49cd1f02aab584d76f25dc3b4ce,478830,31,101
2017-08-03,0.004,,0.02636746,ce615e26dab94a122a825a76c6a3b79a48f130e9a6eba1e4cb7fd151a6497274,478843,51,1
2017-08-03,0.048,,0.07436746,40357cd65a6e9f5421eb8ddecaf88334de03ac6b619ff2cc70ba5db960b40cf2,478844,26,3
2017-08-03,0.00657895,,0.08094641,fa90ee7b55f349cf04327e45a034bd38d95534532a4dec70ab1c6f754e8bba6a,478848,2,1
2017-08-03,,0.004,0.07694641,6888120ef82a67856b1e780f451096f35179a99f8329b40e8f97cb7d9bd60a93,478849,39,101
2017-08-03,,0.048,0.02894641,99ddf6e7f153564db32b2513896d18f8d2ded5a6bb5629cf7969b0cf9251ffee,478851,10,101
2017-08-03,,0.00657895,0.02236746,441239762e38420e52b7d1e3e561e79f0bfd12b82575948c4fa28a50c405294e,478856,53,101
2017-08-03,0.00911783,,0.03148529,7bbfee1e684227df422a13c7c257d5685819f2bc09ad44bc6b6574a2db232c7c,478862,2,2
2017-08-03,,0.00911783,0.02236746,7358916a0efd6b25df49484e59665b91f1df68b817e73d88046812e30a2f3d88,478869,57,101
2017-08-03,0.02181818,,0.04418564,f595712de305fd78708531a3d8fbf3017c62db5081dfe6b30e8476865b5bfec0,478876,2,1
2017-08-03,,0.02181818,0.02236746,54eeacf753cec06c29dd6cc9c7a0fe1b87c3eff4b5f5cf81a5e1ad5a696a16bf,478883,21,101
2017-08-03,0.0935,,0.11586746,46e17953fcbd2364629f908c18e58b4e3d544d1d4a6cfad1c5ac7271b7464308,478898,31,7
2017-08-04,,0.0935,0.02236746,c376e04fa18c2d26dc418df3f46a43c484304bdc97205d8b296caa297bcb6612,478904,12,101
2017-09-21,0.7364,,0.75876746,3a499baa9a5eab6cf449f2bb2dbba86b670410f9f33e30702d478fdec350d122,486211,40,1
2017-09-21,0.2284,,0.98716746,80d502f5da01cc64af5afa83d1575f60826ae4ca709af2459c8edcb0ceea0a16,486212,2,9
2017-09-21,,0.2284,0.75876746,53f88817eeb4518b87f1d8510ce2b7254df2965299592d3e350f088267fcf654,486216,14,101
2017-09-21,,0.7364,0.02236746,49608cea9798cb2f3b879aee1945c19b809844cb8767d060636c7b16ae89894c,486219,32,100
2017-09-25,0.2854881,,0.30785556,d6799d9134e3f72c1d079cfc0a83da2acd637e1659cc7d8def6ce9ab9a38473a,486843,2,9
2017-09-25,0.5958,,0.90365556,6022b42bcf3feefdf11e4485b6170a3f194fb1976d3d91de102cf2091c202de3,486843,22,5
2017-09-25,,0.5958,0.30785556,d3f860381895f6f04cd6c92704ceed95ad745271539092a5c8da84a894ef270d,486846,10,100
2017-10-13,0.140272,,0.44812756,d5469a36664d1ec4e44f8c5e00f543e4c12b47a000b5d279832025400f8b2daa,489653,2,1
2017-10-13,,0.140272,0.30785556,3e1bfa4c449fc3f9b9ff6409e0214d4b46a3906c6b48f1efcb652a23b2658228,489658,24,101
2017-10-14,0.057005,,0.36486056,729a77647ef5feb58b85cb86c02cf129fd4e42db7a4993d06947be04ae66f1b6,489732,2,6
2017-10-14,,0.057005,0.30785556,1389469c88a23333d8c82b2531424f0c2950ff8a0cb2ba839290f2e747360630,489734,26,101
2017-10-14,0.1074626,,0.41531816,34bbc11483ff5a462558aba371efc72d72b729a58b60cdfd5e7f19594ce74613,489862,2,7
2017-10-15,,0.1074626,0.30785556,79d225cc8d21a276f77d7ccecb34c84950e6a07d6af2e29781e356b4fff8a230,489868,44,101
2017-10-16,0.2129,,0.52075556,61239c420b884ae73294f064722e510e5b0476e633e4cd97a50bf284b2c40895,490127,42,11
2017-10-16,,0.2129,0.30785556,1c12c5d0131d6c4cea700ea6276a08194fb4c308ea4737708b326f6ca606b8a4,490140,25,101
