Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-09-29,0.021585,,0.021585,2cb270600ae26ba59b7fc44f1371be836763aacc3460a5e066f0bf3c55acea64,487511,2,2
2017-09-29,0.01802,,0.039605,542d92bb7426e22c7ff1f643b92bc1396db6aea3459b3a30bc7933fb010159ba,487512,2,2
2017-09-29,0.010026,,0.049631,69f2cb70b239deebf2c9dde09da4b441dccfe586b0d61fd76643bbd9301af9c1,487512,2,2
2017-09-29,,0.021585,0.028046,d01e1c31d8affe7e727b9f95e4a552c94c26c12f388d7301b70e7f4b28d69dd1,487514,2,1
2017-09-29,,0.010026,0.01802,8ebc77bc7ed1f26dbff03ab62fea65f73ef2e8088a54807605cb08ea2a712d9b,487544,2,1
2017-09-29,,0.01802,0.0,418464ad8e959bd2af1ef41443dae2c3df4e562ff77e02c0795897f03da3de51,487572,2,2
2017-10-02,0.012794,,0.012794,59e1b5d3ed7bd8d05d403850126a5341200b5a49a3c595daf31b7dd60bbad64e,487956,2,1
2017-10-02,,0.012794,0.0,e23b169fea01831e2a2ea2ba4294a2e42874e4ce164a3abe9acf686831343079,487957,2,1
2017-10-03,0.016382,,0.016382,ba1fa063fe27e8fc477c9ee6f7a3bba3a0a1f55df331470acd6ca1357f282c3b,488137,2,2
2017-10-03,0.011937,,0.028319,e5baa452fc704fff7bd71aa48c24ce1d46e1d024153f799557d82b5d535d53a4,488138,2,1
2017-10-03,,0.016382,0.011937,8279d91a5ba722e72133585926a5a9c14b32f048a963034ac1f04d099dc9ab14,488138,2,1
2017-10-03,,0.011937,0.0,a9fa36f2880b2cf29509877b2159cf56ed11890ff658592f4c65245828c9f683,488143,2,1
2017-10-04,0.013514,,0.013514,cea89c8c2c347e9ad0031a2346b90bb9a31d821906137805cf4ce28955af446f,488288,2,1
2017-10-04,0.010698,,0.024212,cf3dfe5aac18d25b35a808deb0381fa8a31088d701fba3b92794cb8371d60181,488288,2,2
2017-10-04,,0.010698,0.013514,10df27e95d80acceef449cc4490b443f361e744f714e743c572fe116d9fd08af,488289,2,1
2017-10-04,,0.013514,-0.0,60822bf876e1e36b96e949ef009690b8e0f8bdcd3091f1b86a16b2d13c6c138c,488289,2,1
2017-10-06,0.010633,,0.010633,8b965b1b8d746ef1a13c3c6face3d46778c730a85bd25aee3703157865035010,488554,2,2
2017-10-06,,0.010633,-0.0,d3a0eed07a351b62aa914a2c66cb43c3400214e4d3378ea7d7836cab2c69a228,488584,2,2
2017-10-08,0.01093,,0.01093,9ce9c6f0469202ad7ba8728a0de388b04c05796a05da751d7c2aa27db5b772c7,488884,2,2
2017-10-08,,0.01093,-0.0,a5b5b414e63bbac95c2e951e82e7d7c9ed4a190845e69bd7bbdf304c9ad1b46c,488885,2,1
2017-10-10,0.017041,,0.017041,a4d289c687825e11f03d2a67925fa95a403f4814795542c0ffd21e72b67fb5d7,489217,2,1
2017-10-10,,0.017041,0.0,698c122bddb5bfb45e89c704c75a8692ea203f887b7e4febf717fe2148bcf0b5,489219,2,1
2017-10-11,0.015186,,0.015186,4f3a4f50f8ca2ad25ddf8d28cbb1e285eac1a1937478e164c3f603563fbf4151,489357,2,1
2017-10-11,0.014283,,0.029469,a690889a9f79f49ad5a864095bf27a13b7c0c196487841d97ac14d42123d22f0,489357,2,2
2017-10-11,,0.014283,0.015186,7255d598414f82143382aa94a21f5061a8526943175faf5a5142e92af568b102,489361,2,1
2017-10-11,,0.015186,0.0,d6b5531ca0d3246e11c36bf111d3e545058368a8e56c8f1319539b8b72d43c54,489360,2,1
2017-10-12,0.013523,,0.013523,fa97c1ffab113b8b9f212675625e0b74fe6fa417006a3eeeb93c8d4d22462dfd,489499,2,1
