Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-04-25,1.2,,1.2,63a41457d0935bb66e832b8e2cb1d5f166a5ccac6941a57e2e63409968ed7178,463482,2,2
2017-04-25,,1.5,-0.3,bbedf352e284dbbb935a22707e3f46314f90da707f31f4611e68ea907db820d1,463483,1,101
2017-04-25,2.0,,1.7,6238c77e917f32a1412ea3547ff180165211390dda2ec3db3df979f36656181b,463485,2,2
2017-04-25,1.0,,2.7,28dad28dab1a4b22f10f7704cd697109accb64ea7933340b832586f32b984de0,463486,2,1
2017-04-25,,2.0,0.7,ea8c92552d51085561dbdb389401ddafbc47a6a375217b7db20db9381f17f9f1,463486,1,101
2017-04-26,,1.0,-0.3,ab256eafe8a38d4f2c90584f10530de67a040ec7d020a4c4efeaf593359d7309,463490,1,101
2017-04-26,3.0,,2.7,fe96ae749a89bd15d3b852f59b77a76a4d51e36bd9a04b8c1d9a81828d050655,463490,2,3
2017-04-26,3.0,,5.7,70840a9c3ef294dc2c7a7fb1af00fd11980020ba68ba0e05792bea1374357daa,463494,2,3
2017-04-26,,3.0,2.7,5cf7f0c25af4bcc247679b903d810a7bd436aef5c509d3d43b86363f3e1a8b46,463494,1,101
2017-04-26,1.5,,4.2,0911a7308ad3fd8e19fe62640eb3ab14ea6dc5c350cb3659c5f39a979c37939e,463494,2,5
2017-04-26,,3.0,1.2,621ac9e6f3e3df03c3a0de0bf3d71a1d028aa7630966ab84723fc1ccaa99c33f,463499,1,101
2017-05-10,1.3,,2.5,39a4ef11da024074702e1baaf645928197d7c2ce6c86f802f41d82989fe902b1,466311,2,3
2017-05-10,1.6,,4.1,63a0ab6a353dba6e43d769856a89864180d48edc826d133c7f3e736dc06cbed1,465778,2,2
2017-05-10,0.6,,4.7,5335316166b926944d8aa5ffd6d47bb8cab635076d14d2e59d20494ecd07c965,465778,2,2
2017-05-10,,0.6,4.1,6a3a782895f12775ffe543a16798804f68b81b3b3c36f0a1bdd1fc11b5ae3f86,465781,1,101
2017-05-10,,1.6,2.5,2c916f8c2132a60f92d78ac127a4a684e8a902006e36db80847823d88f46e56d,465783,1,101
2017-05-10,2.56,,5.06,ee54c464b9ceececc41347b93038997c5b9a5e28783d55f8d5c80d45f188af2e,465787,2,9
2017-05-10,,2.56,2.5,4e96736bbfab58c5203822c686315d2dfa4cdd6050ae13a5d260b4b427f1653f,465788,1,101
2017-05-14,,1.3,1.2,88ea9218846df7205c6db19db2b380a2c924360fd92daba3f74a9d7961c8cd9d,466313,1,101
2017-05-25,,1.65,-0.45,c2528d20662dae233bd2055fe4e87ed73479c263876556d082efb1ef5aef2b62,468054,18,100
2017-05-25,0.8,,0.35,130b95a58b519477aa185d3695a20f58b73b2ed5479534cdd120d9258ed0c5a8,468095,2,2
2017-05-25,0.58,,0.93,c040e6e9eef9d2166a22216468053fd61180437ac54ca191fc0348283ac3348c,468100,2,3
2017-05-26,,0.8,0.13,413099b9c3e25e195900b78c9e999246cdc397aaf210b324c2793e485da5ff15,468263,33,111
2017-05-26,,0.58,-0.45,36d63f491a767c62613d1c918a210b28deb15587d8ee1ced8878b3e824a420c5,468273,41,50
2017-06-24,3.0,,2.55,8cbca4fb0dd2e94ee867ad3a85cddecf52de4e85699747642784edd5cd678e6a,472693,2,1
2017-06-24,,3.0,-0.45,db897cfa31663461fc6f76c55a1542fc15c8718aef187944d91e8546d13217eb,472697,14,101
2017-07-10,0.4229725,,-0.0270275,b3833100cee6956ab1c07811fd4c630e4faec37c308616987b3e239f35a538bc,475173,2,1
2017-07-10,3.33494,,3.3079125,530ebcd1bb846c98f52000dbb47cc8853787b8ab13b05788e90fd0614ce9e694,475173,2,3
2017-07-10,,3.33494,-0.0270275,dbcea66937192c073b3d512d89a2b061d642617866c6d26da428b87b93773de4,475175,7,101
2017-07-10,1.836315,,1.8092875,6e54404b5ca152caf27620b45b0e6a7db5995838f3603bce6a8892cf178408bb,475176,2,3
2017-07-10,3.077035,,4.8863225,dc56dd8d7e4025c60c8917c6c5aa10b48891ca5f634af39e364c60611511017b,475178,2,2
