Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-12-22,,1.78078313,-1.78078313,297a874c3020fe3e198ce19f4973b403e3c0aaebadc3f609a4158def628fc539,500528,150,294
2017-12-22,,3.05402835,-4.83481148,6b3bcceb7c8f4b740b356abd0e61d1e6235a33deaee128f00e29b499854c7101,500534,129,240
2017-12-22,2.83124131,,-2.00357017,f79f3be1e36ed7aec7ff94a192d0e8866cacccce9144886adcb2c5c6937dd137,500537,83,5
2017-12-22,,2.83124131,-4.83481148,6f26f0aabad952ee107975b6b0d84cbcb27fb76139bf96712dafd37f3f7bc942,500539,198,283
2017-12-22,3.90190567,,-0.93290581,d857ff5d2ef117b511907dadfedb2a1440dd164b557585b6e8c244bcb49c794c,500553,96,1
2017-12-22,,3.90190567,-4.83481148,eae57fae85bcc9220bbb458c4afe2f99c4cc5e3a14c592e2f4f25a735f367ca9,500569,51,246
2017-12-23,3.21134989,,-1.62346159,29aa3b65992558c48addb607f25c2d9830c4aba5e6f861dcf3ce4ab730eac436,500691,101,7
2017-12-24,5.14496637,,3.52150478,cebfed6b3d33ad87d0232e17f065588ebe3ca5248d66e1f47194b24e2c7028da,500755,101,6
2017-12-24,2.64501624,,6.16652102,17b42f23eb8ddc92c3ca345c27a1dd23bb0a8671bf46c4cc3d5faab9459b8aae,500761,101,9
2017-12-24,4.999,,11.16552102,4980cb10aec6316943f12bbce2b68c58f6247a86c7cc08a35e35b18c29a7c8a2,500765,101,10
2017-12-24,,4.999,6.16652102,75ee53ed8beb4ff05a973a378ba7b7244777ba73fd762eb45a584e9ab0707f93,500768,75,240
2017-12-24,5.999,,12.16552102,e51827b31eff948cdb1df55d8d91022ebfac2b5eb5798ac6b7b495c356023b70,500771,99,13
2017-12-24,,5.999,6.16652102,5fef1b20d321fffb3e349f1132d336b6a34fea420481a792ad0d78bfbaefc123,500773,63,234
2017-12-28,7.14370007,,13.31022109,49c04624ec1197434abaca3122fdd91918fe33466f0b443c67ea1a823eb38093,501358,47,6
2017-12-29,3.81271907,,17.12294016,0f55864dce3f0befe4fba1ce37d8f446fa3c38469952f6fb63ccfd6c2f52e20d,501525,101,5
2017-12-30,5.9634952,,23.08643536,28886f8d1171b1adc3cffdc60fee5560da6c0682abcc7f2516eb1030952c373f,501655,101,8
2017-12-30,,0.9995,22.08693536,f77fe1877ae4fbef51cd8bbba7468e2346c64bacb992bbe0388f14882b5d8843,501681,56,201
2017-12-30,8.93166334,,31.0185987,6914dd4b42c9341de902bd18bb51ed090840cde94e875d725d1ccf5a6d0e987a,501752,99,10
