Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-15,0.05713877,,0.05713877,75cf7c6faee29af003d518e854ec3496ee7ee30779616aa056b85d6389770c6a,466527,3,4
2017-05-15,,0.05713877,0.0,48cbe8a01f3073a78c39d975359183e2d6c33dbfc96418c93c2764d75f727245,466529,1,101
2017-05-15,0.05827358,,0.05827358,420fa73ae3743c02992793f7752120d156c2ddd0d78ade28a9ce0e2bcd13820a,466554,4,1
2017-05-15,,0.05827358,0.0,db4162c701691e816df8150e90147b4b9d28168835730bf328343f7ef69dfb78,466555,1,101
2017-05-15,0.01075637,,0.01075637,372a8d23794345e1b2b1d0e154596df8e9b288ad328a7a96f17e973bdfda29ae,466582,2,1
2017-05-15,,0.01075637,0.0,eebec54b88bde34f0f98b34a7f7bb6e18787fa2c30c26b88893613404d6ef893,466584,1,101
2017-05-17,0.11076385,,0.11076385,81874531a024f049fa1b76dc7b6c46226331eabdd54333a54c81a33eddb3b143,466791,6,1
2017-05-17,,0.11076385,0.0,d7690ed7badc1fdece8afdda5a4433f6fc6b4c01f9cd635bb2b11caf9fae1a54,466792,1,101
2017-05-18,0.02229002,,0.02229002,1a8520ae7b7e97b4ef8d7a104facdc25b802233b2f90fcb02e8b72fc5283b9cc,466942,4,5
2017-05-18,0.07841689,,0.10070691,eb6fa0f51abc71f82999827f6cc55a716eef06b0e6e37cbeb390f1757ec3b168,466998,2,6
2017-05-18,,0.07841689,0.02229002,6ba1f1fd770a18d9c13784d335b4ce29949d2112a6c9f506ce107d137727bbc6,466999,1,201
2017-05-19,,0.02229002,0.0,0aab36e3807ac65a0fb01a68a5e23e4ba1eeffc50a2724bcac06ed112f5bd502,467023,1,201
2017-05-20,0.10167224,,0.10167224,397a3fb8d14cb6e1ebbaf94841d7f99d728980bc95c1a00b7e9e04cb964770b1,467184,5,1
2017-05-20,,0.10167224,0.0,41b7a8a4d07b451b28852c7f692e0a6ffb348192690d2576573ed111e9f1a062,467187,1,201
2017-05-21,0.24013,,0.24013,f2b134af34f3842c82fbc7ac65d79fd7c29015c893ef5f6087301c469182e4f1,467346,2,3
2017-05-21,,0.24013,0.0,404a877e903a62d799f7849b6af934763a6b03705b8cface1eb3677169626a34,467447,1,201
2017-05-22,0.09287439,,0.09287439,6592f25ca26412b645be05c3b8e402426edbc91ebdea53497f574ef00a12e512,467559,6,2
2017-05-22,,0.09287439,0.0,35ad0f8f85c14518340f27d9451a6791e9ba536799e909b18bbd2c3de8de47ae,467560,1,201
2017-06-04,0.08685019,,0.08685019,4c8ab1bd2b09aca3fdff32a846f9b6bdf9770e308ed09a647a9fc7a0e3ddb992,469760,1,1
2017-06-04,,0.08685019,0.0,3fe90373c2acd88424ce737b4da6de179f11fdc43d00579cb30b4ad621bb8621,469762,15,101
2017-06-27,0.09344445,,0.09344445,5b43969fa2c8381ae6b9ec2fda1aeb131a59ba2b716d9b2a13ca3dbf70ee95fb,473133,1,1
2017-06-27,,0.09344445,0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135,35,101
2017-08-19,0.11688803,,0.11688803,6b7f974add1e04520c072f9053c1e2d2178f34006d1afd46e2242f549308d77d,481244,2,2
2017-08-19,,0.11688803,0.0,c985c0868e7049b486d62bead84670c795c6d115040ac0c0632328faf95a327c,481246,83,118
2017-08-19,0.1350734,,0.1350734,1d82e042012c3ea2c379b0b90cef0b4b53af208ed30bcd3df8196fb3198ae42c,481278,2,7
2017-08-19,,0.1350734,0.0,d56ac34864202780def8250a1e262d7cde6b688dba0fc636c0df0d88c05f024e,481284,30,102
2017-09-15,0.06321151,,0.06321151,f637351f92c783f5e85d1e71cbd9355a2088b6e2162b593354d65f23e8193987,485437,11,3
2017-09-15,,0.06321151,0.0,34c5fd6743353e65f6f2b3ced3cd87406379bd67f66a0a0b3ec6a2ab486ae019,485443,13,101
